,count,mean,std,min,25%,50%,75%,max
Nucleophilic-HEA,184.0,0.3705107089469096,0.16794555860496735,0.0,0.2245921942542914,0.4168656191923965,0.5138087750889533,0.6551647897877959
Hydrophobic-BA,184.0,0.3301365571416183,0.14489484082610518,0.0,0.21652211380913722,0.31106090709961953,0.41914741094362673,0.6796300844191252
Acidic-CBEA,184.0,0.13537780260969753,0.09497924683559243,0.0,0.08454837606274693,0.10492458459735357,0.18364841398863002,0.46647347289984264
Cationic-ATAC,184.0,0.09648001717495654,0.0895924463458147,0.0,0.0,0.08555458105706368,0.16507744926683404,0.518383711635602
Aromatic-PEA,184.0,0.044986520303858656,0.09687616247150077,0.0,0.0,0.0,0.07401604577092435,0.45478647504419284
Amide-AAm,184.0,0.0225083935437062,0.04798583538022504,0.0,0.0,0.0,0.0,0.29963368349484987
Glass (kPa)_10s,184.0,50.97736340605353,45.968367975418154,1.1889596602972399,13.43241330502477,42.066525123849964,77.22576079263978,304.60014154281674
Q,180.0,0.8647702238683128,0.8632895686650442,0.17561600000000005,0.28749600000000003,0.45062962962962955,1.1742677777777781,4.1474136296296304
Phase Seperation,180.0,0.7722222222222223,0.42056832465668564,0.0,1.0,1.0,1.0,1.0
Modulus (kPa),180.0,11036.155555555555,5896.270168289017,1459.0,6260.25,10265.5,14217.5,28703.0
XlogP3,180.0,0.22494620428870882,0.3616901946857144,-0.883711562957424,0.009233474845612252,0.23130247946319157,0.5029606051298918,0.9646512826579272
