SampleID,PopulationSize,RunTime
3812,100,0.012
3812,1000,0.05
3812,3000,0.15
3812,7000,0.65
3812,10000,1.3
3942,100,0.012
3942,1000,0.08
3942,3000,0.22
3942,7000,0.85
3942,10000,2.0
3948,100,0.012
3948,1000,0.12
3948,3000,0.3
3948,7000,1.1
3948,10000,3.0
3978,100,0.012
3978,1000,0.18
3978,3000,0.4
3978,7000,1.5
3978,10000,4.5
3995,100,0.012
3995,1000,0.26
3995,3000,0.53
3995,7000,2.2
3995,10000,7.0
4007,100,0.012
4007,1000,0.33
4007,3000,0.68
4007,7000,3.5
4007,10000,11.0
4032,100,0.012
4032,1000,0.4
4032,3000,0.75
4032,7000,9.0
4032,10000,17.0
