,Rep0,Rep1,Rep2,Rep3,Rep4,Rep5,Rep6,Rep7,Rep8,Rep9
Rep0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rep9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
