repetition,mutation,n_cells
0,mut11,29
0,mut12,34
0,mut15,58
0,mut19,60
0,mut20,46
0,mut26,26
0,mut28,66
0,mut33,56
0,mut39,20
0,mut44,6
0,mut8,1
1,mut11,32
1,mut12,39
1,mut15,61
1,mut19,67
1,mut20,37
1,mut26,18
1,mut28,76
1,mut33,53
1,mut39,22
1,mut44,5
1,mut8,2
2,mut11,31
2,mut12,25
2,mut15,54
2,mut19,66
2,mut20,32
2,mut26,19
2,mut28,62
2,mut33,60
2,mut39,17
2,mut44,6
2,mut8,2
3,mut11,31
3,mut12,41
3,mut15,58
3,mut19,55
3,mut20,41
3,mut26,23
3,mut28,69
3,mut33,53
3,mut39,18
3,mut44,8
3,mut8,1
4,mut11,33
4,mut12,32
4,mut15,55
4,mut19,61
4,mut20,35
4,mut26,19
4,mut28,71
4,mut33,53
4,mut39,27
4,mut44,8
4,mut8,1
5,mut11,40
5,mut12,42
5,mut15,50
5,mut19,59
5,mut20,31
5,mut26,25
5,mut28,62
5,mut33,49
5,mut39,17
5,mut44,11
5,mut8,1
6,mut11,36
6,mut12,33
6,mut15,54
6,mut19,61
6,mut20,47
6,mut26,24
6,mut28,67
6,mut33,46
6,mut39,19
6,mut44,15
6,mut8,4
7,mut11,41
7,mut12,31
7,mut15,57
7,mut19,66
7,mut20,38
7,mut26,29
7,mut28,65
7,mut33,46
7,mut39,28
7,mut44,5
7,mut8,1
8,mut11,23
8,mut12,30
8,mut15,65
8,mut19,62
8,mut20,35
8,mut26,20
8,mut28,59
8,mut33,52
8,mut39,20
8,mut44,5
8,mut8,2
9,mut11,34
9,mut12,35
9,mut15,59
9,mut19,68
9,mut20,42
9,mut26,18
9,mut28,62
9,mut33,59
9,mut39,19
9,mut44,6
9,mut8,2
