analysis,element,mean_p_response,delta_vs_budget10_optimum
remove_selected_element,mut11,0.9262929785319115,-0.01645405147974721
remove_selected_element,mut12,0.9377114469502307,-0.0050355830614280395
remove_selected_element,mut15,0.8852249399632535,-0.05752209004840525
remove_selected_element,mut19,0.8756144490254367,-0.06713258098622199
remove_selected_element,mut20,0.9270064884119701,-0.01574054159968863
remove_selected_element,mut26,0.9407090734462674,-0.0020379565653912968
remove_selected_element,mut28,0.8662650264849658,-0.07648200352669288
remove_selected_element,mut33,0.9140283677603965,-0.028718662251262184
remove_selected_element,mut39,0.9374084717614691,-0.0053385582501895845
remove_selected_element,mut44,0.9421157873561423,-0.0006312426555163952
add_excluded_element,mut24,0.9428328901551104,8.586014345168813e-05
add_excluded_element,mut8,0.9428328901551104,8.586014345168813e-05
