budget,subset,subset_label,mean_p_response,median_p_response,coverage_05,coverage_09,min_p_response,rep_0_mean_p_response,rep_0_coverage_09,rep_1_mean_p_response,rep_1_coverage_09,rep_2_mean_p_response,rep_2_coverage_09,rep_3_mean_p_response,rep_3_coverage_09,rep_4_mean_p_response,rep_4_coverage_09,rep_5_mean_p_response,rep_5_coverage_09,rep_6_mean_p_response,rep_6_coverage_09,rep_7_mean_p_response,rep_7_coverage_09,rep_8_mean_p_response,rep_8_coverage_09,rep_9_mean_p_response,rep_9_coverage_09,mean_p_response_sd_across_reps,coverage_09_sd_across_reps
1,"('mut28',)",mut28,0.4359638494164917,0.5492116138239678,0.544,0.05,1.7999984690542092e-06,0.427955443629863,0.02,0.4757165793920586,0.02,0.3411709985596152,0.03,0.44998405326857793,0.04,0.510345006951634,0.11,0.4144025231442931,0.02,0.49164474660565255,0.09,0.4650775155828861,0.07,0.34849892004962174,0.02,0.43484270698071475,0.08,0.05331364823308999,0.032557641192199414
2,"('mut19', 'mut28')",mut19|mut28,0.6804728674957913,0.7799405795713427,0.822,0.209,3.5999936981445657e-06,0.643446458811042,0.17,0.7018311597048367,0.16,0.6062212454826293,0.06,0.6311782248011021,0.11,0.746713235391114,0.39,0.6870244971369271,0.19,0.7304642881550246,0.29,0.7289102808985,0.29,0.6031580295390373,0.1,0.7257812550377,0.33,0.052035436245526125,0.10425449630591478
3,"('mut15', 'mut19', 'mut28')",mut15|mut19|mut28,0.8208787370491785,0.8916683498680188,0.94,0.466,5.399985687271069e-06,0.8313953241763984,0.44,0.823876441937007,0.42,0.7542437701467312,0.11,0.7902617436496729,0.3,0.8559412154909026,0.69,0.8034824499025258,0.45,0.87213978486162,0.6,0.8613678627831648,0.66,0.7691046635167352,0.35,0.8469741140270253,0.64,0.03828550620609638,0.17516849031718004
4,"('mut15', 'mut19', 'mut28', 'mut33')",mut15|mut19|mut28|mut33,0.8824219311596759,0.9228606138974426,0.979,0.612,7.199974436322698e-06,0.8833987916972567,0.64,0.8838701291966572,0.57,0.8287448532045256,0.24,0.8536530255306041,0.45,0.9238680985670643,0.81,0.8776662746407928,0.63,0.9072859279905398,0.72,0.9204009605920688,0.8,0.8377515640872778,0.47,0.907579686089973,0.79,0.03184542442360633,0.17480274597385478
5,"('mut11', 'mut15', 'mut19', 'mut28', 'mut33')",mut11|mut15|mut19|mut28|mut33,0.907568370622593,0.9382555307118912,0.983,0.72,8.999959945410474e-06,0.9125104422718343,0.73,0.902119553887951,0.68,0.8563905480762631,0.34,0.8857755388265438,0.58,0.9397180713551903,0.89,0.9076293135553054,0.76,0.925387739982779,0.85,0.9539755977143836,0.92,0.8663621712884467,0.55,0.9258147292672316,0.9,0.029468387814067836,0.17731328207441205
6,"('mut11', 'mut15', 'mut19', 'mut20', 'mut28', 'mut33')",mut11|mut15|mut19|mut20|mut28|mut33,0.9283857517543227,0.9528973663972988,0.989,0.82,1.0799942214534397e-05,0.9315122673089877,0.88,0.9184427829348398,0.78,0.8758615056683032,0.45,0.9067907741734936,0.72,0.9614641315980995,0.96,0.9246442646976625,0.86,0.9521226012260895,0.96,0.9635124690287941,0.97,0.8949820806034562,0.67,0.9545246403035001,0.95,0.028351942051351366,0.1596245595138793
7,"('mut11', 'mut15', 'mut19', 'mut20', 'mut28', 'mut33', 'mut39')",mut11|mut15|mut19|mut20|mut28|mut33|mut39,0.9346492143063027,0.9567460399473652,0.99,0.847,1.2599921243694467e-05,0.9366400904885817,0.88,0.9233508220303961,0.8,0.8833550410365336,0.52,0.914266590694926,0.76,0.9736260651256073,0.97,0.9295032831475271,0.89,0.9565451229979733,0.99,0.9683503776350798,0.99,0.903642946855326,0.71,0.9572118030510766,0.96,0.02794547294149975,0.14394790724425277
8,"('mut11', 'mut12', 'mut15', 'mut19', 'mut20', 'mut28', 'mut33', 'mut39')",mut11|mut12|mut15|mut19|mut20|mut28|mut33|mut39,0.9400530644680212,0.9616700912724216,0.991,0.875,1.4399897032890685e-05,0.940600959837399,0.9,0.9300427779895553,0.85,0.8888226106443281,0.57,0.9208317472569424,0.8,0.975666348119585,0.97,0.9353225822453173,0.94,0.962984340783249,0.99,0.9712760551660229,1.0,0.9098343287341453,0.76,0.9651488939036668,0.97,0.027256006896687817,0.12816005617976298
9,"('mut11', 'mut12', 'mut15', 'mut19', 'mut20', 'mut26', 'mut28', 'mut33', 'mut39')",mut11|mut12|mut15|mut19|mut20|mut26|mut28|mut33|mut39,0.9421157873561423,0.9629240860218059,0.992,0.884,1.619986958212305e-05,0.9419184804576192,0.9,0.9317174957520592,0.87,0.892154624329912,0.59,0.9234990040595673,0.82,0.9762784628995383,0.97,0.9367424366681248,0.94,0.966368881374204,0.99,0.9725000939474948,1.0,0.9136096763555861,0.78,0.966368717717316,0.98,0.02656887046791213,0.12092973166264778
10,"('mut11', 'mut12', 'mut15', 'mut19', 'mut20', 'mut26', 'mut28', 'mut33', 'mut39', 'mut44')",mut11|mut12|mut15|mut19|mut20|mut26|mut28|mut33|mut39|mut44,0.9427470300116587,0.9630025369027599,0.992,0.887,1.7999838891391562e-05,0.9426851051143266,0.9,0.9321466295897786,0.88,0.8927035099236038,0.6,0.9260332978362631,0.82,0.9764399539697289,0.97,0.9372315856376983,0.95,0.9669038206238554,0.99,0.9726328255454676,1.0,0.9141367089439815,0.78,0.9665568629318829,0.98,0.02631326327913887,0.11891593669479292
