repetition,cell_id,presented_peptide_count,unique_presented_peptides,unique_mutations,hla_count
0,0,27,20,4,1
0,1,19,13,4,1
0,2,20,15,3,1
0,3,30,18,5,1
0,4,30,17,4,1
0,5,19,16,5,1
0,6,33,23,5,1
0,7,27,17,5,1
0,8,25,18,4,1
0,9,26,15,4,1
0,10,22,15,4,1
0,11,29,15,3,1
0,12,31,21,5,1
0,13,32,21,4,1
0,14,26,14,3,1
0,15,25,12,4,1
0,16,22,15,5,1
0,17,25,18,4,1
0,18,18,13,3,1
0,19,36,25,4,1
0,20,24,13,3,1
0,21,23,10,1,1
0,22,21,9,3,1
0,23,28,17,4,1
0,24,24,15,3,1
0,25,36,23,4,1
0,26,26,19,5,1
0,27,31,17,2,1
0,28,24,14,2,1
0,29,34,23,5,1
0,30,25,17,4,1
0,31,31,23,5,1
0,32,32,21,5,1
0,33,27,17,4,1
0,34,32,22,5,1
0,35,28,19,6,1
0,36,31,22,4,1
0,37,26,15,3,1
0,38,33,20,4,1
0,39,23,14,4,1
0,40,25,12,3,1
0,41,32,22,4,1
0,42,35,25,5,1
0,43,14,11,2,1
0,44,28,17,5,1
0,45,33,19,4,1
0,46,28,21,6,1
0,47,34,21,3,1
0,48,29,18,4,1
0,49,25,16,5,1
0,50,22,14,4,1
0,51,32,24,6,1
0,52,22,13,3,1
0,53,19,14,5,1
0,54,29,19,6,1
0,55,25,20,4,1
0,56,33,17,5,1
0,57,27,22,6,1
0,58,19,10,1,1
0,59,37,22,3,1
0,60,31,20,5,1
0,61,28,15,4,1
0,63,18,12,2,1
0,64,26,15,3,1
0,65,27,15,3,1
0,66,31,22,4,1
0,67,23,10,3,1
0,68,30,20,7,1
0,69,28,16,3,1
0,70,23,14,3,1
0,71,30,17,3,1
0,72,29,18,3,1
0,73,34,28,6,1
0,74,27,16,4,1
0,75,36,22,4,1
0,76,31,14,3,1
0,77,30,15,3,1
0,78,26,14,3,1
0,79,31,22,6,1
0,80,32,23,4,1
0,81,25,18,7,1
0,82,29,21,5,1
0,83,30,16,4,1
0,84,30,22,7,1
0,85,27,17,5,1
0,86,29,17,4,1
0,87,28,17,4,1
0,88,32,18,4,1
0,89,31,16,3,1
0,90,32,20,4,1
0,91,33,20,4,1
0,92,32,18,3,1
0,93,29,23,7,1
0,94,30,16,3,1
0,95,32,19,3,1
0,96,34,21,4,1
0,97,22,13,2,1
0,98,20,17,5,1
0,99,31,19,6,1
1,0,33,24,4,1
1,1,25,14,3,1
1,2,22,11,3,1
1,3,36,24,5,1
1,4,36,14,5,1
1,5,26,12,3,1
1,6,28,21,4,1
1,7,23,15,4,1
1,8,31,20,6,1
1,9,29,19,3,1
1,10,30,20,4,1
1,11,18,16,5,1
1,12,42,23,3,1
1,13,30,21,4,1
1,14,31,25,3,1
1,15,29,22,5,1
1,16,24,17,4,1
1,17,28,13,2,1
1,18,27,18,5,1
1,19,36,23,5,1
1,20,24,16,4,1
1,21,22,16,4,1
1,22,28,14,3,1
1,23,26,14,3,1
1,24,29,19,3,1
1,25,34,23,4,1
1,26,35,16,3,1
1,27,21,14,4,1
1,29,20,9,1,1
1,30,29,23,6,1
1,31,38,22,5,1
1,32,28,20,5,1
1,33,20,12,2,1
1,34,33,21,6,1
1,35,31,20,5,1
1,36,32,18,4,1
1,37,30,21,5,1
1,38,22,15,5,1
1,39,31,19,4,1
1,40,34,21,5,1
1,41,31,21,4,1
1,42,37,23,6,1
1,43,23,17,4,1
1,44,35,22,3,1
1,45,30,19,5,1
1,46,36,20,3,1
1,47,25,16,4,1
1,48,36,19,4,1
1,49,26,15,3,1
1,50,35,23,6,1
1,51,28,23,5,1
1,52,37,24,5,1
1,53,29,18,4,1
1,54,25,16,5,1
