repetition,cell_ids,unique_presented_mutations,n_unique_mutations,n_presentations,selected_mutation_hits,covered_ge_1,covered_ge_2,covered_ge_3,cell_p_response,num_presented_peptides
0,0,"['mut11', 'mut12', 'mut28', 'mut33']",4,27,4,True,True,True,0.9533045283235024,20
0,1,"['mut11', 'mut20', 'mut28', 'mut33']",4,19,4,True,True,True,0.8746192397657028,13
0,2,"['mut11', 'mut15', 'mut19']",3,20,3,True,True,True,0.8857467355830899,15
0,3,"['mut19', 'mut20', 'mut26', 'mut28', 'mut33']",5,30,5,True,True,True,0.9685089196894836,18
0,4,"['mut19', 'mut20', 'mut26', 'mut33']",4,30,4,True,True,True,0.9715636147136892,17
0,5,"['mut15', 'mut19', 'mut26', 'mut28', 'mut39']",5,19,5,True,True,True,0.869858367140816,16
0,6,"['mut12', 'mut20', 'mut26', 'mut28', 'mut33']",5,33,5,True,True,True,0.9735535125270364,23
0,7,"['mut11', 'mut19', 'mut20', 'mut26', 'mut33']",5,27,5,True,True,True,0.951251915870594,17
0,8,"['mut20', 'mut28', 'mut33', 'mut39']",4,25,4,True,True,True,0.9414362352807848,18
0,9,"['mut15', 'mut20', 'mut28', 'mut33']",4,26,4,True,True,True,0.950014191065268,15
0,10,"['mut12', 'mut15', 'mut28', 'mut39']",4,22,4,True,True,True,0.9125248413066908,15
0,11,"['mut12', 'mut15', 'mut20']",3,29,3,True,True,True,0.9648933672963694,15
0,12,"['mut12', 'mut19', 'mut20', 'mut28', 'mut33']",5,31,5,True,True,True,0.9696405240455834,21
0,13,"['mut11', 'mut15', 'mut19', 'mut20']",4,32,4,True,True,True,0.9728820302699668,21
0,14,"['mut11', 'mut28', 'mut33']",3,26,3,True,True,True,0.9841314805182844,14
0,15,"['mut12', 'mut19', 'mut26', 'mut44']",4,25,4,True,True,True,0.9999999810166904,12
0,16,"['mut12', 'mut15', 'mut19', 'mut28', 'mut33']",5,22,5,True,True,True,0.9125248413066908,15
0,17,"['mut12', 'mut15', 'mut19', 'mut28']",4,25,4,True,True,True,0.9362305689252844,18
0,18,"['mut19', 'mut20', 'mut28']",3,18,3,True,True,True,0.8589466466954897,13
0,19,"['mut11', 'mut15', 'mut20', 'mut33']",4,36,4,True,True,True,0.981638573364708,25
0,20,"['mut19', 'mut28', 'mut33']",3,24,3,True,True,True,0.952982205116768,13
0,21,['mut11'],1,23,1,True,False,False,0.943565783967619,10
0,22,"['mut11', 'mut19', 'mut28']",3,21,3,True,True,True,0.9328164235618212,9
0,23,"['mut12', 'mut19', 'mut20', 'mut28']",4,28,4,True,True,True,0.9614395019439133,17
0,24,"['mut15', 'mut19', 'mut20']",3,24,3,True,True,True,0.9343936282464198,15
0,25,"['mut11', 'mut15', 'mut19', 'mut28']",4,36,4,True,True,True,0.9872490127167308,23
0,26,"['mut15', 'mut19', 'mut20', 'mut28', 'mut39']",5,26,5,True,True,True,0.9437787750938196,19
0,27,"['mut20', 'mut33']",2,31,2,True,True,False,0.9723535148096334,17
0,28,"['mut12', 'mut28']",2,24,2,True,True,False,0.9404930970696236,14
0,29,"['mut12', 'mut15', 'mut19', 'mut20', 'mut28']",5,34,5,True,True,True,0.9773315816263072,23
0,30,"['mut15', 'mut26', 'mut33', 'mut44']",4,25,4,True,True,True,0.93830320773752,17
0,31,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,31,5,True,True,True,0.9672117534914828,23
0,32,"['mut15', 'mut20', 'mut26', 'mut28', 'mut33']",5,32,5,True,True,True,0.9915948065996544,21
0,33,"['mut12', 'mut15', 'mut19', 'mut39']",4,27,4,True,True,True,0.9544504130088144,17
0,34,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,32,5,True,True,True,0.9710741603182276,22
0,35,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33', 'mut39']",6,28,6,True,True,True,0.9539330421440538,19
0,36,"['mut15', 'mut20', 'mut33', 'mut39']",4,31,4,True,True,True,0.9676165530449908,22
0,37,"['mut12', 'mut15', 'mut33']",3,26,3,True,True,True,0.9492207657281262,15
0,38,"['mut19', 'mut26', 'mut28', 'mut33']",4,33,4,True,True,True,0.9844348393155774,20
0,39,"['mut12', 'mut19', 'mut28', 'mut39']",4,23,4,True,True,True,0.9375177511544744,14
0,40,"['mut15', 'mut19', 'mut28']",3,25,3,True,True,True,0.9466696460833116,12
0,41,"['mut11', 'mut15', 'mut33', 'mut44']",4,32,4,True,True,True,0.9710741603182276,22
0,42,"['mut11', 'mut15', 'mut19', 'mut28', 'mut33']",5,35,5,True,True,True,0.979015512791532,25
0,43,"['mut19', 'mut28']",2,14,2,True,True,False,0.7796042346398182,11
0,44,"['mut12', 'mut15', 'mut20', 'mut26', 'mut28']",5,28,5,True,True,True,0.960011335745956,17
0,45,"['mut15', 'mut19', 'mut26', 'mut28']",4,33,4,True,True,True,0.9756157903858248,19
0,46,"['mut11', 'mut15', 'mut19', 'mut20', 'mut28', 'mut33']",6,28,6,True,True,True,0.9535120553041768,21
0,47,"['mut15', 'mut19', 'mut33']",3,34,3,True,True,True,0.9785734554205946,21
0,48,"['mut19', 'mut26', 'mut33', 'mut44']",4,29,4,True,True,True,0.9622107048870234,18
0,49,"['mut11', 'mut19', 'mut20', 'mut28', 'mut33']",5,25,5,True,True,True,0.9437659543264408,16
0,50,"['mut11', 'mut20', 'mut28', 'mut33']",4,22,4,True,True,True,0.9166903406580243,14
0,51,"['mut12', 'mut19', 'mut20', 'mut26', 'mut28', 'mut33']",6,32,6,True,True,True,0.9723349106300996,24
0,52,"['mut26', 'mut28', 'mut33']",3,22,3,True,True,True,0.9228614402487312,13
0,53,"['mut11', 'mut12', 'mut28', 'mut39', 'mut8']",5,19,4,True,True,True,0.8661095104333947,14
0,54,"['mut11', 'mut15', 'mut19', 'mut20', 'mut28', 'mut33']",6,29,6,True,True,True,0.9617383311520606,19
0,55,"['mut12', 'mut15', 'mut28', 'mut33']",4,25,4,True,True,True,0.9335886665630068,20
0,56,"['mut11', 'mut15', 'mut20', 'mut28', 'mut39']",5,33,5,True,True,True,0.9806474590535356,17
0,57,"['mut11', 'mut15', 'mut19', 'mut20', 'mut33', 'mut39']",6,27,6,True,True,True,0.9453529370583564,22
0,58,['mut15'],1,19,1,True,False,False,0.8871315820437885,10
0,59,"['mut15', 'mut19', 'mut33']",3,37,3,True,True,True,0.9862257890753962,22
0,60,"['mut12', 'mut15', 'mut19', 'mut26', 'mut28']",5,31,5,True,True,True,0.9741733662818368,20
0,61,"['mut11', 'mut19', 'mut26', 'mut39']",4,28,4,True,True,True,0.9654419073352818,15
0,63,"['mut15', 'mut44']",2,18,2,True,True,False,0.8606880735944127,12
0,64,"['mut15', 'mut19', 'mut28']",3,26,3,True,True,True,0.9562624151861489,15
0,65,"['mut19', 'mut20', 'mut28']",3,27,3,True,True,True,0.958345157832562,15
0,66,"['mut11', 'mut15', 'mut19', 'mut33']",4,31,4,True,True,True,0.9679668927014512,22
0,67,"['mut12', 'mut28', 'mut33']",3,23,3,True,True,True,0.9470929214408944,10
0,68,"['mut12', 'mut15', 'mut19', 'mut26', 'mut28', 'mut33', 'mut39']",7,30,7,True,True,True,0.9644626241626656,20
0,69,"['mut15', 'mut20', 'mut28']",3,28,3,True,True,True,0.9606361664508314,16
0,70,"['mut11', 'mut20', 'mut28']",3,23,3,True,True,True,0.9297074729776382,14
0,71,"['mut20', 'mut28', 'mut39']",3,30,3,True,True,True,0.9688977045928138,17
0,72,"['mut12', 'mut15', 'mut33']",3,29,3,True,True,True,0.9640101945735136,18
0,73,"['mut12', 'mut15', 'mut19', 'mut20', 'mut28', 'mut33']",6,34,6,True,True,True,0.9741851315855194,28
0,74,"['mut12', 'mut15', 'mut19', 'mut26']",4,27,4,True,True,True,0.9746946722067666,16
0,75,"['mut11', 'mut20', 'mut28', 'mut33']",4,36,4,True,True,True,0.9848202574688698,22
0,76,"['mut19', 'mut26', 'mut28']",3,31,3,True,True,True,0.9780583567543958,14
0,77,"['mut12', 'mut15', 'mut19']",3,30,3,True,True,True,0.9909623797283752,15
0,78,"['mut19', 'mut20', 'mut33']",3,26,3,True,True,True,0.949602795469847,14
0,79,"['mut12', 'mut19', 'mut28', 'mut33', 'mut39', 'mut44']",6,31,6,True,True,True,0.968122544277165,22
0,80,"['mut11', 'mut15', 'mut20', 'mut33']",4,32,4,True,True,True,0.9702477020061422,23
0,81,"['mut12', 'mut15', 'mut20', 'mut26', 'mut28', 'mut33', 'mut39']",7,25,7,True,True,True,0.935218355990692,18
0,82,"['mut11', 'mut15', 'mut19', 'mut28', 'mut33']",5,29,5,True,True,True,0.9580214675125384,21
0,83,"['mut19', 'mut20', 'mut28', 'mut33']",4,30,4,True,True,True,0.9692816896067922,16
0,84,"['mut12', 'mut15', 'mut19', 'mut20', 'mut26', 'mut28', 'mut33']",7,30,7,True,True,True,0.9641378628098958,22
0,85,"['mut11', 'mut19', 'mut26', 'mut28', 'mut33']",5,27,5,True,True,True,0.9551621251276236,17
0,86,"['mut15', 'mut19', 'mut26', 'mut28']",4,29,4,True,True,True,0.9651260962143772,17
0,87,"['mut12', 'mut28', 'mut33', 'mut39']",4,28,4,True,True,True,0.9595114776677168,17
0,88,"['mut15', 'mut19', 'mut28', 'mut33']",4,32,4,True,True,True,0.9724763830748384,18
0,89,"['mut11', 'mut15', 'mut28']",3,31,3,True,True,True,0.9737574428426348,16
0,90,"['mut19', 'mut20', 'mut28', 'mut33']",4,32,4,True,True,True,0.9770429919316744,20
0,91,"['mut19', 'mut28', 'mut33', 'mut39']",4,33,4,True,True,True,0.978477805115296,20
0,92,"['mut15', 'mut19', 'mut20']",3,32,3,True,True,True,0.9791773247450712,18
0,93,"['mut11', 'mut12', 'mut15', 'mut19', 'mut20', 'mut28', 'mut39']",7,29,7,True,True,True,0.9585023766653696,23
0,94,"['mut15', 'mut26', 'mut39']",3,30,3,True,True,True,0.9712972032344216,16
