Chemistry,Tool,Time_ratio_vs_Uncalled4,File_ratio_vs_Uncalled4
DNA r9.4,Uncalled4,1.0,1.0
DNA r9.4,f5c,6.490541255712709,23.108999575430573
DNA r9.4,Nanopolish,67.04801540206277,22.961316619862213
DNA r9.4,Tombo,16.229405297648757,2.768700444789208
DNA r10.4,Uncalled4,1.0,1.0
DNA r10.4,f5c,28.89795249715948,31.325303161654794
DNA r10.4,Nanopolish,,
DNA r10.4,Tombo,,
RNA001,Uncalled4,1.0,1.0
RNA001,f5c,1.264278656495274,34.16469990662077
RNA001,Nanopolish,1.739265912290469,34.458010768647696
RNA001,Tombo,6.749844662103072,4.080332326842665
RNA004,Uncalled4,1.0,1.0
RNA004,f5c,1.1348107687391777,11.067844446270456
RNA004,Nanopolish,,
RNA004,Tombo,,
