model_id,label,feature,position,mean_abs_substitution_delta,median_abs_substitution_delta
dna_r9.4.1,DNA R9.4.1 6-mer,current_mean,1,0.322902380830553,0.3165687359168643
dna_r9.4.1,DNA R9.4.1 6-mer,current_mean,2,0.39928221740383474,0.3995449886858513
dna_r9.4.1,DNA R9.4.1 6-mer,current_mean,3,0.5493000206116205,0.5485480241600081
dna_r9.4.1,DNA R9.4.1 6-mer,current_mean,4,1.0846051665202128,1.08378393697465
dna_r9.4.1,DNA R9.4.1 6-mer,current_mean,5,0.5588951290089933,0.561443710775718
dna_r9.4.1,DNA R9.4.1 6-mer,current_mean,6,0.39570029353224007,0.3924689523855543
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,1,0.2730944007612373,0.2674735152079605
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,2,0.3116434086811116,0.30757889940026906
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,3,0.38264179077327487,0.38048507285725425
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,4,0.5399508732245473,0.538667456116871
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,5,1.0386603472545095,1.0378361410716972
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,6,0.5391899571877499,0.5378884843222
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,7,0.3825712138032913,0.3805970048581738
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,8,0.3109334151815871,0.3072948976728774
dna_r10.4.1,DNA R10.4.1 9-mer,current_mean,9,0.2732680342323961,0.2680850208405302
rna_r9.4.1,RNA001 R9.4.1 5-mer,current_mean,1,0.4050727969543135,0.39727806061376514
rna_r9.4.1,RNA001 R9.4.1 5-mer,current_mean,2,0.57228253511825,0.5871605438569858
rna_r9.4.1,RNA001 R9.4.1 5-mer,current_mean,3,1.0865802086741216,1.0777982458551612
rna_r9.4.1,RNA001 R9.4.1 5-mer,current_mean,4,0.5740711866148734,0.5707394568724649
rna_r9.4.1,RNA001 R9.4.1 5-mer,current_mean,5,0.41541996029888606,0.4147779609232496
rna004,RNA004 9-mer,current_mean,1,0.27318985864100476,0.26757896692966343
rna004,RNA004 9-mer,current_mean,2,0.31072956099050275,0.3067349522963896
rna004,RNA004 9-mer,current_mean,3,0.3829340195908072,0.38066204387270075
rna004,RNA004 9-mer,current_mean,4,0.5403276336605696,0.5396377615687566
rna004,RNA004 9-mer,current_mean,5,1.0381422899655248,1.0385823024791536
rna004,RNA004 9-mer,current_mean,6,0.539266582711979,0.5386761059424213
rna004,RNA004 9-mer,current_mean,7,0.38337241539319844,0.38170419640907816
rna004,RNA004 9-mer,current_mean,8,0.3116775262967831,0.30709568974596135
rna004,RNA004 9-mer,current_mean,9,0.27310708502852254,0.267150556567583
