quantile_bin,n_sites,positive_rate,score_mean,model
"(-0.001, 0.022]",500,0.0,0.0024650742928093547,Uncalled4-derived
"(0.022, 0.0973]",500,0.0,0.06364718453874538,Uncalled4-derived
"(0.0973, 0.149]",500,0.0,0.1228919807381906,Uncalled4-derived
"(0.149, 0.196]",500,0.0,0.17246903732537117,Uncalled4-derived
"(0.196, 0.244]",500,0.0,0.21997428386673848,Uncalled4-derived
"(0.244, 0.301]",500,0.002,0.27110244675269085,Uncalled4-derived
"(0.301, 0.373]",500,0.004,0.33218033119825974,Uncalled4-derived
"(0.373, 0.556]",500,0.104,0.4436008448803163,Uncalled4-derived
"(0.556, 0.806]",500,0.938,0.6976268503978096,Uncalled4-derived
"(0.806, 1.0]",500,1.0,0.907668888236436,Uncalled4-derived
"(-0.001, 0.0472]",500,0.004,0.008891538360410995,Nanopolish-derived
"(0.0472, 0.132]",500,0.012,0.09438150661792764,Nanopolish-derived
"(0.132, 0.194]",500,0.036,0.16382475489232526,Nanopolish-derived
"(0.194, 0.253]",500,0.038,0.22269708865080334,Nanopolish-derived
"(0.253, 0.306]",500,0.07,0.278965041535481,Nanopolish-derived
"(0.306, 0.361]",500,0.102,0.3326375854976363,Nanopolish-derived
"(0.361, 0.421]",500,0.134,0.39141881795135824,Nanopolish-derived
"(0.421, 0.5]",500,0.244,0.45807454472235476,Nanopolish-derived
"(0.5, 0.64]",500,0.514,0.5651048674220757,Nanopolish-derived
"(0.64, 1.0]",500,0.894,0.774810950778981,Nanopolish-derived
