Chemistry,Tool,Time_min,FileSize_MB,uncalled4_time_min,uncalled4_file_mb,speedup_vs_uncalled4,storage_ratio_vs_uncalled4,time_saved_min_vs_tool,file_saved_mb_vs_tool
DNA r9.4,Uncalled4,39.584270286340754,139.82065109661204,39.584270286340754,139.82065109661204,1.0,1.0,0.0,0.0
DNA r9.4,f5c,256.9233393707774,3231.115366828034,39.584270286340754,139.82065109661204,6.490541255712709,23.108999575430573,217.33906908443663,3091.294715731422
DNA r9.4,Nanopolish,2654.0467638379905,3210.4662398245937,39.584270286340754,139.82065109661204,67.04801540206277,22.961316619862213,2614.46249355165,3070.6455887279817
DNA r9.4,Tombo,642.4291658886989,387.1214988819064,39.584270286340754,139.82065109661204,16.229405297648757,2.768700444789208,602.8448956023582,247.30084778529437
DNA r10.4,Uncalled4,54.44913685523318,118.70855767886827,54.44913685523318,118.70855767886827,1.0,1.0,0.0,0.0
DNA r10.4,f5c,1573.468570353864,3718.581557173333,54.44913685523318,118.70855767886827,28.89795249715948,31.325303161654794,1519.0194334986309,3599.8729994944647
DNA r10.4,Nanopolish,,,54.44913685523318,118.70855767886827,,,,
DNA r10.4,Tombo,,,54.44913685523318,118.70855767886827,,,,
RNA001,Uncalled4,114.66766338728108,21.22445364382001,114.66766338728108,21.22445364382001,1.0,1.0,0.0,0.0
RNA001,f5c,144.97187941072403,725.1270894230943,114.66766338728108,21.22445364382001,1.264278656495274,34.16469990662077,30.304216023442947,703.9026357792743
RNA001,Nanopolish,199.43755817149585,731.3524522174138,114.66766338728108,21.22445364382001,1.739265912290469,34.458010768647696,84.76989478421477,710.1279985735938
RNA001,Tombo,773.9889156304711,86.60282432245239,114.66766338728108,21.22445364382001,6.749844662103072,4.080332326842665,659.32125224319,65.37837067863238
RNA004,Uncalled4,60.18828566025166,48.43795288655033,60.18828566025166,48.43795288655033,1.0,1.0,0.0,0.0
RNA004,f5c,68.30231471920341,536.1037278441161,60.18828566025166,48.43795288655033,1.1348107687391777,11.067844446270456,8.11402905895175,487.66577495756576
RNA004,Nanopolish,,,60.18828566025166,48.43795288655033,,,,
RNA004,Tombo,,,60.18828566025166,48.43795288655033,,,,
