rank,material_id,altermagnet_probability,electronic_class,anisotropy,first_principles_status
1,AM-CAND-001,0.966,metal,d-wave,predicted_consistent
2,AM-CAND-002,0.956,insulator,g-wave,predicted_consistent
3,AM-CAND-003,0.959,metal,i-wave,predicted_consistent
4,AM-CAND-004,0.94,insulator,d-wave,predicted_consistent
5,AM-CAND-005,0.943,metal,g-wave,predicted_consistent
6,AM-CAND-006,0.932,insulator,i-wave,predicted_consistent
7,AM-CAND-007,0.919,metal,d-wave,predicted_consistent
8,AM-CAND-008,0.921,insulator,g-wave,predicted_consistent
9,AM-CAND-009,0.905,metal,i-wave,predicted_consistent
10,AM-CAND-010,0.906,insulator,d-wave,predicted_consistent
11,AM-CAND-011,0.891,metal,g-wave,predicted_consistent
12,AM-CAND-012,0.885,insulator,i-wave,predicted_consistent
13,AM-CAND-013,0.884,metal,d-wave,predicted_consistent
14,AM-CAND-014,0.886,insulator,g-wave,predicted_consistent
15,AM-CAND-015,0.864,metal,i-wave,predicted_consistent
16,AM-CAND-016,0.859,insulator,d-wave,predicted_consistent
17,AM-CAND-017,0.861,metal,g-wave,predicted_consistent
18,AM-CAND-018,0.86,insulator,i-wave,predicted_consistent
19,AM-CAND-019,0.846,metal,d-wave,predicted_consistent
20,AM-CAND-020,0.835,insulator,g-wave,predicted_consistent
21,AM-CAND-021,0.84,metal,i-wave,predicted_consistent
22,AM-CAND-022,0.814,insulator,d-wave,predicted_consistent
23,AM-CAND-023,0.823,metal,g-wave,predicted_consistent
24,AM-CAND-024,0.805,insulator,i-wave,predicted_consistent
25,AM-CAND-025,0.795,metal,d-wave,predicted_consistent
26,AM-CAND-026,0.787,insulator,g-wave,predicted_consistent
27,AM-CAND-027,0.784,metal,i-wave,predicted_consistent
28,AM-CAND-028,0.787,insulator,d-wave,predicted_consistent
29,AM-CAND-029,0.768,metal,g-wave,predicted_consistent
30,AM-CAND-030,0.769,insulator,i-wave,predicted_consistent
31,AM-CAND-031,0.763,metal,d-wave,predicted_consistent
32,AM-CAND-032,0.75,insulator,g-wave,predicted_consistent
33,AM-CAND-033,0.747,metal,i-wave,predicted_consistent
34,AM-CAND-034,0.73,insulator,d-wave,predicted_consistent
35,AM-CAND-035,0.723,metal,g-wave,predicted_consistent
36,AM-CAND-036,0.719,insulator,i-wave,predicted_consistent
37,AM-CAND-037,0.722,metal,d-wave,predicted_consistent
38,AM-CAND-038,0.71,insulator,g-wave,predicted_consistent
39,AM-CAND-039,0.7,metal,i-wave,predicted_consistent
40,AM-CAND-040,0.699,insulator,d-wave,predicted_consistent
41,AM-CAND-041,0.689,metal,g-wave,predicted_consistent
42,AM-CAND-042,0.679,insulator,i-wave,predicted_consistent
43,AM-CAND-043,0.682,metal,d-wave,predicted_consistent
44,AM-CAND-044,0.673,insulator,g-wave,predicted_consistent
45,AM-CAND-045,0.657,metal,i-wave,predicted_consistent
46,AM-CAND-046,0.656,insulator,d-wave,predicted_consistent
47,AM-CAND-047,0.649,metal,g-wave,predicted_consistent
48,AM-CAND-048,0.649,insulator,i-wave,predicted_consistent
49,AM-CAND-049,0.639,metal,d-wave,predicted_consistent
50,AM-CAND-050,0.623,insulator,g-wave,predicted_consistent
