epoch,train_loss,pr_auc,roc_auc,precision_at_20,recall_at_20,enrichment_at_20,precision_at_50,recall_at_50,enrichment_at_50,precision_at_100,recall_at_100,enrichment_at_100
1,0.07238206639885902,0.06627192985722127,0.501578947368421,0.05,0.05,1.0,0.06,0.15,1.2,0.06,0.3,1.2
2,0.043338966770814016,0.06280142597354349,0.49039473684210527,0.05,0.05,1.0,0.08,0.2,1.5999999999999999,0.04,0.2,0.7999999999999999
3,0.04226734675467014,0.06354457240427969,0.4907894736842105,0.05,0.05,1.0,0.08,0.2,1.5999999999999999,0.05,0.25,1.0
4,0.04275561625567766,0.0623158552361542,0.4825,0.05,0.05,1.0,0.08,0.2,1.5999999999999999,0.06,0.3,1.2
5,0.04297800591358772,0.06128879838813277,0.47776315789473683,0.05,0.05,1.0,0.08,0.2,1.5999999999999999,0.05,0.25,1.0
6,0.041197394379056416,0.06001996645083781,0.47960526315789476,0.05,0.05,1.0,0.06,0.15,1.2,0.05,0.25,1.0
7,0.0423488851923209,0.06084063611814697,0.4788157894736842,0.05,0.05,1.0,0.06,0.15,1.2,0.05,0.25,1.0
8,0.04228975623846054,0.06157164145020345,0.4809210526315789,0.05,0.05,1.0,0.06,0.15,1.2,0.06,0.3,1.2
9,0.04111965931952,0.06510065385962374,0.4872368421052632,0.05,0.05,1.0,0.06,0.15,1.2,0.06,0.3,1.2
10,0.042161007483418174,0.06175597993310859,0.49078947368421055,0.05,0.05,1.0,0.08,0.2,1.5999999999999999,0.06,0.3,1.2
11,0.041292382834049374,0.06323893584484745,0.48802631578947375,0.05,0.05,1.0,0.08,0.2,1.5999999999999999,0.06,0.3,1.2
12,0.041653593142445274,0.0621166471276282,0.48907894736842106,0.05,0.05,1.0,0.08,0.2,1.5999999999999999,0.06,0.3,1.2
