model,fold,rmse,mae,r2
DummyMean,1,0.5203708420908857,0.47243571428571424,-0.0010609906556033888
DummyMean,2,0.5788225991093208,0.5359285714285714,-0.0014461994410353007
DummyMean,3,0.5693895012818151,0.5201285714285714,-0.007148549201976939
DummyMean,4,0.5743681840265664,0.5200571428571429,-8.480872225380409e-05
DummyMean,5,0.5201128574386678,0.4724357142857144,-6.864315200294513e-05
Lag8Baseline,1,0.0,0.0,1.0
Lag8Baseline,2,0.0,0.0,1.0
Lag8Baseline,3,0.0,0.0,1.0
Lag8Baseline,4,0.0,0.0,1.0
Lag8Baseline,5,0.0,0.0,1.0
Ridge,1,0.2651385596893402,0.23567222792027295,0.7401154773151373
Ridge,2,0.4115037353605963,0.33661903980666974,0.49384418778336947
Ridge,3,0.16089022803285014,0.12295873314591445,0.9195855759686714
Ridge,4,0.21848219426393642,0.1864873255708293,0.855293453799423
Ridge,5,0.1705687763696587,0.12955548775694262,0.8924442338051317
KNN,1,0.38110170352357575,0.2967042857142857,0.4630715569702297
KNN,2,0.3212936322787259,0.2693471428571429,0.6914390937933875
KNN,3,0.2510451521141167,0.22982571428571433,0.8042155030035554
KNN,4,0.27297881602791085,0.24744857142857143,0.7741011750158182
KNN,5,0.25558170765082994,0.2220214285714286,0.7585127723987618
RandomForest,1,0.10976280219866925,0.0973519106646822,0.9554605343610872
RandomForest,2,0.08402065537630891,0.07442556618029784,0.9788987202970665
RandomForest,3,0.026835159611767346,0.025043601312228603,0.9977629124197209
RandomForest,4,0.012953662918449262,0.01148828036680476,0.9994913239812282
RandomForest,5,0.003707316418719058,0.0025654108985260146,0.9999491894448849
