sample_id,grid_row,grid_col,spectral_signal,spectral_signal_sq,spectral_signal_cu,rolling_mean_2,rolling_std_2,sin_position,cos_position,composition_token,graph_n_nodes,graph_n_edges,graph_density,graph_mean_degree,target_property,lag_1,lag_2,lag_3,lag_8,full_fit_prediction
8,0,8,2.0,4.0,8.0,0.28,1.5354478174135389,0.9995736030415051,-0.029199522301288815,5.0,5,10,1.0,4.0,0.4321,-0.789,0.6543,-0.3456,-1.2345,0.6020447958333334
9,1,0,-1.8,3.24,-5.832000000000001,-0.08000000000000003,1.5354478174135389,0.9738476308781951,-0.2272020946930871,5.0,5,10,1.0,4.0,-0.2109,0.4321,-0.789,0.6543,-0.8765,-0.31386361666666596
10,1,1,-1.3,1.6900000000000002,-2.197,-0.44000000000000006,1.3184839779079607,0.9092974268256817,-0.4161468365471424,5.0,5,10,1.0,4.0,0.8765,-0.2109,0.4321,-0.789,0.1234,0.8102197583333317
11,1,2,-0.8,0.6400000000000001,-0.5120000000000001,-0.8,0.7071067811865476,0.8084964038195901,-0.5885011172553458,5.0,5,10,1.0,4.0,-0.5432,0.8765,-0.2109,0.4321,-0.5678,-0.4756829434523824
12,1,3,-0.3,0.09,-0.026999999999999996,-0.29999999999999993,0.7071067811865476,0.675463180551151,-0.7373937155412454,5.0,5,10,1.0,4.0,0.321,-0.5432,0.8765,-0.2109,0.9876,0.30684420833333254
13,1,4,0.2,0.04000000000000001,0.008000000000000002,0.19999999999999996,0.7071067811865476,0.5155013718214642,-0.8568887533689473,5.0,5,10,1.0,4.0,-0.0987,0.321,-0.5432,0.8765,-0.3456,-0.230378517857143
14,1,5,0.7,0.48999999999999994,0.3429999999999999,0.7,0.7071067811865476,0.3349881501559051,-0.9422223406686581,5.0,5,10,1.0,4.0,0.7654,-0.0987,0.321,-0.5432,0.6543,0.8065339559523782
15,1,6,1.2,1.44,1.7279999999999998,1.2,0.7071067811865476,0.1411200080598672,-0.9899924966004454,5.0,5,10,1.0,4.0,-0.4567,0.7654,-0.0987,0.321,-0.789,-0.46851836011904985
16,1,7,1.7,2.8899999999999997,4.912999999999999,0.8399999999999999,1.3184839779079607,-0.058374143427580086,-0.9982947757947531,5.0,5,10,1.0,4.0,0.2345,-0.4567,0.7654,-0.0987,0.4321,0.2546033541666651
17,1,8,2.2,4.840000000000001,10.648000000000001,0.47999999999999987,1.535447817413539,-0.2555411020268312,-0.9667981925794611,5.0,5,10,1.0,4.0,-0.6789,0.2345,-0.4567,0.7654,-0.2109,-0.611355166666666
18,2,0,-1.6,2.5600000000000005,-4.096000000000001,0.12000000000000004,1.5354478174135389,-0.44252044329485246,-0.896758416334147,5.0,5,10,1.0,4.0,0.9012,-0.6789,0.2345,-0.4567,0.8765,0.8946246541666666
