a_like,b_like
5.280681108249109634e+00,5.405070798297717971e+00
5.514124915066137333e+00,5.841461770998109593e+00
5.727287862304430988e+00,4.887565492171983550e+00
5.439841437696501636e+00,5.493434241511442551e+00
5.381749867882494875e+00,5.370168891138337841e+00
5.458946719887357801e+00,5.840249135589013818e+00
5.694034600722589268e+00,5.730566150194073671e+00
5.275431983111743328e+00,5.470442700116443291e+00
5.280288804994021312e+00,5.432521673435656950e+00
5.321098357252689759e+00,5.696657950850675611e+00
5.446988534736785681e+00,5.364814003774259987e+00
5.228855748944599036e+00,5.750547780173492107e+00
5.554750792443577723e+00,5.370821882165079941e+00
5.465619061995462324e+00,5.696175884530997102e+00
5.502515863660744522e+00,5.682476772550899113e+00
4.987055713011214308e+00,5.899261601767164187e+00
5.495995161799929640e+00,5.273286383199076610e+00
5.574779696917538274e+00,5.845959079432657468e+00
5.405016271512280923e+00,5.352070760906086022e+00
5.808107453808436738e+00,5.461626185653781107e+00
5.449405595958476844e+00,5.771108666988904012e+00
5.703761617581580623e+00,5.422407106437135305e+00
5.531486858977240573e+00,5.583770656220488959e+00
5.368245055371102303e+00,5.742573022017077200e+00
5.384070677397225779e+00,5.675255409317224498e+00
5.562821713320531991e+00,5.691335754753449550e+00
5.783803886289925700e+00,5.161132927460906572e+00
5.516064335859684142e+00,5.312347516007547732e+00
5.829524545943649549e+00,5.722865547955158227e+00
5.870082284906166237e+00,5.508007965997318678e+00
5.830330352471032818e+00,5.111259983523195771e+00
5.582773753914365145e+00,5.657082699577665075e+00
5.498096981473397094e+00,5.807749078365300299e+00
5.519064150492584808e+00,5.368387034920012013e+00
5.301968543169834014e+00,5.667880844426390397e+00
5.608655115670060809e+00,5.058160918917915971e+00
5.803160734662928810e+00,5.415170295063138184e+00
5.604582294094448081e+00,5.670891006844973603e+00
5.639691837700453902e+00,5.459515319971242953e+00
5.332794554301782064e+00,5.598797814317766353e+00
5.310683875857180603e+00,5.502387812878077433e+00
5.535624353489709826e+00,5.379353771053798638e+00
5.861540404357159062e+00,5.355563062007719033e+00
5.624495196752349102e+00,5.425393488370083617e+00
5.490351778908772573e+00,5.699432335485866474e+00
5.359313622120779996e+00,5.643655354154138770e+00
5.599093440608090333e+00,5.419067365606849762e+00
5.645793370582452120e+00,4.917644660559377101e+00
5.641564564533859460e+00,5.071889472418207312e+00
5.282452299550418395e+00,5.448265813220656284e+00
5.819275499911754856e+00,5.667400412431659262e+00
5.720827762346663015e+00,5.574672893010259145e+00
5.689054121754149485e+00,5.290488472534806697e+00
5.670337695144008983e+00,5.263911443078202801e+00
5.049618193683328649e+00,5.398085743031485251e+00
5.465596282799681127e+00,5.653566377258077758e+00
5.408341223407894915e+00,5.146608549424793289e+00
5.416383637392380379e+00,5.444831891944666324e+00
5.473443570694422000e+00,5.573945365961913367e+00
5.132271921204396570e+00,5.815219275160407264e+00
5.772757493684678387e+00,5.338325719446302742e+00
5.699252795979935726e+00,5.802970200294248926e+00
5.398368391389590570e+00,5.758060995205741328e+00
5.004021907591909013e+00,5.621764861759595000e+00
5.504897693586936924e+00,5.227059499776721019e+00
5.375493778819903312e+00,5.201390642701274380e+00
5.345247666889444638e+00,5.615891873752580921e+00
5.670701236514399390e+00,5.037717910407039312e+00
5.592017427808912977e+00,5.732273443297329685e+00
5.572342871731656544e+00,6.444134418864994274e+00
5.265250870338520350e+00,5.436766370631985978e+00
6.028475452354693509e+00,5.121649612684610275e+00
5.627810042709517013e+00,5.279377377704025598e+00
5.629946745733105828e+00,5.368975539881879477e+00
5.314855639923858455e+00,5.771760148329621920e+00
5.382123245282654622e+00,5.308850889200384948e+00
5.803295068780019328e+00,5.086740999602682223e+00
5.826938612811073170e+00,5.816483834046191070e+00
5.655968455843475517e+00,5.718977768584377230e+00
5.431273509981821235e+00,5.211694723698889753e+00
5.609206064239269374e+00,5.193848814693319937e+00
4.920707443622692523e+00,5.824614545301402657e+00
5.187513432714730754e+00,5.540521983382103777e+00
5.382083697301120573e+00,5.783113002957024129e+00
5.547626233496682602e+00,5.481622581571862440e+00
5.737108963763614788e+00,5.461708670927197140e+00
5.414859301852247064e+00,5.213924109072483937e+00
5.826950285787351191e+00,5.283918033916815027e+00
5.203810374139742123e+00,5.879653657899337027e+00
5.593837626246553896e+00,5.546152948251798165e+00
5.273078231489849443e+00,5.832790405873280903e+00
5.794217402806324024e+00,5.627118809765372376e+00
5.683323900989092792e+00,5.877247856638428303e+00
5.276317987141966981e+00,5.347687012693955744e+00
6.093133052324754217e+00,5.521142357363198805e+00
5.115757163322913748e+00,5.851093688877170074e+00
5.847423613923453445e+00,5.694450937380471700e+00
5.611786561735574885e+00,5.134781846114067960e+00
5.314718944646873666e+00,5.587739585187472713e+00
5.494229086649610849e+00,5.492078790923129006e+00
5.681749585935351732e+00,5.835943291145609280e+00
5.608087593824152783e+00,5.651978109034471842e+00
5.957901202128489615e+00,5.083966272969472122e+00
5.500386356499623375e+00,5.133848743925322644e+00
5.655534088251984670e+00,5.279802840535787745e+00
5.100056455952869605e+00,5.483362347524264990e+00
5.432963588092253993e+00,5.443998955207393742e+00
5.758852429185960631e+00,5.626606633016175252e+00
5.626468337722738688e+00,5.865771177701946115e+00
5.437885815038018045e+00,5.368566191972087509e+00
5.609482782998956196e+00,5.516626123362426526e+00
5.301129906227203037e+00,5.370560443872224532e+00
5.538772274327230960e+00,5.579941014672569644e+00
5.286184393816193428e+00,6.373463584819544892e+00
5.657915295911180031e+00,5.293112984775350860e+00
5.739964496444544650e+00,5.112863438472368571e+00
5.652895752987862288e+00,5.796415677212222839e+00
5.569754350431833423e+00,5.255559435582427774e+00
5.960006523808715428e+00,5.043901550248286014e+00
5.663010967932034845e+00,5.207404247819829912e+00
5.695259527305919889e+00,5.321626358595383799e+00
5.657770498032177464e+00,4.899459512845161235e+00
4.842808728260219908e+00,5.744041729163316568e+00
6.065164319352231992e+00,5.610155238283252466e+00
4.693490439138488846e+00,5.926475772134396358e+00
5.657391129543810848e+00,5.503569037376087714e+00
4.980008161644125408e+00,5.712284515457320744e+00
5.703344329880995822e+00,5.604798739891607262e+00
5.363131373965926763e+00,5.547288177106405982e+00
5.320147935023570085e+00,5.255273616920654867e+00
5.527718072364098845e+00,5.425471793329961656e+00
5.377286372245905888e+00,5.473849536031249130e+00
5.586786831157887434e+00,5.795590415042717325e+00
5.545259358415862927e+00,5.614931393041969976e+00
5.508835812262611320e+00,5.532604295490759938e+00
5.730010791896121169e+00,5.425287074337638238e+00
5.890641425869851844e+00,5.863723238334678456e+00
5.242727453250775049e+00,5.917579997372077294e+00
5.500705583415387956e+00,5.169060213075387544e+00
5.305278452061543248e+00,5.816265606561407786e+00
5.125028328639754882e+00,5.319719553131055712e+00
5.394569167874924354e+00,5.794282521444626077e+00
5.683107907035763517e+00,5.207388482409045061e+00
5.471802310129553426e+00,5.585745258002144276e+00
5.566625445225506397e+00,5.442391699014306639e+00
5.600594917427161867e+00,5.495161375026518691e+00
4.772423819926600252e+00,5.384773710129139523e+00
5.601301286773228583e+00,5.502476224841143626e+00
5.394004018480234919e+00,5.518980804207609836e+00
5.956945016503157220e+00,5.210640898129181409e+00
4.889066665986614879e+00,5.617240146387143973e+00
5.277809493824345388e+00,5.645333590912017918e+00
5.358094399461894142e+00,5.326228526535974339e+00
