fold,model,mae,rmse,r2
1,mean_baseline,0.6178017532467532,0.6811304070809382,-0.0058359146886621804
1,linear_regression,0.6301529916729878,0.6949988818486843,-0.04721248988115079
1,rf_regressor,0.7298538365367966,0.8099244724703961,-0.4221835302946466
2,mean_baseline,0.4887235714285715,0.5389509166909736,-0.24877689505573986
2,linear_regression,0.4803143102011626,0.5483455842229311,-0.29269219271511293
2,rf_regressor,0.6716766566468253,0.7491457358259382,-1.412787357428869
3,mean_baseline,0.5212354251012146,0.5654023783044072,-0.02411484703681044
3,linear_regression,0.5113533801114596,0.5604194759301405,-0.006143300420399234
3,rf_regressor,0.6383162424612667,0.7010466165911451,-0.5744439183542771
4,mean_baseline,0.49410303643724696,0.558267357232356,-0.0577408577005043
4,linear_regression,0.4964534176881836,0.5638285776794452,-0.07891934372937426
4,rf_regressor,0.6276202908730157,0.7069803248181786,-0.6963265757737231
5,mean_baseline,0.5098396761133603,0.5709746153269841,-0.0766863091132215
5,linear_regression,0.5057340306119976,0.5664215573133236,-0.059583378412513044
5,rf_regressor,0.6331212065637579,0.7203699772281111,-0.713826281657326
6,mean_baseline,0.5110927272727273,0.560501288229954,-0.02054523955566534
6,linear_regression,0.5128688733438651,0.567084032554527,-0.04465736152563249
6,rf_regressor,0.6432222884208845,0.7118557223418753,-0.6461256876055332
7,mean_baseline,0.5223238961038961,0.5759567317001251,-0.013872350461271221
7,linear_regression,0.548019384993846,0.6380752215306543,-0.24436366709780621
7,rf_regressor,0.7775590742302836,0.8450746367728396,-1.1826982341154948
8,mean_baseline,0.5372080296896087,0.5886547528616656,-0.00024853660058599125
8,linear_regression,0.5314215670333103,0.5810731261658003,0.025351103079588322
8,rf_regressor,0.6678593725497456,0.7206599784804575,-0.49915805860363793
9,mean_baseline,0.5276658569500675,0.6069726265915689,-0.00320631270002103
9,linear_regression,0.5323823857675847,0.6077465146624693,-0.005766112922338085
9,rf_regressor,0.609357670154553,0.7080931390384281,-0.365314862473878
10,mean_baseline,0.5113026315789473,0.5674442548683006,-0.009915262878511966
10,linear_regression,0.504267675775999,0.5635648050206047,0.0038465216831164994
10,rf_regressor,0.6664222616778689,0.7317602336225495,-0.6794850355438098
11,mean_baseline,0.5376424675324676,0.5986179892592323,-0.2542578120021328
11,linear_regression,0.5345834990165598,0.600275725778483,-0.26121419484730524
11,rf_regressor,0.6484469661011906,0.736074447173614,-0.896403595001239
12,mean_baseline,0.5169614285714286,0.5755958162581427,-0.13951998700925805
12,linear_regression,0.5150433870716802,0.5804415393845841,-0.15878712259899075
12,rf_regressor,0.6117106146825397,0.6984515397345357,-0.67787362788638
13,mean_baseline,0.5812385290148449,0.6119795916494568,-0.008433055348789464
13,linear_regression,0.5720217630631372,0.6063116399400987,0.010159986801988707
13,rf_regressor,0.6878476089095845,0.740649025080549,-0.47705989021841466
