reaction,state,species,x,y,z
Rxn 1,reactant,C,0.0,0.0,0.0
Rxn 1,reactant,C,1.5,0.0,0.0
Rxn 1,reactant,C,1.5,1.5,0.0
Rxn 1,reactant,C,0.0,1.5,0.0
Rxn 1,reactant,H,-0.5,-0.5,0.0
Rxn 1,reactant,H,2.0,-0.5,0.0
Rxn 1,reactant,H,2.0,2.0,0.0
Rxn 1,reactant,H,-0.5,2.0,0.0
Rxn 1,transition_state,C,0.0,0.0,0.0
Rxn 1,transition_state,C,1.4,0.2,0.0
Rxn 1,transition_state,C,1.4,1.3,0.0
Rxn 1,transition_state,C,0.0,1.5,0.0
Rxn 1,transition_state,H,-0.5,-0.5,0.0
Rxn 1,transition_state,H,1.9,-0.3,0.0
Rxn 1,transition_state,H,1.9,1.8,0.0
Rxn 1,transition_state,H,-0.5,2.0,0.0
Rxn 11,reactant,C,0.0,0.0,0.0
Rxn 11,reactant,H,0.0,1.0,0.0
Rxn 11,reactant,H,0.9,-0.5,0.0
Rxn 11,reactant,H,-0.9,-0.5,0.0
Rxn 11,reactant,O,1.2,0.0,0.0
Rxn 11,transition_state,C,0.0,0.0,0.0
Rxn 11,transition_state,H,0.0,1.0,0.0
Rxn 11,transition_state,H,0.9,-0.5,0.0
Rxn 11,transition_state,H,-0.9,-0.5,0.0
Rxn 11,transition_state,O,1.5,0.0,0.0
Rxn 20,reactant,C,0.0,0.0,0.0
Rxn 20,reactant,C,1.5,0.0,0.0
Rxn 20,reactant,C,0.75,1.3,0.0
Rxn 20,reactant,H,-0.5,-0.5,0.0
Rxn 20,reactant,H,2.0,-0.5,0.0
Rxn 20,reactant,H,0.75,2.0,0.0
Rxn 20,reactant,H,0.0,0.0,1.0
Rxn 20,reactant,H,1.5,0.0,1.0
Rxn 20,reactant,H,0.75,1.3,1.0
Rxn 20,transition_state,C,0.0,0.0,0.0
Rxn 20,transition_state,C,1.5,0.0,0.0
Rxn 20,transition_state,C,0.75,1.3,0.0
Rxn 20,transition_state,H,-0.5,-0.5,0.0
Rxn 20,transition_state,H,2.0,-0.5,0.0
Rxn 20,transition_state,H,0.75,2.0,0.0
Rxn 20,transition_state,H,0.0,0.0,1.5
Rxn 20,transition_state,H,1.5,0.0,1.5
Rxn 20,transition_state,H,0.75,1.3,1.5
