acid,epoxide,tg,std
COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,413.8863,27.1437
CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,401.9456,25.9971
O=C(O)CCC(CCC(=O)O)C(=O)NCC(=O)Nc1cccc2ccccc12,COC(=O)c1cccc(C=CC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)c1,446.0696,11.7085
Cn1ccc(CCNC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)n1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccc(O)n1,461.7248,21.5763
CN(C)c1cccnc1C(=O)N(CCC(=O)O)CCC(=O)O,O=C(Cc1ccc(OCC2CO2)cc1)N1CCN(CCC2CO2)CC1,435.4811,28.3316
COc1ccccc1N(CCO)CC(=O)N(CCC(=O)O)CCC(=O)O,COc1cccc(CN(C)C(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)c1,402.6255,13.3751
O=C(O)CCN1CCCN(C(=O)CC2(CC(=O)O)CCCCC2)CC1,Cc1cc(OCC2CO2)ccc1NC(=O)c1ccccc1OCC1CO1,458.731,33.1887
Nc1c(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)cnn1Cc1ccccc1,Cc1ccc(C(=O)NCCC(=O)NCCCc2ccc(OCC3CO3)cc2)c(OCC2CO2)c1,412.8704,21.9067
Cc1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)on1,C(CCN1CCN(CCCCC2CO2)CC1)CC1CO1,371.4001,22.521
CC(Cc1ccc(NC(=O)NC2CCC(C(=O)O)CC2)cc1)C(=O)O,CCCN(CCOCC1CO1)Cc1ccc(COCC2CO2)cc1,404.0248,17.8243
O=C(O)CCN(CCC(=O)O)C(=O)c1cccc(Cn2ccnc2)c1,Cc1cc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)ccc1N1CCCC1,426.4341,32.1743
O=C(O)COCc1ccc(NC(=O)CCCc2ccccn2)cc1COCC(=O)O,CCOc1ccc(OCC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,400.3912,32.8007
