acid,epoxide,tg,std,tg_calib_mean,tg_calib_std,z1,z2,score
COc1cnc2ccccc2c1C(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1,CCc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1C,462.0835,39.6454,399.9917841617995,2.866712284647037,55.11119155247559,10.896963498525421,-1.4415719805240177
O=C(O)CCC(CCC(=O)O)C(=O)N(Cc1ccco1)Cc1ccccc1O,COC(=O)c1ccc(C(=O)O)cc1NC(=O)N(CC1CO1)CC1CO1,472.2933,18.5613,399.9798874260563,2.880446929629243,60.930092360363005,-11.732793246321702,-1.4603360387583417
CC(=O)c1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,Cc1ccc(C(=O)N2CCC(CCc3ccc(OCC4CO4)cc3)CC2)c(OCC2CO2)n1,468.8676,22.8258,400.02285727783294,2.8749893857756956,58.76704853304068,-6.861378730469472,-1.4603519707207886
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)c2cccc(C3OCCO3)c2)cc1,CNc1ccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)cc1,463.8648,32.0318,399.9511441089359,2.8682791037964814,55.769747308209276,3.1265498674231793,-1.4829954429623198
CC1(C(=O)O)CCN(C(=O)c2cccc(C(=O)O)c2)C1,CCOc1cccc(CN2CCC(C(=O)Nc3ccc(OCC4CO4)cc3)CC2)c1OCC1CO1,461.7609,44.157,399.948540206948,2.8670571044469493,55.22201937173543,15.337688082333194,-1.4849883452754786
O=C(O)C1CCC(NC(=O)N2CC(C(=O)O)C2)CC1,O=C(NCC1CO1)Nc1ccc(NC(=O)Nc2ccc(C(=O)NCC3CO3)cc2)cc1,466.3075,26.696,399.948472789104,2.871401015516063,57.13751635036067,-2.5703400512208106,-1.487227718654015
Cc1nc(C(C)C)ccc1CN(CCC(=O)O)CCC(=O)O,Cc1ccc(NC(=O)C2CCN(C(=O)Nc3ccc(C(=O)N(CC4CO4)CC4CO4)cc3)CC2)nc1,461.7575,43.3781,399.9405200974105,2.8669373116949357,55.148634217470544,14.581805474857466,-1.492948558436955
CN(Cc1ccco1)C(=O)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1ccn(Cc2ccccc2)n1,464.2347,30.9793,399.9258530510746,2.8687437750352625,55.93981311014011,2.0237736923268628,-1.5085188364430058
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1ccc(C(=O)Nc2ccccc2)cc1,CC(C)CNC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,463.2686,34.3695,400.0821492213921,2.8674879592455906,55.609369573857975,5.536628239822022,-1.51589320101491
CC(C)n1nccc1NC(=O)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(Nc1ccccc1)C1CCN(C(=O)CN(CC2CO2)CC2CO2)CC1,463.7898,32.0653,399.90064152372395,2.868258176119239,55.68328140634469,3.169156540898225,-1.5334875643356716
COC(=O)c1ccccc1CCC(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1,COc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,464.6175,29.9505,399.8884543362604,2.869262360320752,56.11345770192975,0.9398413353798354,-1.546176843899981
