target_tg,rank_within_target,acid,epoxide,tg,std,calibrated_tg,calibration_uncertainty,cluster,latent_1,latent_2,score
300,1,NC(CCCCC(=O)O)C(=O)O,O=C(CCCC1CO1)N(CCc1ccccc1)CC1CO1,376.6204,19.4765,297.50542579805585,45.54422803667934,5,-1.8324311073076927,-2.4286520049312847,13.72915672635147
300,2,NC(CCCC(=O)O)C(=O)O,Cc1ccc(NC(=O)CCc2ccc(OCC3CO3)cc2)c(OCC2CO2)n1,399.6619,20.9699,302.8350880219109,51.41208838900108,6,-1.1148849892534252,-2.299603162092766,16.26793775659329
300,3,CC(C)(CCC(=O)O)C(=O)NCCCC(=O)O,C(CCCOCC1CO1)CCOCC1CO1,364.1876,21.9147,302.91228800843265,44.98279953630899,0,-1.7703302610772529,-2.5462842460306323,16.737868165146274
300,4,CC(C(=O)O)C(=O)NCCCCCCC(=O)O,c1cc(OCC2CO2)c2ncc(OCC3CO3)cc2c1,378.6242,20.4753,306.3751249713252,41.59275188608397,6,-1.4771042732805675,-2.6831569307916325,16.905384369603187
300,5,Nc1ccccc1CCC(=O)N(CCC(=O)O)CCC(=O)O,Cc1ccc(CN(CC2CO2)CC2CO2)cc1C,420.5276,14.3497,301.5530101404018,58.84740317506405,5,-1.0614014412260961,-1.9535373982402766,16.970331333761393
350,1,O=C(O)c1cc(C(=O)N2CCCCC2C(=O)O)ccn1,c1ccc2c(OCC3CO3)ccc(OCC3CO3)c2c1,469.6133,19.6333,350.70991520374895,48.585704402403564,2,1.5799024912689186,-3.008217031996834,13.143738241330874
350,2,O=C(O)CC(CC(=O)Nc1ccccc1C(=O)O)c1ccccc1,Cc1cc(C)cc(C(=O)N(CC2CO2)CC2CO2)c1,472.3248,23.4318,354.4416414995806,43.850969282616106,5,1.9001041294297458,-3.2469749980516145,16.537692254298257
350,3,O=C(O)c1ccc(Oc2ccc(NC(=O)C3CC3)cc2)cc1C(=O)O,CC(=CC(=O)N(CC1CO1)CC1CO1)c1ccccc1,460.0783,41.9128,351.7007819118855,54.34571528166434,0,2.567410175953791,-3.070705385321928,16.646318002652905
350,4,O=C(O)c1ccccc1Nc1ccccc1C(=O)O,CCc1ccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,541.1776,26.1346,350.8702438502552,54.08623508729065,2,3.237789835964419,-2.843541266274503,17.08303290248499
350,5,O=C(O)c1cccc(C(=O)c2cccc(C(=O)O)c2)c1,CCOc1cccc(CN(CC)c2cccc(OCC3CO3)c2)c1OCC1CO1,448.1319,13.5472,347.66156492073264,56.863956920003574,6,0.8468049525277346,-2.6482406951415793,17.47478349483893
400,1,O=C(O)c1cccc(C=Cc2cccc(C(=O)O)c2)c1,Cc1cc(C)c2c(OCC3CO3)ccc(OCC3CO3)c2n1,451.897,24.3036,398.9682553395202,45.63681589822481,2,2.9999334800234787,-3.842664203612227,13.687000285184007
400,2,CCC(C)N(CC(=O)O)C(=O)c1ccc(C(=O)O)cc1,c1ccc2c(c1)cc(OCC1CO1)c1ccc(OCC3CO3)cc12,443.8798,23.7897,394.2052120272141,49.995740673790614,0,2.7047153103687838,-3.6279255481461568,20.14022745789541
400,3,Cc1ccc(C=C(C(=O)O)C(=O)O)o1,CC(C)(C)c1ccc(CCC(=O)N(CC2CO2)CC2CO2)cc1,435.624,29.4197,392.3129320031099,50.12186553343975,5,2.7788354577748624,-3.658454851953343,22.684216604182716
400,4,Cc1cc(C)c(C(=O)O)cc1C=C(C(=O)O)c1ccncc1,Cc1ccc(Oc2ccc(NC(=O)N(CC3CO3)CC3CO3)cn2)cc1,478.1393,27.2013,389.6597693078881,46.50040955095845,2,3.332172175592066,-3.6843099551984198,23.07805786729825
400,5,O=C(O)C1(C(=O)O)CCN(Cc2ccc3ccccc3n2)CC1,CC(C)C(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,421.285,19.5617,408.4533010231751,59.45361332745316,0,2.6007158311200964,-3.497160697905818,25.564465225489734
450,1,O=C(O)C1(C(=O)O)CCN(Cc2ccc3ccccc3n2)CC1,CC(C)C(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,421.285,19.5617,408.4533010231751,59.45361332745316,0,2.6007158311200964,-3.497160697905818,58.65786317913959
450,2,O=C(O)c1cccc(C=Cc2cccc(C(=O)O)c2)c1,Cc1cc(C)c2c(OCC3CO3)ccc(OCC3CO3)c2n1,451.897,24.3036,398.9682553395202,45.63681589822481,2,2.9999334800234787,-3.842664203612227,63.687000285184006
450,3,Cc1ccc(C=C(C(=O)O)C(=O)O)o1,CC(C)(C)c1ccc(CCC(=O)N(CC2CO2)CC2CO2)cc1,435.624,29.4197,392.3129320031099,50.12186553343975,5,2.7788354577748624,-3.658454851953343,72.68421660418271
450,4,Cc1nn(C)c2nc(C=Cc3ccc(C=CC(=O)O)cc3)cc(C(=O)O)c12,Cc1ccc(OCC2CO2)c(C(=O)N2CCC(c3ccc(OCC4CO4)cc3)CC2)c1,435.7523,11.9915,404.36979081263445,94.31904906906465,2,2.6048132632967658,-2.2076124572385627,72.932903828191
450,5,Cc1cc(C)c(C(=O)O)cc1C=C(C(=O)O)c1ccncc1,Cc1ccc(Oc2ccc(NC(=O)N(CC3CO3)CC3CO3)cn2)cc1,478.1393,27.2013,389.6597693078881,46.50040955095845,2,3.332172175592066,-3.6843099551984198,73.07805786729826
