acid,epoxide,tg,std,acid_parse_ok,epoxide_parse_ok,acid_mw,epoxide_mw,acid_tpsa,epoxide_tpsa,acid_logp,epoxide_logp,acid_hba,epoxide_hba,acid_hbd,epoxide_hbd,acid_rot,epoxide_rot,acid_ring,epoxide_ring,pair_id,tg_calibrated_mean,tg_calibrated_std,novelty_score,nn_distance,target_tg,distance_to_target,acquisition,rank
CC(C)CCCN(CCC(=O)O)CC(=O)O,COc1c(CN(C)CCc2ccccc2OCC2CO2)cccc1OCC1CO1,343.169,27.1368,1.0,1.0,231.292,399.48700000000025,77.84,55.99000000000001,1.2838999999999998,2.924900000000001,3.0,6.0,2.0,0.0,9.0,12.0,0.0,4.0,5205,348.8063074977399,78.47405856616851,3.2667913,1.4307337,350,1.1936925022600917,28.332933860089707,1
O=C(O)COCCC(=O)CCOCC(=O)O,O=C(CCC1CO1)N1CCCN(CCCCCC2CO2)CC1,351.0219,39.973,1.0,1.0,234.20399999999995,310.43800000000005,110.13000000000001,48.61000000000001,-0.4618999999999998,1.6589,5.0,4.0,2.0,0.0,10.0,9.0,0.0,3.0,1267,347.1763884075386,82.9768173340321,8.687118,3.6701274,350,2.8236115924614182,30.996785889791813,2
Cn1cccc1C(=O)CN(CCC(=O)O)CCC(=O)O,O=C(COCC1CO1)N1CCN(CCCCCOCC2CO2)CC1,376.0154,11.5296,1.0,1.0,282.29599999999994,342.4360000000001,99.84000000000002,67.07000000000001,0.4591999999999995,0.1317000000000026,4.0,6.0,2.0,0.0,9.0,12.0,1.0,3.0,2070,349.72195979746584,90.97579616867667,6.477534,2.5403173,350,0.2780402025341573,31.471815444079077,3
Cc1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)on1,C(CCN1CCN(CCCCC2CO2)CC1)CC1CO1,371.4001,22.521,1.0,1.0,298.29499999999996,282.428,129.73000000000002,31.54,0.94502,1.7421999999999997,5.0,4.0,3.0,0.0,9.0,10.0,1.0,3.0,8,351.4679131729059,96.80575864096303,6.9118595,2.4311638,350,1.4679131729059236,34.65874274601007,4
O=C(O)CCCNCCC1CCN(C(=O)CCCC(=O)O)CC1,COc1cccc(CN(C)C(=O)CN(CC2CO2)CC2CO2)c1,359.9813,19.2143,1.0,1.0,328.40900000000005,320.38900000000007,106.94000000000001,57.84,1.3243999999999991,0.7531999999999999,4.0,5.0,3.0,0.0,11.0,9.0,1.0,3.0,6931,350.0993865481073,101.1072252374642,6.640773,2.3061,350,0.0993865481073044,34.82283809926787,5
O=C(O)CCN(CCOCc1ccccc1)CCC(=O)O,c1cc(CN2CCC(OCCOCC3CO3)CC2)ccc1COCC1CO1,329.8521,21.279,1.0,1.0,295.33500000000004,377.4810000000001,87.07000000000001,55.99000000000001,1.4546,1.9983999999999997,4.0,6.0,2.0,0.0,11.0,12.0,1.0,4.0,2340,351.5097465722426,96.5762159887481,4.5524774,1.9495453,350,1.509746572242591,34.85617443828772,6
Cc1cc(N(CCC(=O)O)CCC(=O)O)ncn1,c1cc(CN2CCN(CCCCOCC3CO3)CC2)ccc1COCC1CO1,375.7616,12.8409,1.0,1.0,253.258,390.52400000000017,103.62,50.0,0.5408199999999995,1.9151999999999996,5.0,6.0,2.0,0.0,7.0,13.0,1.0,4.0,7243,352.19894946563045,95.62617970224093,4.1334987,2.1557322,350,2.1989494656304487,35.254762494547705,7
CC(C)(CCC(=O)O)C(=O)NCCCC(=O)O,C(CCCOCC1CO1)CCOCC1CO1,364.1876,21.9147,1.0,1.0,245.27499999999995,230.30399999999995,103.7,43.519999999999996,0.8583999999999996,1.3776,3.0,4.0,3.0,0.0,8.0,11.0,0.0,2.0,6206,347.0831516636846,94.77312190677152,4.731961,2.4315436,350,2.916848336315411,35.61424491441771,8
O=C(O)COCCCCCCOCC(=O)O,CC1(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CCC1,371.5695,29.564,1.0,1.0,234.24799999999996,347.4110000000002,93.06000000000002,72.62,0.7492000000000001,2.0481999999999996,4.0,5.0,2.0,1.0,11.0,9.0,0.0,4.0,1545,351.1572518823234,100.86795869865186,4.4262023,1.4426074,350,1.1572518823234077,36.01841717924909,9
CC(CNc1ncccc1C(=O)O)C(=O)O,CCC(CC)OC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,410.9873,24.5852,1.0,1.0,224.21599999999998,336.3840000000001,99.52,69.82000000000001,0.9123999999999997,2.5872,4.0,6.0,3.0,0.0,5.0,10.0,1.0,3.0,1637,351.6301554538085,99.78573380951272,4.293578,2.0111973,350,1.630155453808527,36.12580446042823,10
Cc1cc(CN(CCC(=O)O)CCC(=O)O)ccc1N(C)C,C(CCCCC1CO1)CCCC1CO1,348.1367,21.4424,1.0,1.0,308.37800000000004,198.30599999999995,81.08,25.06,1.8124199999999997,2.9048000000000016,4.0,2.0,2.0,0.0,9.0,9.0,1.0,2.0,3728,400.34643478272,70.31735771278414,4.498717,1.953804,400,0.34643478271999584,24.507638293113253,1
NC(CCCCCCC(=O)O)C(=O)O,Cc1cccc(C)c1CN(CC1CO1)CC1CO1,395.8952,22.5014,1.0,1.0,203.238,247.33799999999994,100.62000000000002,28.299999999999997,0.8234999999999999,1.90304,3.0,3.0,3.0,0.0,8.0,6.0,0.0,3.0,5913,397.9718872811425,86.38947822544641,6.142483,1.6065896,400,2.0281127188575283,31.65018176240229,2
CC1(C)CN(CCC(=O)O)CCN1CCC(=O)O,c1cc(OCC2CO2)ccc1CCCCCCc1ccc(OCC2CO2)cc1,372.2414,11.6768,1.0,1.0,258.3179999999999,382.50000000000006,81.08000000000001,43.519999999999996,0.3320000000000009,4.587400000000004,4.0,4.0,2.0,0.0,6.0,13.0,1.0,4.0,3957,398.35273209866637,87.07432985625091,3.2246304,1.4223326,400,1.6472679013336347,31.80082031543796,3
Cc1ccc(CN(CCC(=O)O)CC(=O)O)cc1C#N,CCc1cc(OCC2CO2)c(CC)cc1OCC1CO1,407.6599,13.586,1.0,1.0,276.29200000000003,278.348,101.63,43.519999999999996,1.228,2.3666,4.0,4.0,2.0,0.0,7.0,8.0,1.0,3.0,527,400.3056519090424,93.73407688380114,3.2967427,1.1878234,400,0.30565190904241035,32.78290454464348,4
CC(C)(CCC(=O)O)C(=O)N1CCCN(CCCCC(=O)O)CC1,CC(C)c1c(OCC2CO2)cccc1OCC1CO1,393.5262,8.1022,1.0,1.0,342.4360000000001,264.32099999999997,98.15,43.519999999999996,1.6666000000000005,2.3652000000000006,4.0,4.0,2.0,0.0,9.0,7.0,1.0,3.0,4860,396.0931211226161,90.65653437639237,4.8576283,1.9053915,400,3.9068788773839174,35.1509030745723,5
CC(C)(C)c1ncc(C(=O)N(CCC(=O)O)CCC(=O)O)cn1,c1ccc(CCN(CCCC2CO2)CC2CO2)cc1,408.627,23.0342,1.0,1.0,323.349,261.36499999999995,120.69,28.299999999999997,1.1657000000000002,2.1089,5.0,3.0,2.0,0.0,7.0,9.0,1.0,3.0,3198,398.1163312565057,98.40120919432788,4.455299,1.3910513,400,1.8836687434942974,35.87856205356724,6
O=C(O)CCc1ccccc1C(=O)O,COc1cccc(O)c1CN(CC1CO1)CC1CO1,420.3135,26.2733,1.0,1.0,194.18599999999998,265.3089999999999,74.6,57.760000000000005,1.4020000000000001,1.0003999999999997,2.0,5.0,2.0,1.0,4.0,7.0,1.0,3.0,4549,405.36400631112457,93.37922185784876,3.3488917,1.4010253,400,5.3640063111245695,37.711844787863946,7
O=C(O)CC(CC(=O)O)c1ccccn1,COc1ccc(OCCC(=O)N(CC2CO2)CC2CO2)cc1,427.3044,21.9439,1.0,1.0,209.20100000000002,307.346,87.49,63.830000000000005,1.1145999999999998,1.0902999999999996,3.0,5.0,2.0,0.0,5.0,9.0,1.0,3.0,7713,403.66814528219373,100.30589289156025,2.8839447,1.394016,400,3.668145282193734,38.48681331329614,8
Cc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,C(=NN=Cc1ccccc1OCC1CO1)c1ccc(OCC2CO2)cc1,400.4994,32.6624,1.0,1.0,279.292,352.3900000000001,94.91000000000001,68.24000000000001,1.38662,2.6948000000000008,3.0,6.0,2.0,0.0,7.0,9.0,1.0,4.0,941,399.3720946348053,111.59789504610187,5.608028,2.368406,400,0.6279053651946924,39.12636581398568,9
O=C(O)CCCCC(=O)N1CCC(CC(=O)O)CC1,CC(C)Oc1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,406.5057,25.5205,1.0,1.0,271.31300000000005,321.373,94.91000000000001,63.830000000000005,1.3446999999999998,1.4787999999999997,3.0,5.0,2.0,0.0,7.0,9.0,1.0,3.0,6029,398.4049217496738,109.31497906679188,7.21394,2.3061,400,1.5950782503261962,39.13392692126576,10
Cc1ccccc1C(C(=O)O)N1CCC(CCC(=O)O)CC1,O=C(CCC1CO1)N1CCCN(CCCCCC2CO2)CC1,391.4062,14.4784,1.0,1.0,305.374,310.43800000000005,77.84,48.61000000000001,2.697520000000001,1.6589,3.0,4.0,2.0,0.0,6.0,9.0,2.0,3.0,2575,443.77487360179504,94.58616916162164,6.6865005,2.9489338,450,6.225126398204964,38.66163551407811,1
Cc1nn(CCC(=O)O)c(C)c1CCC(=O)O,O=C(CCCC1CCCC1)N(CC1CO1)CC1CO1,391.5697,18.4148,1.0,1.0,240.25899999999996,267.36899999999997,92.42,45.370000000000005,0.9918400000000003,1.9731,3.0,3.0,2.0,0.0,6.0,8.0,1.0,3.0,2224,449.1609125139817,112.38790353442835,3.9980075,1.2763801,450,0.8390874860182862,39.77505297543522,2
O=C(O)CCN(CC(=O)O)CC1=Cc2ccccc2OC1,O=C(CCN(CC1CO1)CC1CO1)N1CCc2ccccc21,407.4641,14.5049,1.0,1.0,291.3030000000001,302.37399999999997,87.07000000000001,48.61000000000001,1.3236999999999994,1.0654000000000003,4.0,4.0,2.0,0.0,7.0,7.0,2.0,4.0,1414,445.4214198185649,103.9380120579041,4.1163406,2.11063,450,4.578580181435086,40.545250343941284,3
O=C(O)CCCC(=O)N1CCC(c2ccccc2C(=O)O)CC1,COc1ccc(CN(CC2CO2)CC2CO2)c(C)c1,430.411,30.7078,1.0,1.0,319.35700000000014,263.33699999999993,94.91000000000001,37.53,2.345700000000001,1.6032199999999999,3.0,4.0,2.0,0.0,6.0,7.0,2.0,3.0,6059,456.4990590879028,99.31322265183185,3.941527,1.4451841,450,6.499059087902822,40.86453431514293,4
CN(CCC(=O)O)C(=O)C1(c2ccccc2)CCN(C(=O)CC(=O)O)CC1,CCc1ccc(CCN(CC2CO2)CC2CO2)cc1,437.3295,70.2278,1.0,1.0,376.4090000000002,261.36499999999995,115.22000000000001,28.299999999999997,0.9545999999999992,1.8911,4.0,3.0,2.0,0.0,7.0,8.0,2.0,3.0,2238,446.9713485490761,113.2240707885731,3.5335236,1.2043993,450,3.028651450923917,42.30372385904654,5
O=C(O)CCCC(C(=O)O)c1ccccc1,CCCCCc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1,441.8569,45.8751,1.0,1.0,222.24000000000004,318.41700000000003,74.6,57.400000000000006,2.1097,3.0508000000000015,2.0,3.0,2.0,1.0,6.0,9.0,1.0,3.0,6975,454.0641575529131,112.76338198481784,3.5352373,1.3153714,450,4.064157552913116,43.17781751636767,6
O=C(O)c1ccccc1OCCN1CCCC(C(=O)O)C1,O=C(c1ccc(OCC2CO2)cc1OCC1CO1)N1CCCCC1c1ccccc1,453.9567,30.4184,1.0,1.0,293.31899999999996,409.48200000000014,87.07000000000001,63.830000000000005,1.5602000000000003,3.609200000000003,4.0,5.0,2.0,0.0,6.0,8.0,2.0,5.0,6271,451.0704212446473,122.80763605039112,4.967008,1.8937582,450,1.0704212446473207,43.55639303897718,7
CC(C)(CCCCC(C)(C)C(=O)O)C(=O)O,O=C(c1cc2ccccc2nc1OCC1CO1)N1CCc2cc(OCC3CO3)ccc2C1,398.4602,19.9926,1.0,1.0,230.304,432.4760000000003,74.6,76.72,2.7683999999999997,2.988500000000001,2.0,6.0,2.0,0.0,7.0,7.0,0.0,6.0,5580,447.1637679030642,120.31956833887615,5.4204626,2.1814098,450,2.8362320969358166,44.40603476662966,8
O=C(O)COCc1ccc(CN(Cc2ccccc2)CC2(COCC(=O)O)CC2)cc1,Cc1ccc2c(c1)n(CC1CO1)c(=O)n2CC1CO1,404.224,30.5282,1.0,1.0,427.4970000000003,260.293,96.3,51.99,3.171400000000001,0.9090199999999999,5.0,3.0,2.0,0.0,14.0,4.0,3.0,4.0,3186,451.17133303467625,128.45668568602457,4.930634,2.1094837,450,1.1713330346762518,45.63810960472755,9
O=C(O)CCOc1ccc(C=C2CCn3c2nc2cc(C(=O)O)ccc2c3=O)cc1,COc1ccc(CN(CC2CO2)CC2CO2)cc1,427.0871,8.0796,1.0,1.0,406.3940000000001,249.30999999999997,118.72,37.53,2.892500000000001,1.2947999999999997,5.0,4.0,2.0,0.0,6.0,7.0,4.0,3.0,2726,447.8279475149447,127.30699168496022,3.5527127,1.2100031,450,2.1720524850553034,46.37422829497952,10
