frame,num_detections,num_tracks_output,matches_high,matches_low,new_tracks
0,153,3,0,0,3
1,158,3,3,0,0
2,163,3,3,0,0
3,164,3,1,2,0
4,161,3,2,1,0
5,167,3,2,1,0
6,154,3,2,1,0
7,170,3,2,1,0
8,168,3,1,2,0
9,154,4,2,1,1
10,155,4,3,1,0
11,161,4,2,2,0
12,159,4,3,1,0
13,152,4,2,2,0
14,154,4,3,1,0
15,155,4,2,2,0
16,159,4,2,2,0
17,157,4,1,3,0
18,160,4,2,2,0
19,159,4,2,2,0
20,165,4,2,2,0
21,157,4,2,2,0
22,161,5,2,2,1
23,168,6,2,3,1
24,156,6,2,4,0
25,160,6,2,4,0
26,158,6,2,4,0
27,158,6,2,4,0
28,155,6,2,4,0
29,155,6,3,3,0
30,151,6,4,2,0
31,150,6,3,3,0
32,151,6,3,3,0
33,158,6,2,4,0
34,162,6,4,2,0
35,159,6,1,5,0
36,156,7,2,4,1
37,165,7,3,4,0
38,164,7,5,2,0
39,157,7,4,3,0
40,157,8,4,3,1
41,151,8,4,4,0
42,160,9,3,5,1
43,154,9,4,5,0
44,166,10,2,7,1
45,161,11,3,7,1
46,150,11,4,7,0
47,162,11,3,8,0
48,167,12,4,7,1
49,163,11,4,7,0
50,165,13,4,8,1
51,157,13,5,8,0
52,157,13,3,10,0
53,155,13,5,8,0
54,158,13,3,10,0
55,154,13,4,9,0
56,151,13,4,9,0
57,161,13,5,8,0
58,151,13,3,10,0
59,169,13,5,8,0
60,159,13,3,9,1
61,155,13,5,8,0
62,158,14,5,9,0
63,156,14,3,11,0
64,155,14,5,9,0
65,161,13,3,10,0
66,159,14,4,10,0
67,153,14,6,8,0
68,152,14,6,8,0
69,152,14,6,8,0
70,166,14,6,8,0
71,151,14,5,9,0
72,157,14,6,8,0
73,150,13,6,7,0
74,162,13,4,9,0
75,153,14,2,12,0
76,161,14,8,6,0
77,160,14,7,7,0
78,159,14,4,10,0
79,158,14,3,11,0
80,142,13,3,10,0
81,160,16,3,11,2
82,168,16,5,11,0
83,160,16,3,13,0
84,164,17,2,14,1
85,170,18,4,13,1
86,156,19,4,14,1
87,164,19,7,12,0
88,150,19,5,14,0
89,169,20,5,14,1
90,161,20,7,13,0
91,158,20,6,14,0
92,161,20,4,16,0
93,156,20,6,14,0
94,154,21,5,15,1
95,155,20,3,17,0
96,152,21,2,19,0
97,148,21,2,19,0
98,156,21,3,18,0
99,161,21,3,18,0
