frame,num_detections,num_tracks_output,matches_high,matches_low,new_tracks
0,153,3,0,0,3
1,158,3,3,0,0
2,163,3,3,0,0
3,164,3,1,2,0
4,161,3,2,1,0
5,167,3,2,1,0
6,154,3,2,1,0
7,170,3,2,1,0
8,168,3,1,2,0
9,154,4,2,1,1
10,155,4,3,1,0
11,161,4,2,2,0
12,159,5,2,2,1
13,152,5,2,3,0
14,154,5,3,2,0
15,155,5,2,3,0
16,159,5,2,3,0
17,157,5,1,4,0
18,160,5,2,3,0
19,159,5,2,3,0
20,165,5,2,3,0
21,157,5,2,3,0
22,161,6,2,3,1
23,168,7,2,4,1
24,156,7,2,5,0
25,160,7,2,5,0
26,158,7,2,5,0
27,158,7,2,5,0
28,155,7,2,5,0
29,155,7,3,4,0
30,151,7,4,3,0
31,150,8,2,5,1
32,151,8,3,5,0
33,158,9,1,7,1
34,162,8,4,4,0
35,159,9,1,8,0
36,156,10,2,7,1
37,165,10,3,7,0
38,164,10,5,5,0
39,157,10,4,6,0
40,157,11,4,6,1
41,151,11,4,7,0
42,160,12,3,8,1
43,154,12,4,8,0
44,166,13,2,10,1
45,161,14,3,10,1
46,150,14,4,10,0
47,162,14,3,11,0
48,167,15,4,10,1
49,163,14,4,10,0
50,165,16,4,11,1
51,157,16,5,11,0
52,157,16,3,13,0
53,155,16,5,11,0
54,158,16,3,13,0
55,154,16,4,12,0
56,151,16,4,12,0
57,161,15,5,10,0
58,151,16,3,13,0
59,169,16,5,11,0
60,159,16,3,12,1
61,155,16,5,11,0
62,158,17,5,12,0
63,156,17,3,14,0
64,155,17,5,12,0
65,161,16,3,13,0
66,159,17,4,13,0
67,153,18,5,12,1
68,152,18,6,12,0
69,152,19,5,13,1
70,166,19,6,13,0
71,151,19,5,14,0
72,157,19,6,13,0
73,150,18,6,12,0
74,162,18,4,14,0
75,153,19,2,17,0
76,161,19,8,11,0
77,160,19,7,12,0
78,159,19,4,15,0
79,158,19,3,16,0
80,142,17,3,14,0
81,160,21,3,16,2
82,168,21,5,16,0
83,160,21,3,18,0
84,164,22,2,19,1
85,170,24,3,19,2
86,156,25,4,20,1
87,164,25,7,18,0
88,150,25,5,20,0
89,169,26,5,20,1
90,161,26,7,19,0
91,158,26,6,20,0
92,161,26,4,22,0
93,156,25,6,19,0
94,154,27,5,21,1
95,155,26,3,23,0
96,152,27,2,25,0
97,148,26,2,24,0
98,156,27,3,24,0
99,161,27,3,24,0
