family,method,success_rate,runtime_sec,sum_of_costs
empty,LNS-PP,1.0,1.7284,950.0
empty,MARL-LNS-PP,1.0,3.3,1224.0
empty,PP,1.0,0.9564,950.0
empty,PP-RR,1.0,0.8313,950.0
maze,LNS-PP,1.0,1.2783,495.75
maze,MARL-LNS-PP,1.0,0.8341,546.0
maze,PP,0.875,0.5291,511.7143
maze,PP-RR,1.0,0.7376,482.75
random_large,LNS-PP,1.0,0.8098,1340.0
random_large,MARL-LNS-PP,1.0,0.7068,1340.0
random_large,PP,1.0,0.6306,1340.0
random_large,PP-RR,1.0,0.7404,1340.0
random_medium,LNS-PP,0.875,23.5453,652.0
random_medium,MARL-LNS-PP,1.0,1.9716,761.0
random_medium,PP,0.875,0.5268,654.8571
random_medium,PP-RR,1.0,0.6026,643.0
random_small,LNS-PP,1.0,0.0201,91.125
random_small,MARL-LNS-PP,1.0,0.0274,128.625
random_small,PP,1.0,0.0115,93.375
random_small,PP-RR,1.0,0.0129,93.375
warehouse,LNS-PP,1.0,0.865,680.75
warehouse,MARL-LNS-PP,1.0,0.8023,761.25
warehouse,PP,1.0,0.5186,680.75
warehouse,PP-RR,1.0,0.5352,680.75
