family,folder,map_name,path,height,width,free_cells,obstacles,obstacle_density
empty,empty_maps_484_25_25,eval_map_empty_10,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/empty/empty_maps_484_25_25/eval_map_empty_10.npy,25,25,625,0,0.0
empty,empty_maps_500_25_25,eval_map_empty_24,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/empty/empty_maps_500_25_25/eval_map_empty_24.npy,25,25,625,0,0.0
empty,empty_maps_469_25_25,eval_map_empty_39,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/empty/empty_maps_469_25_25/eval_map_empty_39.npy,25,25,625,0,0.0
empty,empty_maps_453_25_25,eval_map_empty_44,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/empty/empty_maps_453_25_25/eval_map_empty_44.npy,25,25,625,0,0.0
maze,maze_maps_125_25_25,eval_map_maze_30,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/maze/maze_maps_125_25_25/eval_map_maze_30.npy,25,25,339,286,0.4576
maze,maze_maps_125_25_25,eval_map_maze_42,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/maze/maze_maps_125_25_25/eval_map_maze_42.npy,25,25,339,286,0.4576
maze,maze_maps_125_25_25,eval_map_maze_52,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/maze/maze_maps_125_25_25/eval_map_maze_52.npy,25,25,339,286,0.4576
maze,maze_maps_156_25_25,eval_map_maze_76,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/maze/maze_maps_156_25_25/eval_map_maze_76.npy,25,25,339,286,0.4576
random_large,maps_1500_50_50_0.175,eval_map_21,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_large/maps_1500_50_50_0.175/eval_map_21.npy,50,50,2073,427,0.1708
random_large,maps_1250_50_50_0.175,eval_map_40,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_large/maps_1250_50_50_0.175/eval_map_40.npy,50,50,2041,459,0.1836
random_medium,maps_344_25_25_0.175,eval_map_17,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_medium/maps_344_25_25_0.175/eval_map_17.npy,25,25,508,117,0.1872
random_medium,maps_312_25_25_0.175,eval_map_26,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_medium/maps_312_25_25_0.175/eval_map_26.npy,25,25,510,115,0.184
random_medium,maps_375_25_25_0.175,eval_map_29,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_medium/maps_375_25_25_0.175/eval_map_29.npy,25,25,515,110,0.176
random_medium,maps_312_25_25_0.175,eval_map_49,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_medium/maps_312_25_25_0.175/eval_map_49.npy,25,25,525,100,0.16
random_small,maps_50_10_10_0.175,eval_map_35,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_small/maps_50_10_10_0.175/eval_map_35.npy,10,10,82,18,0.18
random_small,maps_60_10_10_0.175,eval_map_62,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_small/maps_60_10_10_0.175/eval_map_62.npy,10,10,83,17,0.17
random_small,maps_55_10_10_0.175,eval_map_88,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_small/maps_55_10_10_0.175/eval_map_88.npy,10,10,87,13,0.13
random_small,maps_60_10_10_0.175,eval_map_98,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/random_small/maps_60_10_10_0.175/eval_map_98.npy,10,10,84,16,0.16
warehouse,warehouse_maps_297_25_25,eval_map_warehouse_24,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/warehouse/warehouse_maps_297_25_25/eval_map_warehouse_24.npy,25,25,445,180,0.288
warehouse,warehouse_maps_281_25_25,eval_map_warehouse_3,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/warehouse/warehouse_maps_281_25_25/eval_map_warehouse_3.npy,25,25,445,180,0.288
warehouse,warehouse_maps_266_25_25,eval_map_warehouse_50,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/warehouse/warehouse_maps_266_25_25/eval_map_warehouse_50.npy,25,25,445,180,0.288
warehouse,warehouse_maps_297_25_25,eval_map_warehouse_83,/mnt/shared-storage-user/yetianlin/ResearchClawBench/workspaces/Math_002_20260402_122607/data/warehouse/warehouse_maps_297_25_25/eval_map_warehouse_83.npy,25,25,445,180,0.288
