family,scenario,map_file,nominal_agent_count,height,width,obstacle_density,free_cells,obstacle_cells,component_count,largest_component_ratio,mean_branching,corridor_ratio
empty,empty_maps_453_25_25,eval_map_empty_1.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_10.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_11.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_12.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_13.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_14.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_15.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_16.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_17.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_18.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_19.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_2.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_20.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_21.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_22.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_23.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_24.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_25.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_26.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_27.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_28.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_29.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_3.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_30.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_31.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_32.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_33.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_34.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_35.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_36.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_37.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_38.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_39.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_4.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_40.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_41.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_42.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_43.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_44.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_45.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_46.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_47.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_48.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_49.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_5.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_50.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
empty,empty_maps_453_25_25,eval_map_empty_6.npy,453,25,25,0.000000,625,0,1,1.000000,3.840000,0.006400
