dataset,map_id,map_path,agents,seed,method,success,collision_count,soc,makespan,runtime_sec,normalized_soc
random_small,eval_map_1,data/random_small/maps_50_10_10_0.175/eval_map_1.npy,42,7,pp,0,1,inf,inf,0.015196098014712334,inf
random_small,eval_map_1,data/random_small/maps_50_10_10_0.175/eval_map_1.npy,42,7,rand_pp,0,1,inf,inf,0.018569136038422585,inf
random_small,eval_map_1,data/random_small/maps_50_10_10_0.175/eval_map_1.npy,42,7,lns_pp,1,0,181.0,14.0,0.049066804349422455,0.5535168195718655
random_small,eval_map_1,data/random_small/maps_50_10_10_0.175/eval_map_1.npy,42,7,hybrid_marl_lns,0,10,inf,inf,0.2611425817012787,inf
random_small,eval_map_10,data/random_small/maps_50_10_10_0.175/eval_map_10.npy,39,8,pp,0,1,inf,inf,0.006344545632600784,inf
random_small,eval_map_10,data/random_small/maps_50_10_10_0.175/eval_map_10.npy,39,8,rand_pp,0,1,inf,inf,0.011328071355819702,inf
random_small,eval_map_10,data/random_small/maps_50_10_10_0.175/eval_map_10.npy,39,8,lns_pp,0,8,inf,inf,0.18463466130197048,inf
random_small,eval_map_10,data/random_small/maps_50_10_10_0.175/eval_map_10.npy,39,8,hybrid_marl_lns,0,10,inf,inf,0.20679800026118755,inf
random_small,eval_map_100,data/random_small/maps_50_10_10_0.175/eval_map_100.npy,42,9,pp,0,1,inf,inf,0.014936031773686409,inf
random_small,eval_map_100,data/random_small/maps_50_10_10_0.175/eval_map_100.npy,42,9,rand_pp,0,1,inf,inf,0.019198458641767502,inf
random_small,eval_map_100,data/random_small/maps_50_10_10_0.175/eval_map_100.npy,42,9,lns_pp,0,3,inf,inf,0.11274625919759274,inf
random_small,eval_map_100,data/random_small/maps_50_10_10_0.175/eval_map_100.npy,42,9,hybrid_marl_lns,0,10,inf,inf,0.21387899108231068,inf
random_small,eval_map_11,data/random_small/maps_50_10_10_0.175/eval_map_11.npy,38,10,pp,0,1,inf,inf,0.011235205456614494,inf
random_small,eval_map_11,data/random_small/maps_50_10_10_0.175/eval_map_11.npy,38,10,rand_pp,0,1,inf,inf,0.013480225577950478,inf
random_small,eval_map_11,data/random_small/maps_50_10_10_0.175/eval_map_11.npy,38,10,lns_pp,0,5,inf,inf,0.24763348884880543,inf
random_small,eval_map_11,data/random_small/maps_50_10_10_0.175/eval_map_11.npy,38,10,hybrid_marl_lns,0,10,inf,inf,0.1562966164201498,inf
random_medium,eval_map_1,data/random_medium/maps_312_25_25_0.175/eval_map_1.npy,80,7,pp,0,1,inf,inf,0.15391393192112446,inf
random_medium,eval_map_1,data/random_medium/maps_312_25_25_0.175/eval_map_1.npy,80,7,rand_pp,0,1,inf,inf,0.1984919309616089,inf
random_medium,eval_map_1,data/random_medium/maps_312_25_25_0.175/eval_map_1.npy,80,7,lns_pp,0,2,inf,inf,6.3291210401803255,inf
random_medium,eval_map_1,data/random_medium/maps_312_25_25_0.175/eval_map_1.npy,80,7,hybrid_marl_lns,0,5,inf,inf,9.947385285049677,inf
random_medium,eval_map_10,data/random_medium/maps_312_25_25_0.175/eval_map_10.npy,80,8,pp,0,1,inf,inf,0.39576882869005203,inf
random_medium,eval_map_10,data/random_medium/maps_312_25_25_0.175/eval_map_10.npy,80,8,rand_pp,0,1,inf,inf,0.50562933832407,inf
random_medium,eval_map_10,data/random_medium/maps_312_25_25_0.175/eval_map_10.npy,80,8,lns_pp,1,0,662.0,35.0,1.0849356949329376,0.47763347763347763
random_medium,eval_map_10,data/random_medium/maps_312_25_25_0.175/eval_map_10.npy,80,8,hybrid_marl_lns,0,2,inf,inf,13.261901654303074,inf
random_medium,eval_map_100,data/random_medium/maps_312_25_25_0.175/eval_map_100.npy,80,9,pp,0,1,inf,inf,0.0495962779968977,inf
random_medium,eval_map_100,data/random_medium/maps_312_25_25_0.175/eval_map_100.npy,80,9,rand_pp,0,1,inf,inf,0.09504413604736328,inf
random_medium,eval_map_100,data/random_medium/maps_312_25_25_0.175/eval_map_100.npy,80,9,lns_pp,0,1,inf,inf,4.289165072143078,inf
random_medium,eval_map_100,data/random_medium/maps_312_25_25_0.175/eval_map_100.npy,80,9,hybrid_marl_lns,0,2,inf,inf,7.5091383177787066,inf
random_medium,eval_map_11,data/random_medium/maps_312_25_25_0.175/eval_map_11.npy,80,10,pp,1,0,1529.0,40.0,1.4451741389930248,1.0501373626373627
random_medium,eval_map_11,data/random_medium/maps_312_25_25_0.175/eval_map_11.npy,80,10,rand_pp,1,0,1533.0,42.0,1.4703946840018034,1.0528846153846154
random_medium,eval_map_11,data/random_medium/maps_312_25_25_0.175/eval_map_11.npy,80,10,lns_pp,1,0,1533.0,42.0,1.5348431076854467,1.0528846153846154
random_medium,eval_map_11,data/random_medium/maps_312_25_25_0.175/eval_map_11.npy,80,10,hybrid_marl_lns,1,0,1533.0,42.0,1.5333926882594824,1.0528846153846154
maze,eval_map_maze_1,data/maze/maze_maps_125_25_25/eval_map_maze_1.npy,80,7,pp,0,1,inf,inf,0.06180754117667675,inf
maze,eval_map_maze_1,data/maze/maze_maps_125_25_25/eval_map_maze_1.npy,80,7,rand_pp,0,1,inf,inf,0.09465794451534748,inf
maze,eval_map_maze_1,data/maze/maze_maps_125_25_25/eval_map_maze_1.npy,80,7,lns_pp,0,5,inf,inf,4.512557439506054,inf
maze,eval_map_maze_1,data/maze/maze_maps_125_25_25/eval_map_maze_1.npy,80,7,hybrid_marl_lns,0,10,inf,inf,4.540709314867854,inf
maze,eval_map_maze_10,data/maze/maze_maps_125_25_25/eval_map_maze_10.npy,80,8,pp,0,1,inf,inf,0.05812978744506836,inf
maze,eval_map_maze_10,data/maze/maze_maps_125_25_25/eval_map_maze_10.npy,80,8,rand_pp,0,1,inf,inf,0.09269886836409569,inf
