name,num_params,num_lines
angle_bisector,4,5
angle_mirror,4,5
circle,4,5
circumcenter,4,5
eq_quadrangle,4,5
eq_trapezoid,4,5
eq_triangle,3,5
eqangle2,4,5
eqdia_quadrangle,4,5
eqdistance,4,5
foot,4,5
free,1,5
incenter,4,5
incenter2,7,5
excenter,4,5
excenter2,7,5
centroid,7,5
ninepoints,7,5
intersection_cc,4,5
intersection_lc,4,5
intersection_ll,5,5
intersection_lp,6,5
intersection_lt,6,5
intersection_pp,7,5
intersection_tt,7,5
iso_triangle,3,5
lc_tangent,3,5
midpoint,3,5
mirror,3,5
nsquare,3,5
on_aline,6,5
on_aline2,6,5
on_bline,3,5
on_circle,3,5
on_line,3,5
on_pline,4,5
on_tline,4,5
orthocenter,4,5
parallelogram,4,5
pentagon,5,1
=,0,3
psquare,3,5
quadrangle,4,1
=,0,3
r_trapezoid,4,5
r_triangle,3,5
rectangle,4,5
reflect,4,5
risos,3,5
s_angle,4,5
segment,2,1
=,0,3
shift,4,5
square,4,5
isquare,4,5
trapezoid,4,5
triangle,3,1
=,0,3
triangle12,3,5
2l1c,8,5
e5128,6,5
3peq,6,5
trisect,5,5
trisegment,4,5
on_dia,3,5
ieq_triangle,3,5
on_opline,3,5
cc_tangent0,6,5
cc_tangent,8,5
eqangle3,6,5
tangent,5,5
on_circum,4,5
