id,num_premise_clauses,num_constraint_atoms,num_unique_primitives,goal_predicate,goal_arity,coordinates_present,most_common_primitives
translated_imo_2000_p1,10,17,5,cong,4,0,on_circle:6;on_line:6;on_tline:2;on_pline:2;segment:1
translated_imo_2000_p6,11,12,6,cong,4,0,reflect:4;foot:3;on_line:2;triangle:1;orthocenter:1
translated_imo_2002_p2a,7,11,6,eqangle,8,0,on_circle:4;on_bline:3;segment:1;midpoint:1;on_pline:1
translated_imo_2002_p2b,7,11,6,eqangle,8,0,on_circle:4;on_bline:3;segment:1;midpoint:1;on_pline:1
translated_imo_2003_p4,9,13,6,cong,4,0,on_circle:3;on_line:3;foot:3;on_bline:2;triangle:1
translated_imo_2004_p1,8,12,6,coll,3,0,on_circle:4;on_line:2;angle_bisector:2;circle:2;triangle:1
translated_imo_2004_p5,4,5,4,cong,4,0,on_aline:2;triangle:1;circle:1;on_circle:1
translated_imo_2005_p5,10,15,5,cyclic,4,0,on_line:8;eqdistance:2;circle:2;on_circle:2;triangle:1
translated_imo_2007_p4,9,12,7,eqratio,8,0,on_line:4;midpoint:2;foot:2;triangle:1;circle:1
translated_imo_2008_p1a,11,17,5,cyclic,4,0,on_circle:6;on_line:6;midpoint:3;triangle:1;orthocenter:1
translated_imo_2008_p1b,11,17,5,cyclic,4,0,on_circle:6;on_line:6;midpoint:3;triangle:1;orthocenter:1
translated_imo_2008_p6,13,18,8,cong,4,1,on_tline:8;incenter:2;foot:2;on_line:2;triangle:1
translated_imo_2009_p2,8,9,5,cong,4,0,mirror:3;circle:2;on_line:2;triangle:1;on_tline:1
translated_imo_2010_p2,8,11,7,cong,4,0,on_line:4;on_circle:2;triangle:1;circle:1;incenter:1
translated_imo_2010_p4,7,11,4,cong,4,0,on_circle:5;on_line:4;iso_triangle:1;on_tline:1
translated_imo_2011_p6,15,19,6,coll,3,0,reflect:6;on_line:6;on_circle:3;circle:2;triangle:1
translated_imo_2012_p1,6,10,3,cong,4,0,on_line:8;triangle:1;excenter2:1
translated_imo_2012_p5,6,9,4,cong,4,0,on_line:5;on_circle:2;r_triangle:1;foot:1
translated_imo_2013_p4,9,13,5,coll,3,0,on_line:7;circle:2;on_circle:2;triangle:1;orthocenter:1
translated_imo_2014_p4,7,10,5,cong,4,0,on_line:4;on_aline:2;mirror:2;triangle:1;circle:1
translated_imo_2015_p3,9,12,7,coll,3,0,circle:3;on_line:2;on_dia:2;on_circle:2;triangle:1
translated_imo_2015_p4,11,17,4,coll,3,0,on_circle:7;on_line:6;circle:3;triangle:1
translated_imo_2016_p1,8,13,8,coll,3,0,on_line:4;on_bline:3;triangle:1;angle_bisector:1;on_tline:1
translated_imo_2017_p4,8,11,7,perp,4,0,on_circle:4;on_tline:2;segment:1;mirror:1;on_bline:1
translated_imo_2018_p1,6,9,5,para,4,0,on_circle:3;on_line:2;on_bline:2;triangle:1;circle:1
translated_imo_2019_p2,7,10,4,cyclic,4,0,on_line:6;eqangle3:2;triangle:1;on_pline:1
translated_imo_2019_p6,8,12,6,perp,4,0,on_circle:4;on_line:3;circle:2;triangle:1;incenter2:1
translated_imo_2020_p1,10,13,4,cong,4,0,on_aline:6;angle_bisector:4;on_line:2;triangle:1
translated_imo_2021_p3,8,12,6,coll,3,0,on_line:5;on_aline:2;circle:2;triangle:1;angle_bisector:1
translated_imo_2022_p4,9,14,6,cyclic,4,0,on_line:8;on_bline:2;segment:1;free:1;eqdistance:1
