index,num_antecedents,consequent_predicate,antecedent_predicates,text
1,3,para,perp;perp;ncoll,"perp A B C D, perp C D E F, ncoll A B E => para A B E F"
2,3,cyclic,cong;cong;cong,"cong O A O B, cong O B O C, cong O C O D => cyclic A B C D"
3,1,para,eqangle,eqangle A B P Q C D P Q => para A B C D
4,1,eqangle,cyclic,cyclic A B P Q => eqangle P A P B Q A Q B
5,2,cyclic,eqangle6;ncoll,"eqangle6 P A P B Q A Q B, ncoll P Q A B => cyclic A B P Q"
6,2,cong,cyclic;eqangle,"cyclic A B C P Q R, eqangle C A C B R P R Q => cong A B P Q"
7,2,para,midp;midp,"midp E A B, midp F A C => para E F B C"
8,3,eqratio3,para;coll;coll,"para A B C D, coll O A C, coll O B D => eqratio3 A B C D O O"
9,3,eqangle,perp;perp;npara,"perp A B C D, perp E F G H, npara A B E F => eqangle A B E F C D G H"
10,2,eqangle,eqangle;eqangle,"eqangle a b c d m n p q, eqangle c d e f p q r u => eqangle a b e f m n r u"
11,2,eqratio,eqratio;eqratio,"eqratio a b c d m n p q, eqratio c d e f p q r u => eqratio a b e f m n r u"
12,3,eqangle6,eqratio6;coll;ncoll,"eqratio6 d b d c a b a c, coll d b c, ncoll a b c => eqangle6 a b a d a d a c"
13,3,eqratio6,eqangle6;coll;ncoll,"eqangle6 a b a d a d a c, coll d b c, ncoll a b c => eqratio6 d b d c a b a c"
14,2,eqangle,cong;ncoll,"cong O A O B, ncoll O A B => eqangle O A A B A B O B"
15,2,cong,eqangle6;ncoll,"eqangle6 A O A B B A B O, ncoll O A B => cong O A O B"
16,2,eqangle,circle;perp,"circle O A B C, perp O A A X => eqangle A X A B C A C B"
17,2,perp,circle;eqangle,"circle O A B C, eqangle A X A B C A C B => perp O A A X"
18,2,eqangle,circle;midp,"circle O A B C, midp M B C => eqangle A B A C O B O M"
19,3,midp,circle;coll;eqangle,"circle O A B C, coll M B C, eqangle A B A C O B O M => midp M B C"
20,2,cong,perp;midp,"perp A B B C, midp M A C => cong A M B M"
21,2,perp,circle;coll,"circle O A B C, coll O A C => perp A B B C"
22,2,eqangle,cyclic;para,"cyclic A B C D, para A B C D => eqangle A D C D C D C B"
23,2,cong,midp;perp,"midp M A B, perp O M A B => cong O A O B"
24,2,perp,cong;cong,"cong A P B P, cong A Q B Q => perp A B P Q"
25,3,perp,cong;cong;cyclic,"cong A P B P, cong A Q B Q, cyclic A B P Q => perp P A A Q"
26,2,para,midp;midp,"midp M A B, midp M C D => para A C B D"
27,3,midp,midp;para;para,"midp M A B, para A C B D, para A D B C => midp M C D"
28,5,para,eqratio;coll;coll;ncoll;sameside,"eqratio O A A C O B B D, coll O A C, coll O B D, ncoll A B C, sameside A O C B O D => para A B C D"
29,1,coll,para,para A B A C => coll A B C
30,2,eqratio,midp;midp,"midp M A B, midp N C D => eqratio M A A B N C C D"
31,2,perp,eqangle;perp,"eqangle A B P Q C D U V, perp P Q U V => perp A B C D"
32,2,cong,eqratio;cong,"eqratio A B P Q C D U V, cong P Q U V => cong A B C D"
33,4,contri*,cong;cong;cong;ncoll,"cong A B P Q, cong B C Q R, cong C A R P, ncoll A B C => contri* A B C P Q R"
34,4,contri*,cong;cong;eqangle6;ncoll,"cong A B P Q, cong B C Q R, eqangle6 B A B C Q P Q R, ncoll A B C => contri* A B C P Q R"
35,3,simtri,eqangle6;eqangle6;ncoll,"eqangle6 B A B C Q P Q R, eqangle6 C A C B R P R Q, ncoll A B C => simtri A B C P Q R"
36,3,simtri2,eqangle6;eqangle6;ncoll,"eqangle6 B A B C Q R Q P, eqangle6 C A C B R Q R P, ncoll A B C => simtri2 A B C P Q R"
37,4,contri,eqangle6;eqangle6;ncoll;cong,"eqangle6 B A B C Q P Q R, eqangle6 C A C B R P R Q, ncoll A B C, cong A B P Q => contri A B C P Q R"
38,4,contri2,eqangle6;eqangle6;ncoll;cong,"eqangle6 B A B C Q R Q P, eqangle6 C A C B R Q R P, ncoll A B C, cong A B P Q => contri2 A B C P Q R"
39,3,simtri*,eqratio6;eqratio6;ncoll,"eqratio6 B A B C Q P Q R, eqratio6 C A C B R P R Q, ncoll A B C => simtri* A B C P Q R"
40,3,simtri*,eqratio6;eqangle6;ncoll,"eqratio6 B A B C Q P Q R, eqangle6 B A B C Q P Q R, ncoll A B C => simtri* A B C P Q R"
41,4,contri*,eqratio6;eqratio6;ncoll;cong,"eqratio6 B A B C Q P Q R, eqratio6 C A C B R P R Q, ncoll A B C, cong A B P Q => contri* A B C P Q R"
42,5,para,para;coll;coll;eqratio6;sameside,"para a b c d, coll m a d, coll n b c, eqratio6 m a m d n b n c, sameside m a d n b c => para m n a b"
43,4,eqratio6,para;coll;coll;para,"para a b c d, coll m a d, coll n b c, para m n a b => eqratio6 m a m d n b n c"
