name,num_constructions,num_points,num_unique_operators,primary_goal,goal_atom_count
translated_imo_2000_p1,10,16,5,cong,1
translated_imo_2000_p6,11,22,6,cong,1
translated_imo_2002_p2a,7,14,6,eqangle,1
translated_imo_2002_p2b,7,14,6,eqangle,1
translated_imo_2003_p4,9,17,6,cong,1
translated_imo_2004_p1,8,16,6,coll,1
translated_imo_2004_p5,4,10,4,cong,1
translated_imo_2005_p5,10,17,5,cyclic,1
translated_imo_2007_p4,9,18,7,eqratio,1
translated_imo_2008_p1a,11,18,5,cyclic,1
translated_imo_2008_p1b,11,18,5,cyclic,1
translated_imo_2008_p6,13,26,8,cong,1
translated_imo_2009_p2,8,15,5,cong,1
translated_imo_2010_p2,8,17,7,cong,1
translated_imo_2010_p4,7,13,4,cong,1
translated_imo_2011_p6,15,23,6,coll,1
translated_imo_2012_p1,6,14,3,cong,1
translated_imo_2012_p5,6,12,4,cong,1
translated_imo_2013_p4,9,16,5,coll,1
translated_imo_2014_p4,7,14,5,cong,1
translated_imo_2015_p3,9,18,7,coll,1
translated_imo_2015_p4,11,17,4,coll,1
translated_imo_2016_p1,8,18,8,coll,1
translated_imo_2017_p4,8,16,7,perp,1
translated_imo_2018_p1,6,13,5,para,1
translated_imo_2019_p2,7,13,4,cyclic,1
translated_imo_2019_p6,8,19,6,perp,1
translated_imo_2020_p1,10,16,4,cong,1
translated_imo_2021_p3,8,16,6,coll,1
translated_imo_2022_p4,9,16,6,cyclic,1
