feature,gini_importance,permutation_importance_mean,permutation_importance_std
Feature_1,0.0966798553961063,-0.0400464982687432,0.01893025583377681
Unnamed: 0,0.09246683428256972,-0.038409333188938265,0.018396812570257166
Feature_2,0.09099077153055271,-0.03754677012297626,0.017916330306013875
Tail_end_1_y,0.07129058895118602,-0.049589523951515516,0.024531282162399522
Tail_end_1_x,0.04578277313016717,-0.0137184604892702,0.011666000868509456
Tail_base_1_x,0.04118427194897246,-0.01921167818193762,0.011750574994023466
Tail_end_2_x,0.029561620744918374,-0.030463546287678882,0.00913571061257896
Tail_base_1_y,0.025089348433688527,-0.023922668247883243,0.011086426185647268
Lat_right_1_x,0.024142708581091483,-0.01063951023682912,0.006805663114424308
Lat_left_1_x,0.02413597073864972,-0.011403418193091874,0.006927611902501286
Center_1_x,0.02391118051422697,-0.010197044150617663,0.007598958712725949
Center_1_y,0.023698409972116908,-0.018771401364950462,0.008743783482604232
Tail_base_2_x,0.02294461538224169,-0.01714927790475241,0.007960299535369685
Tail_end_2_y,0.022681220074433055,-0.0077496781428736065,0.005103665267385849
Lat_right_1_y,0.018881419407188637,-0.017171954521308864,0.007138633938879737
Tail_base_2_y,0.01875596715477737,-0.01120025449962513,0.006711011711750588
Nose_2_y,0.016590519666684473,-0.0052516484378513474,0.004842307230127069
Lat_left_1_y,0.016452308446252624,-0.01458496631019659,0.009514816054399286
Lat_right_2_y,0.015897214062776235,-0.007658680918048377,0.00438337419628796
Ear_right_1_x,0.015879846154299725,-0.006047680253200261,0.005347053136561623
Center_2_y,0.01573254042582494,-0.005950029616686292,0.004376995830722355
Lat_left_2_y,0.014678592000605686,-0.008594601808141044,0.005504286802542835
Lat_left_2_x,0.014580086125022243,-0.008257211879090459,0.007264822972241398
Lat_right_2_x,0.013237978144026786,-0.01207724287661413,0.006295391616097534
Ear_right_2_y,0.013222925906398656,-0.00609408367358476,0.004215565609163262
Nose_1_x,0.01319590605271394,-0.006081624844411248,0.005050128369877873
Ear_right_1_y,0.012937321873370983,-0.012957867626777659,0.00743145951031365
Ear_right_2_x,0.012885644810543823,-0.009813308367478296,0.0069055203258847645
Ear_left_1_x,0.012872294475256752,-0.007304886407527311,0.006377595670410887
Ear_left_2_y,0.012390882484808989,-0.003577949934827873,0.0037053534684084524
Nose_1_y,0.01219157085247245,-0.005343456451006395,0.004416563962416125
Ear_left_2_x,0.012036377906767448,-0.011517905342584267,0.007677925607763923
Center_2_x,0.01150479143324131,-0.013256493237572015,0.007025787448914452
Ear_left_1_y,0.010915684880190145,-0.008708486490272099,0.007644531353256434
Nose_2_x,0.010200355178922335,-0.009606962967710159,0.006862678494748314
Lat_right_2_p,0.006295103623618015,0.00859747830355983,0.0047455994075579905
Lat_right_1_p,0.005643581111160283,0.0021534079822509043,0.0048448785658036075
Lat_left_1_p,0.005618878825892575,-0.0016234941064252884,0.0023538686593507865
Center_2_p,0.005602028700683775,0.001559820498049952,0.00609261283366229
Tail_end_1_p,0.005521812958550921,-0.002993493338699338,0.004365396837709211
Tail_end_2_p,0.005376031341783473,-0.0011522023412062544,0.005585463339692849
Ear_left_1_p,0.004730305089419985,-0.006260531972058131,0.004846733760381361
Lat_left_2_p,0.004209022633171048,-0.002852246385216378,0.0029704462119630195
Ear_right_1_p,0.0041825540456744675,0.001717368721854945,0.003877408489367856
Nose_1_p,0.004061407922736518,-0.002737715754286679,0.004609070602956046
Center_1_p,0.004042070207668332,-0.0011719231278293663,0.00304181039063521
Nose_2_p,0.0038071106172592388,-0.003632950739146107,0.0037279750948750745
Tail_base_1_p,0.003577045999967192,0.00017916582487675358,0.0021213487108115944
Ear_left_2_p,0.0027961016570551933,-0.0003665971261009648,0.002317534659136947
Tail_base_2_p,0.0024924383933868704,-0.002177559401019541,0.0020516365121267663
Ear_right_2_p,0.00244410974890576,-0.0013983189833927045,0.0010588469268154258
