,missing_fraction
Unnamed: 0,0.0
Nose_1_x,0.0
Nose_1_y,0.0
Nose_1_p,0.0
Ear_left_1_x,0.0
Ear_left_1_y,0.0
Ear_left_1_p,0.0
Ear_right_1_x,0.0
Ear_right_1_y,0.0
Ear_right_1_p,0.0
Center_1_x,0.0
Center_1_y,0.0
Center_1_p,0.0
Lat_left_1_x,0.0
Lat_left_1_y,0.0
Lat_left_1_p,0.0
Lat_right_1_x,0.0
Lat_right_1_y,0.0
Lat_right_1_p,0.0
Tail_base_1_x,0.0
Tail_base_1_y,0.0
Tail_base_1_p,0.0
Tail_end_1_x,0.0
Tail_end_1_y,0.0
Tail_end_1_p,0.0
Nose_2_x,0.0
Nose_2_y,0.0
Nose_2_p,0.0
Ear_left_2_x,0.0
Ear_left_2_y,0.0
Ear_left_2_p,0.0
Ear_right_2_x,0.0
Ear_right_2_y,0.0
Ear_right_2_p,0.0
Center_2_x,0.0
Center_2_y,0.0
Center_2_p,0.0
Lat_left_2_x,0.0
Lat_left_2_y,0.0
Lat_left_2_p,0.0
Lat_right_2_x,0.0
Lat_right_2_y,0.0
Lat_right_2_p,0.0
Tail_base_2_x,0.0
Tail_base_2_y,0.0
Tail_base_2_p,0.0
Tail_end_2_x,0.0
Tail_end_2_y,0.0
Tail_end_2_p,0.0
Feature_1,0.0
Feature_2,0.0
