cell_type,model_index,model_id,embed_x,embed_y,cluster
Am,0,000,0.7579747484599905,0.6469511290109285,0
Am,1,001,0.7742251881653628,0.1217238759532154,2
Am,2,002,0.900985396030203,0.0007783252659241957,2
Am,3,003,0.0488138347247935,0.24739086457159123,1
Am,4,004,0.687789371881703,0.518233803531224,0
Am,5,005,0.015131866306266895,0.23053288829389101,1
Am,6,006,0.9424542792463684,0.1521034590540561,2
Am,7,007,0.8660873298630355,0.4227881085871025,2
Am,8,008,0.5893819636320374,0.40206365482976714,0
Am,9,009,0.11603661867223258,0.126634112739867,1
Am,10,010,0.6705671895550627,0.4192477290899852,0
Am,11,011,0.8995740436487216,0.7551935204508666,0
Am,12,012,0.574830021530964,0.445227954319215,0
Am,13,013,0.9534773843975339,0.25464890772360255,2
Am,14,014,0.9377067409565876,0.0,2
Am,15,015,0.8440744219931853,0.9935788768249708,0
Am,16,016,0.7999287822185956,0.7580431386182647,0
Am,17,017,0.8871088725652707,0.13983818645311172,2
Am,18,018,0.9726468176127858,0.4313793923566407,2
Am,19,019,0.06636718797231461,0.014442236878474513,1
Am,20,020,0.8700723836607323,0.9512688078642861,0
Am,21,021,0.8228249106078279,0.7162467209395211,0
Am,22,022,0.06757940239844001,0.10455637562555378,1
Am,23,023,0.7248292080925735,0.1874140783898393,2
Am,24,024,0.07196485028276617,0.18584120884197003,1
Am,25,025,0.6193656851559203,0.45806197732011017,0
Am,26,026,0.8315183164408313,0.844102067995526,0
Am,27,027,0.8728102142914447,1.0,0
Am,28,028,0.5538416488752147,0.3895150784749925,0
Am,29,029,0.7057258207791939,0.2351126576067145,2
Am,30,030,0.8699067540716269,0.8650817871003831,0
Am,31,031,0.9924606470127204,0.2962689373251149,2
Am,32,032,0.8305670789392092,0.09468628070265758,2
Am,33,033,0.10172466296070215,0.19285127917678435,1
Am,34,034,0.9013605485204821,0.32944813010013385,2
Am,35,035,0.7384846175270054,0.5789663442962006,0
Am,36,036,0.8643406878852782,0.7594520902990167,0
Am,37,037,0.8019058052464922,0.15738712160841423,2
Am,38,038,0.030608406904888696,0.014373021457503687,1
Am,39,039,0.8827814980040163,0.4980892097310561,2
Am,40,040,0.0,0.15722235997745784,1
Am,41,041,0.9244405463469982,0.08378990108971696,2
Am,42,042,0.8939987104427338,0.572438906877428,2
Am,43,043,0.7266404544358149,0.45858259300199417,0
Am,44,044,0.03764213364919261,0.06274637736692162,1
Am,45,045,0.7040151583729244,0.5999790103700183,0
Am,46,046,0.12653403374742594,0.059160809628636485,1
Am,47,047,1.0,0.34395357560462847,2
Am,48,048,0.9225240090091906,0.5023592038737278,2
Am,49,049,0.852551509110613,0.13171628984664685,2
C2,0,000,0.28975834913388065,0.025239225555049094,1
C2,1,001,0.10014052663851203,0.7751357688660804,1
C2,2,002,0.3781329233818087,0.45752100796110023,1
C2,3,003,0.8319428561734794,0.8383418544018714,0
C2,4,004,0.21901892919339422,0.09834550033292136,1
C2,5,005,0.36718012464417055,1.0,0
C2,6,006,0.9367590616265568,0.8169899179669287,0
C2,7,007,0.3369031913263224,0.8562821063295196,1
C2,8,008,0.14765374015882177,0.9094717282079129,1
C2,9,009,0.31625801282399824,0.7350681033435836,1
C2,10,010,0.6225758085537689,0.7573865284130418,0
C2,11,011,0.8634233533176365,0.5592788435909539,0
C2,12,012,0.8779295896584458,0.6646413464350932,0
C2,13,013,0.44092521900740234,0.9798550991405389,0
C2,14,014,0.40261174637116637,0.3176027737606975,1
C2,15,015,0.4487133229025798,0.14940585169669915,1
C2,16,016,,,-99999
C2,17,017,0.9171141494752798,0.7403488179641784,0
C2,18,018,0.5783650689083653,0.9276188369230953,0
C2,19,019,0.4938433642341146,0.569958471321172,1
C2,20,020,0.6406619073634828,0.9031048551132882,0
C2,21,021,0.06433008506849369,0.3891809938791443,1
C2,22,022,0.3184481230950717,0.5686887524423003,1
C2,23,023,0.39333246809115907,0.2103303064887198,1
C2,24,024,0.10412383047314067,0.8659366177674022,1
C2,25,025,0.4395220640741735,0.44761602739820605,1
C2,26,026,0.1013096366446844,0.27793630295498867,1
C2,27,027,0.7993070595496856,0.9837446707402451,0
C2,28,028,0.3934360107920747,0.0,1
C2,29,029,0.01814289958420523,0.6494147552534852,1
C2,30,030,0.13365642715806336,0.35440182415769617,1
C2,31,031,0.5641623877595673,0.7653510995006048,0
C2,32,032,0.9743259774336722,0.6003665699964247,0
C2,33,033,0.0,0.5943149809020594,1
C2,34,034,0.18112723040003553,0.8831271977590502,1
C2,35,035,0.36940921974802354,0.9160417231234538,0
C2,36,036,0.2618960287015365,0.7379225232861022,1
C2,37,037,0.7770316408224955,0.8431672049105681,0
C2,38,038,0.04198896665798163,0.5762529464265065,1
C2,39,039,0.7837611370478358,0.9199209198158881,0
C2,40,040,0.9056676153519698,0.5423240946733302,0
C2,41,041,0.9712778383604376,0.7081143583397145,0
C2,42,042,0.2853146400425814,0.12423817527489073,1
C2,43,043,0.426326586256779,0.0791519596068265,1
C2,44,044,0.14905824533381817,0.1922067016543752,1
C2,45,045,0.2803860763503904,0.5790089179307485,1
C2,46,046,1.0,0.725182438971683,0
C2,47,047,0.5893062093504732,0.8208955235142369,0
C2,48,048,0.0673801090429878,0.4929837331640249,1
C2,49,049,0.8312161904898612,0.6424648878240503,0
C3,0,000,0.12091339508036786,0.21500002239459712,2
C3,1,001,0.8693973044761107,0.1589796156654686,0
C3,2,002,0.045374386269704525,0.3289359075896988,2
C3,3,003,0.005926439153861374,0.3129520527042171,2
C3,4,004,0.8636587935076057,0.9404951893316464,1
C3,5,005,0.688878998176696,0.20953773999285843,0
C3,6,006,0.8642821979162771,0.3736184108917436,0
C3,7,007,0.8525452814965726,0.7930941363840232,1
C3,8,008,0.1105538538625998,0.4005667779086103,2
C3,9,009,0.7265474456571599,0.0,0
C3,10,010,0.9371319762466058,0.8689233666153084,1
C3,11,011,0.9428603259818329,0.4073698178902251,0
C3,12,012,0.25912445059686684,0.3233880029208732,2
C3,13,013,0.16085345181646976,0.15337604266155308,2
C3,14,014,0.7649672689922828,0.015647058678168957,0
C3,15,015,0.7388999725646701,0.23608133933899797,0
C3,16,016,0.8427383256261533,0.9853265904488433,1
C3,17,017,0.15741108820726235,0.3415162346929067,2
C3,18,018,0.9395740228908913,0.6330487664747012,1
C3,19,019,0.09050544924360177,0.2733183634460868,2
C3,20,020,0.9934378828331136,0.5671110166591091,1
C3,21,021,0.0,0.39293526756755753,2
C3,22,022,0.790152869016932,0.9636122948500458,1
C3,23,023,0.8850532883845048,0.10096702650408292,0
C3,24,024,0.9592182726508003,0.5296224981373873,1
C3,25,025,0.20493495772726644,0.33166950640454584,2
C3,26,026,0.027328400169907452,0.26073640230951617,2
C3,27,027,0.9883555908653354,0.6472194497539374,1
C3,28,028,0.8897295316432641,0.588693378736191,1
C3,29,029,0.8583950925686531,0.26437850514056394,0
C3,30,030,0.9254912819714192,0.7913710188584129,1
C3,31,031,0.8893521092043402,0.8475895258770341,1
C3,32,032,0.6117403963689507,0.20314691349940137,0
C3,33,033,0.7948332277572698,0.1335095391717026,0
C3,34,034,0.8702756502215059,0.7266171370252807,1
C3,35,035,0.8798085259448518,1.0,1
C3,36,036,0.033095428147934536,0.4149170627678857,2
C3,37,037,0.7977588799072246,0.20538198541540278,0
C3,38,038,0.7915833266471932,0.922817382408287,1
C3,39,039,0.8566224490342221,0.4422369144507856,0
C3,40,040,0.18103737596603187,0.12554723746427676,2
C3,41,041,0.06210145157405694,0.21119551471742032,2
