cell_type,n_models,n_clusters,cluster_balance,spread,x_span,y_span,convex_hull_area,silhouette,validation_eta_sq,diversity_score
Mi13,50,5,0.34,0.4525057350026213,1.0,1.0,0.5741757218863981,0.6030250973154857,0.03870880899121875,0.29743589743589743
R8,50,5,0.28,0.4507136269914145,1.0,1.0,0.7713010324949148,0.5612408801013821,0.1426316055576104,0.6107448107448108
R7,50,5,0.28,0.41503943408288474,1.0,1.0,0.6254322802268149,0.7159746630002531,0.13977549875618084,0.21978021978021978
Mi2,50,5,0.26,0.40884631355709405,1.0,1.0,0.5112550962522299,0.49731567192229326,0.13493228447245315,0.16996336996336997
Mi3,50,4,0.44,0.495387863704572,1.0,1.0,0.44637858006649234,0.5267628397481174,0.049488547537971654,0.5538461538461539
L3,50,4,0.3,0.4914178577383141,1.0,1.0,0.5710844974869641,0.5966626263660235,0.0677954327811125,0.6405372405372405
TmY10,50,4,0.3,0.4744339165396381,1.0,1.0,0.638414958681211,0.6977858044576439,0.1597786853349885,0.9076923076923077
T4d,50,4,0.46,0.47060912131863236,1.0,1.0,0.5892298057956132,0.710298169751711,0.13949321095948244,0.8356532356532356
T5a,50,4,0.46,0.46444944625890827,1.0,1.0,0.7689455054566277,0.5726213456194784,0.10023682496237502,0.6312576312576312
TmY4,50,4,0.4,0.46294943314210374,1.0,1.0,0.569259187140066,0.7023359732121979,0.22351114853729928,0.8412698412698413
Tm16,50,4,0.5,0.46256213440669125,1.0,1.0,0.6074219861576163,0.2871575121807607,0.12274662780408441,0.6600732600732601
Tm5a,50,4,0.4,0.4619832255885181,1.0,1.0,0.741506474977639,0.3940319250330409,0.06481039570883787,0.5128205128205128
Mi10,50,4,0.3,0.4613144329136481,1.0,1.0,0.5976835352187151,0.5446633087039754,0.059612660396728516,0.4666666666666667
T2a,50,4,0.34,0.45889216336917665,1.0,1.0,0.6395027877936139,0.5446300724664316,0.025615797695928453,0.22954822954822957
Tm5b,50,4,0.3,0.4576281325753089,1.0,1.0,0.6407226426704854,0.7260211548396741,0.03778970519478174,0.3145299145299145
TmY14,50,4,0.32,0.4564933263337461,1.0,1.0,0.7012910403427802,0.5549300977380358,0.08912972626040197,0.5054945054945056
TmY13,50,4,0.52,0.4466272709409084,1.0,1.0,0.4785300266436691,0.5451928253525673,0.02377961744669824,0.16703296703296702
T4b,50,4,0.32,0.4449630013486454,1.0,1.0,0.6008339293763568,0.522435333855328,0.006003932446721996,0.07228327228327229
T5c,50,4,0.48,0.44430424060570806,1.0,1.0,0.5125951618796508,0.6401036538458271,0.02102418856974999,0.13675213675213677
TmY3,50,4,0.44,0.4421149846112103,1.0,1.0,0.5741080242865798,0.716995885091062,0.04131800100849906,0.24224664224664225
R3,50,4,0.38,0.4293706424370534,1.0,1.0,0.5827632760431917,0.546216992950749,0.02334636498355434,0.10378510378510379
Tm5Y,50,4,0.28,0.42756895777753345,1.0,1.0,0.6551377350341594,0.5049725311252575,0.12140482863152081,0.2989010989010989
R4,50,4,0.34,0.42611694171123815,1.0,1.0,0.5784595610509646,0.5109615030890144,0.055314686023788355,0.20415140415140415
R6,50,4,0.34,0.42585822335309365,1.0,1.0,0.5340841002764505,0.505410108622543,0.03760833587153865,0.13846153846153847
Mi14,50,4,0.46,0.4140003860352873,1.0,1.0,0.5784152922481514,0.7520784500531335,0.03467748547176672,0.0761904761904762
T2,50,4,0.28,0.40850559929350627,1.0,1.0,0.6339683194633546,0.4264178255428221,0.10847021325709698,0.12893772893772895
Tm4,50,4,0.28,0.40114542152449306,1.0,1.0,0.4856746678120094,0.5960021151597271,0.05982388181733053,0.06837606837606838
T5d,50,4,0.42,0.3891728789883326,1.0,1.0,0.585211844786985,0.38198532104774613,0.12240624023925875,0.0380952380952381
Lawf1,50,3,0.52,0.49155770581455627,1.0,1.0,0.5283461939178246,0.6604328757924391,0.14989667482321287,0.9387057387057387
T4c,50,3,0.62,0.46484920276079733,1.0,1.0,0.5329141679558949,0.8567624320203493,0.11178870670030117,0.67008547008547
CT1(M10),50,3,0.44,0.46345510697004916,1.0,1.0,0.6808193534799063,0.39545520238720505,0.03613955360034844,0.32967032967032966
Mi12,50,3,0.5,0.4627235821757278,1.0,1.0,0.6644315358622211,0.6787476899571862,0.1346979754184266,0.7238095238095238
T4a,50,3,0.46,0.4611580991357029,1.0,1.0,0.5663395489474333,0.797854780776496,0.16891274460190775,0.7501831501831502
C3,50,3,0.36,0.45604260164483945,1.0,1.0,0.6251414746156392,0.6624600450847883,0.044330867140925635,0.34383394383394383
T5b,50,3,0.48,0.4537903907384082,1.0,1.0,0.5411986943332019,0.7413061783007967,0.0620922670494933,0.43052503052503055
Lawf2,50,3,0.74,0.4503541626666032,1.0,1.0,0.5454577948632477,0.7342056898015095,0.01584162455642718,0.14652014652014653
Tm20,50,3,0.7,0.44949461721108597,1.0,1.0,0.5972940651478863,0.4984746799559728,0.06813489377375813,0.41904761904761906
Tm3,50,3,0.52,0.4446058463439333,1.0,1.0,0.6838487009051424,0.40094541583633253,0.002722273757727223,0.035164835164835165
TmY18,50,3,0.58,0.44105678119691083,1.0,1.0,0.5721284401975191,0.6571123476887532,0.03287953736230428,0.1741147741147741
CT1(Lo1),50,3,0.58,0.44013815958029384,1.0,1.0,0.5577446990244245,0.7858655167813441,0.029450324862256242,0.15384615384615385
R5,50,3,0.44,0.43884162618810413,1.0,1.0,0.6686914499273507,0.38024334093780565,0.04964003650761384,0.262026862026862
Am,50,3,0.4,0.43387460595408156,1.0,1.0,0.6047356406320533,0.5193679569227274,0.044424955079252634,0.22564102564102562
Tm1,50,3,0.6,0.43114975828811414,1.0,1.0,0.5361637721196622,0.5220059363570166,0.048415349338561176,0.2222222222222222
Tm9,50,3,0.38,0.42706801789327603,1.0,1.0,0.3947224173122808,0.4452405927615576,0.12472401435230598,0.3032967032967033
L5,50,3,0.42,0.4252394319204436,1.0,1.0,0.5289934584185786,0.6950950417681011,0.009406795291900886,0.05372405372405373
T1,50,3,0.46,0.4237382291420483,1.0,1.0,0.5554280540695714,0.6629801034451518,0.03741988382210381,0.12063492063492064
R1,50,3,0.46,0.4180959590967823,1.0,1.0,0.5636312753886156,0.482816251467536,0.08224425133008754,0.1868131868131868
Tm28,50,3,0.38,0.40753618346543097,1.0,1.0,0.5921887649737421,0.4869461855536384,0.12650632398566258,0.1343101343101343
TmY5a,50,3,0.52,0.4066894636922089,1.0,1.0,0.6149114722451002,0.4691428244599814,0.12952089532713254,0.12307692307692308
Tm2,50,3,0.7,0.4056984594645685,1.0,1.0,0.5572124522972378,0.5524054178631347,0.030052941498761053,0.04297924297924298
L1,50,3,0.66,0.3958806427278122,1.0,1.0,0.5638081341247418,0.475738261243395,0.007425145968769561,0.01098901098901099
Tm30,50,3,0.5,,,,0.0,,0.012961357502802409,
Tm5c,50,2,0.68,0.48876444121278645,1.0,1.0,0.4736986140816937,0.8027217519772017,0.0008466118449688713,0.04395604395604396
L2,50,2,0.74,0.46561589391663444,1.0,1.0,0.6717614968151118,0.6520392039471707,0.015019463384328956,0.19487179487179487
TmY9,50,2,0.66,0.4440265211715036,1.0,1.0,0.7131682556483421,0.570510175036117,0.0046754290178116975,0.04151404151404151
Mi4,50,2,0.76,0.44216891488125337,1.0,1.0,0.6240223023046084,0.6353853348158802,0.11610856246728646,0.402930402930403
TmY15,50,2,0.52,0.43253228336815425,1.0,1.0,0.667808275227711,0.5053456020752227,0.007681859849307802,0.06593406593406594
T3,50,2,0.64,0.41863924372279565,1.0,1.0,0.6632533857748371,0.5671941750804729,0.0006561947996005431,0.008791208791208791
Mi15,50,2,0.68,0.4175326421386412,1.0,1.0,0.510055645765345,0.40021597721077046,0.04719704272986793,0.13284493284493284
Mi9,50,2,0.52,0.4146039542258884,1.0,1.0,0.5757206192936647,0.42327774861640577,0.013241605670175053,0.044444444444444446
Mi11,50,2,0.74,0.39936104756475727,1.0,1.0,0.6678534381769531,0.43541013601919587,0.005036762555643684,0.008791208791208791
L4,50,2,0.66,0.3918958779437764,1.0,1.0,0.5767034562887908,0.47708754741949183,0.0004035130572424932,0.0009768009768009768
Mi1,50,2,0.76,0.38736327538521903,1.0,1.0,0.6035812032163226,0.3992869644952919,0.024779485361319464,0.00927960927960928
R2,50,2,0.66,0.3873268244630179,1.0,1.0,0.5820344388160277,0.40864394873885684,0.0053201612388549925,0.0017094017094017094
C2,50,2,0.56,,,,0.0,,0.03881208291527676,
