tensor,group,n_features,ensemble_mean,ensemble_std,feature_std_mean,feature_std_median,feature_std_max
decoder.flow::base.0.bias,decoder,8,-0.00524376443591791,0.013929953330255746,0.013824792528532321,0.013738364261969057,0.01633256028099522
decoder.flow::base.0.weight,decoder,6800,-0.002635417721939529,0.025711731668691964,0.019483149472167713,0.019225458852769668,0.08425399548111268
decoder.flow::base.1.bias,decoder,8,-0.17217604943551124,0.06878686818975129,0.06798659359257084,0.06847532709637921,0.07761626286668136
decoder.flow::base.1.num_batches_tracked,decoder,1,208126.08,40864.70424796441,40864.70424796441,40864.70424796441,40864.70424796441
decoder.flow::base.1.running_mean,decoder,8,-0.506907318320591,0.4455975992520208,0.44049034661037556,0.43136086922190625,0.4934586329410179
decoder.flow::base.1.running_var,decoder,8,0.2810763521771878,0.4033667301146474,0.3956741795159976,0.3836212594564135,0.5648161022188694
decoder.flow::base.1.weight,decoder,8,1.753541854918003,0.16265607042177446,0.16107734400559034,0.15058818139412614,0.20405366634360922
decoder.flow::decoder.0.bias,decoder,3,0.19019960049306975,0.27734085934333846,0.08879245046343863,0.03141587354288088,0.20557749378295317
decoder.flow::decoder.0.weight,decoder,600,-0.0011094353621167708,0.057168429665193136,0.04746020846562948,0.05618024461659864,0.10716657610229482
edges_sign,fixed,604,0.24503311258278146,0.9695147104288793,0.0,0.0,0.0
edges_syn_count,fixed,2355,0.6407657856947689,0.9825937570743916,0.0,0.0,0.0
edges_syn_strength,learned,604,0.03562433185103265,0.058473243949961326,0.040139816976576946,0.03263470957841438,0.21176551180487624
nodes_bias,learned,65,0.42265133191891857,0.4227539729942658,0.18482819012010127,0.09591517442139043,0.7329873604300648
nodes_time_const,learned,65,0.045241259310107966,0.062240233826211334,0.041567036636693734,0.03886108311878023,0.11991936509729947
