model_id,validation_loss,top_level_validation_loss,loss_difference,checkpoint_size_bytes,connectome_type,connectome_file,extent,n_syn_fill,dynamics_type,activation,dataset_type,tasks,n_frames,dt,vertical_splits,batch_size,n_iters,n_folds,fold,decoder_type,decoder_shape,decoder_kernel_size,bias_trainable,time_const_trainable,syn_strength_trainable,syn_count_trainable,sign_trainable,bias_groupby,time_const_groupby,syn_strength_groupby,syn_count_groupby
000,5.136557016107771,5.136557016107771,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
001,5.191043282548587,5.191043282548587,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
002,5.220126933521694,5.220126933521694,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
003,5.247156386574109,5.247156386574109,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
004,5.251272684997982,5.251272684997982,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
005,5.259884989923901,5.259884989923901,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
006,5.260432350966665,5.260432350966665,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
007,5.262506523066097,5.262506523066097,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
008,5.269997964302699,5.269997964302699,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
009,5.270350093642871,5.270350093642871,0.0,49378,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,15,1,PPNeuronIGRSynapses,relu,MultiTaskSintel,['flow'],19,0.02,3,4,250000,4,1,DecoderGAVP,"[8, 2]",5,True,True,True,False,False,['type'],['type'],"['source_type', 'target_type']","['source_type', 'target_type', 'du', 'dv']"
