cell_type,n_models,n_clusters,embedding_x_mean,embedding_y_mean,embedding_x_std,embedding_y_std,silhouette_proxy,cluster_entropy
Mi2,50,5,0.6255048734020481,0.45336704999490235,0.30863977835377393,0.26813577778237463,0.6081085395548629,2.2907643626181335
R8,50,5,0.5301091983895119,0.5275979137599923,0.34898581857081673,0.28522214498915216,0.6815711552612835,2.2737896220706237
R7,50,5,0.5913164020452586,0.4229344853799508,0.2955272137187228,0.29141276189537335,0.7846727452253153,2.234216528601415
Mi13,50,5,0.4572173195436179,0.5869834936668358,0.3718338898736874,0.2578778752659193,0.7123769790302004,2.1293455061753166
Tm4,50,4,0.6240482861226878,0.4953702500506859,0.2761513172784011,0.2909606488435628,0.698686216544844,1.9942165286028581
T2,50,4,0.6221308430040664,0.406791393896484,0.30583124999255307,0.2708211054961175,0.5290328336448118,1.9790366064403957
Tm5Y,50,4,0.5612414475432602,0.5359623730018446,0.32603160977458207,0.27661996146836704,0.6214537788644143,1.9790366064403957
TmY10,50,4,0.3846641776067521,0.4798833948690456,0.3727017942286863,0.29356585929201345,0.7788880201858057,1.9709505944488979
Tm5b,50,4,0.6874529339217622,0.5172849347216825,0.3363629398937209,0.31029579499312837,0.7995373286892705,1.9680603760440212
L3,50,4,0.4590587176585164,0.5085530959974647,0.38926300361693184,0.2999430361239254,0.6971184907612907,1.9636153061935853
TmY14,50,4,0.4755769636567981,0.42965575561352415,0.3381033116655968,0.3067120924058983,0.6657378706036617,1.957405811419747
T4b,50,4,0.5405776064753587,0.6590005266252086,0.34252466212382526,0.28402276036640794,0.642023776093886,1.9507140549861928
Mi10,50,4,0.36093524756323275,0.5399792908077979,0.34404278765812635,0.3073199737649119,0.6461061821629704,1.9445778165990943
R4,50,4,0.47737900801877514,0.5072870317233804,0.3143820510529732,0.28764487478323775,0.6129334731624496,1.9346387563065675
R6,50,4,0.4889116897936819,0.6889174573241168,0.3347308533193522,0.26326884022525665,0.6411461633899994,1.927946999873013
R3,50,4,0.6309623039982355,0.44753464665261966,0.31789992735749806,0.2886152885293942,0.6645605803253213,1.9134247627554377
T2a,50,4,0.5270878216663161,0.48132844323444035,0.3551081981196941,0.2906547526358846,0.6666936946915543,1.8877445088558629
TmY4,50,4,0.5471686910405527,0.6957933025361394,0.3276666997344744,0.32704236962771804,0.7872870691989337,1.8464393446652447
TmY3,50,4,0.5611324088592735,0.6135337819073545,0.3492290489997576,0.27111755928470516,0.7990818265032105,1.8388099505057043
T5d,50,4,0.6006370116979886,0.7278115099069841,0.2942485872656238,0.25470237264747253,0.5230131446572577,1.8364450655595368
T5a,50,4,0.5764095719807818,0.49440002432790064,0.3548619267696346,0.29964362342547685,0.6900397899851234,1.8273616148185114
T5c,50,4,0.5962410797952747,0.4308217700283321,0.334433064908187,0.29250774915603733,0.7422505041894637,1.8150723810976457
Mi14,50,4,0.5839080712392346,0.5077801176772323,0.2860131949173499,0.29932051712259383,0.8236162013447944,1.8148439850899152
T4d,50,4,0.36382536462632176,0.5807860896305135,0.34737683949546216,0.3174937423799706,0.7909393063553627,1.7981240535176917
Tm5a,50,4,0.5076515280123929,0.5105774455055233,0.3210231657704772,0.33222376158828915,0.5719487319509386,1.7409034464147695
Tm16,50,4,0.4594076180639703,0.5921262465522239,0.3680021854802007,0.280246533731766,0.47946693919025213,1.7134804071301875
TmY13,50,4,0.5719844867213644,0.43085608050856083,0.30586032318618794,0.3254617978328091,0.6879741235073279,1.6790692112146388
Mi3,50,4,0.5878111491654955,0.45416483348029096,0.33125244763411915,0.36834895336105505,0.6525630318871027,1.6622005723301725
Tm30,50,4,,,,,,1.5987388120647024
C3,50,3,0.6349759650412785,0.4282277497013024,0.35444544441509246,0.2869551906629,0.7559778534799081,1.5808786445434932
Tm28,50,3,0.6685195123858761,0.4905777892189112,0.29253349000316065,0.2837426616850912,0.5977939753235405,1.5775765559792787
Tm9,50,3,0.46390381649031665,0.4569520619530205,0.29879879559389455,0.30513336700356053,0.5588868183018224,1.5775765559792787
R5,50,3,0.5111972400673777,0.47327461213641214,0.34669377344137636,0.269045349954983,0.532090195108287,1.541315277396908
Am,50,3,0.6529636352441055,0.37822944734091307,0.3305652368911878,0.2810227710540241,0.6088734031084975,1.539797540606684
R1,50,3,0.6017730712153656,0.5641813825302582,0.3026162611565201,0.28849199208419474,0.6104214156999723,1.5348439850913578
T1,50,3,0.6182487500648893,0.5066428818482024,0.3034588129002586,0.2957479259599377,0.7501819054459509,1.5305595111285375
L5,50,3,0.6657576438007154,0.46761200320218327,0.30713279425033496,0.29410545924209397,0.7737010354858461,1.5204847981172824
T5b,50,3,0.6270046927969528,0.5988764503535812,0.31834105697649906,0.3233955630023433,0.809238797644368,1.516623811075035
CT1(M10),50,3,0.5609559678218928,0.5404672746837533,0.3476791265312045,0.30644715882370066,0.5200295416080667,1.516147658073281
Mi12,50,3,0.49873565748674353,0.4157584067064198,0.33555992235005644,0.3186105020459333,0.7552155880901595,1.4854752972230063
Tm3,50,3,0.5668228235636313,0.5161230054380851,0.3368431367771658,0.29019141925516134,0.5581407877780279,1.4764382535201395
T4a,50,3,0.5604014422485024,0.6707657929419791,0.35409655370131604,0.2954359880842307,0.8544727139712794,1.4688052348756082
TmY5a,50,3,0.565176843869506,0.5646203000917204,0.3059888651960307,0.2678938861831337,0.6056720899528829,1.4396275363370288
Lawf1,50,3,0.5893547575465555,0.4375604615488489,0.3834530633578337,0.30755930541468424,0.7531910485830393,1.4396275363370286
CT1(Lo1),50,3,0.6572792507178764,0.6038667369504901,0.33399992207056994,0.28664551553370127,0.844998993620462,1.400766637518727
TmY18,50,3,0.6326246344363665,0.6539019547215718,0.3412160366949392,0.27946860385735217,0.744960236104673,1.3671381453322113
Tm1,50,3,0.6626112490735981,0.4401363372908697,0.28709853691703824,0.3216590495726729,0.6378161196649771,1.344577816600537
T4c,50,3,0.635177879990106,0.33074633932575087,0.2962794605200966,0.3581944480045292,0.896324530155208,1.3188337880693919
L1,50,3,0.6539020222255886,0.5147592534884841,0.24149464623295686,0.3136906423969398,0.606362188932672,1.2219722613320037
Tm2,50,3,0.6514416607086521,0.6442901346718554,0.28720402484394075,0.28653985434030843,0.6675526359188346,1.1803283888208556
Tm20,50,3,0.5988634033724674,0.4485425603056789,0.34940132371463967,0.2827792882942425,0.6236528454227058,1.1725760775627652
C2,50,3,,,,,,1.106964115851059
Lawf2,50,3,0.6462090925874088,0.541906210963375,0.35982209663130876,0.270826384621193,0.8090896116441598,1.0856355100303705
Mi9,50,2,0.5833701708288891,0.4945670694558046,0.3436105595087691,0.23200909950649168,0.5117129125245629,0.9988455359923164
TmY15,50,2,0.4447530669977141,0.44382001435910845,0.3045419671412907,0.3071455134059135,0.6254245093779354,0.9988455359923164
