run_id,checkpoint_path,checkpoint_size_bytes,is_zip,zip_members,zip_data_shards,parameter_keys_detected,parameter_key_preview,network_parameter_shapes,decoder_flow_parameter_shapes,network_bias_mean,network_time_const_mean,network_syn_strength_mean,decoder_output_bias_mean,torch_load_success,torch_load_error
000,data/flow/0000/000/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.5133627653121948,0.0449066199362278,0.037807729095220566,0.29330167174339294,True,
001,data/flow/0000/001/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.4568585753440857,0.03186287730932236,0.037469521164894104,0.12972141802310944,True,
002,data/flow/0000/002/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.4544883668422699,0.05496106296777725,0.03606484830379486,0.19685249030590057,True,
003,data/flow/0000/003/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.42668798565864563,0.05210259184241295,0.035264063626527786,0.1652829349040985,True,
004,data/flow/0000/004/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.5110927820205688,0.038703300058841705,0.0350254662334919,0.21656233072280884,True,
005,data/flow/0000/005/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.4902397692203522,0.03915432095527649,0.032339319586753845,0.2095227986574173,True,
006,data/flow/0000/006/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.385005384683609,0.035152751952409744,0.0367853157222271,0.20176424086093903,True,
007,data/flow/0000/007/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.3674013912677765,0.054086677730083466,0.04065423831343651,0.22286711633205414,True,
008,data/flow/0000/008/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.43959638476371765,0.039996158331632614,0.034506406635046005,0.18867816030979156,True,
009,data/flow/0000/009/best_chkpt,49378,True,18,14,2,"[""decoder"", ""network""]","{""edges_sign"": [604], ""edges_syn_count"": [2355], ""edges_syn_strength"": [604], ""nodes_bias"": [65], ""nodes_time_const"": [65]}","{""base.0.bias"": [8], ""base.0.weight"": [8, 34, 5, 5], ""base.1.bias"": [8], ""base.1.num_batches_tracked"": [], ""base.1.running_mean"": [8], ""base.1.running_var"": [8], ""base.1.weight"": [8], ""decoder.0.bias"": [3], ""decoder.0.weight"": [3, 8, 5, 5]}",0.4603517949581146,0.038201071321964264,0.034674741327762604,0.21431048214435577,True,
