run_id,validation_loss,validation_loss_duplicate,duplicate_abs_diff,status,checkpoint_size_bytes,network_bias_mean,network_time_const_mean,network_syn_strength_mean,decoder_output_bias_mean,dataset_type,tasks,n_frames,dt,batch_size,n_iters,fold,seed,decoder_type,connectome_type,connectome_file,activation,syn_strength_scale,rank
000,5.136557016107771,5.136557016107771,0.0,manually written,49378,0.5133627653121948,0.0449066199362278,0.037807729095220566,0.29330167174339294,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,1
001,5.191043282548587,5.191043282548587,0.0,manually written,49378,0.4568585753440857,0.03186287730932236,0.037469521164894104,0.12972141802310944,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,2
002,5.220126933521694,5.220126933521694,0.0,manually written,49378,0.4544883668422699,0.05496106296777725,0.03606484830379486,0.19685249030590057,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,3
003,5.247156386574109,5.247156386574109,0.0,manually written,49378,0.42668798565864563,0.05210259184241295,0.035264063626527786,0.1652829349040985,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,4
004,5.251272684997982,5.251272684997982,0.0,manually written,49378,0.5110927820205688,0.038703300058841705,0.0350254662334919,0.21656233072280884,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,5
005,5.259884989923901,5.259884989923901,0.0,manually written,49378,0.4902397692203522,0.03915432095527649,0.032339319586753845,0.2095227986574173,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,6
006,5.260432350966665,5.260432350966665,0.0,manually written,49378,0.385005384683609,0.035152751952409744,0.0367853157222271,0.20176424086093903,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,7
007,5.262506523066097,5.262506523066097,0.0,manually written,49378,0.3674013912677765,0.054086677730083466,0.04065423831343651,0.22286711633205414,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,8
008,5.269997964302699,5.269997964302699,0.0,manually written,49378,0.43959638476371765,0.039996158331632614,0.034506406635046005,0.18867816030979156,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,9
009,5.270350093642871,5.270350093642871,0.0,manually written,49378,0.4603517949581146,0.038201071321964264,0.034674741327762604,0.21431048214435577,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,10
010,5.271915788451831,5.271915788451831,0.0,manually written,49378,0.34772390127182007,0.055001091212034225,0.03726102039217949,0.2495049387216568,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,11
011,5.277487738264932,5.277487738264932,0.0,manually written,49378,0.38161513209342957,0.04847238212823868,0.030792580917477608,0.22727437317371368,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,12
012,5.277920769320594,5.277920769320594,0.0,manually written,49378,0.361248642206192,0.05126149207353592,0.036243803799152374,0.1920495182275772,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,13
013,5.281195715069771,5.281195715069771,0.0,manually written,49378,0.44157668948173523,0.047675225883722305,0.033987753093242645,0.1025768294930458,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,14
014,5.283142609728707,5.283142609728707,0.0,manually written,49378,0.3624102473258972,0.048139020800590515,0.03845920041203499,0.16266560554504395,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,15
015,5.28523435195287,5.28523435195287,0.0,manually written,49378,0.44888076186180115,0.04806971922516823,0.034903887659311295,0.22985440492630005,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,16
016,5.289695978164673,5.289695978164673,0.0,manually written,49378,0.5569894313812256,0.03697003424167633,0.0419437475502491,0.18254594504833221,MultiTaskSintel,flow,19,0.02,4,250000,1,0,DecoderGAVP,ConnectomeFromAvgFilters,fib25-fib19_v2.2.json,relu,0.01,17
