feature,corr_abs,smoothness,score
Int_Med_cycA_nuc,0.7298698076465077,0.9960970821005278,0.7270211857099598
Int_Med_CDK2_nuc,0.5999659552168477,0.9980741193631261,0.598810492400912
Int_Med_pH2AX_nuc,0.5839050398065312,0.9976448843833047,0.5825298759286157
Int_Med_cycB1_cyto,0.554967994053611,0.9991346422612682,0.5544877482052082
Int_Med_cycB1_ring,0.554967994053611,0.9991346422612682,0.5544877482052082
Int_Std_PCNA_nuc,0.5536150483810843,0.9977675496592577,0.5523791302776859
Int_Med_cycB1_cell,0.5435441916937287,0.9989757743906645,0.5429874798127904
Int_Med_Skp2_nuc,0.5150848206631852,0.9960912440415676,0.5130714798013198
Int_Med_Cdt1_nuc,0.5065159741570513,0.9973855299030059,0.5051917032889679
Int_Med_pp21_nuc,0.49432471404752387,0.9995669348112662,0.4941106392219391
Int_Med_p27_nuc,0.4944024312137703,0.9964166345486066,0.492630806622674
Int_Med_cycB1_nuc,0.427482866746575,0.9980413719730411,0.4266455868227204
Int_Med_E2F1_nuc,0.41426011409420305,0.9977189070231907,0.41331514825737053
Int_Med_pp53_nuc,0.37177983636970174,0.9987170188647176,0.37130284985316103
Int_Med_cycE_nuc,0.36106477348580907,0.9981005524963931,0.36037894990317104
Int_Med_Cdh1_nuc,0.3420490711176682,0.9975544933128295,0.3412125878269095
Int_Intg_DNA_nuc,0.6987878477654523,0.4724457941204392,0.3301393796592617
Int_Med_pCHK1_nuc,0.32879249975188596,0.9988780014933923,0.32842359505818053
Int_Med_p16_nuc,0.3248151778835016,0.9979429746943392,0.32414702484293256
Int_Med_GSK3b_nuc,0.3114266426048518,0.9976626022396542,0.3106987146679152
Int_Med_cFos_nuc,0.30287559195744823,0.9947126180938212,0.3012741730327092
Int_Med_p53_nuc,0.3013348769239247,0.9985964579629751,0.3009119407569402
Int_Med_cycA_ring,0.29048531426482066,0.9999035367244804,0.29045729309991636
Int_Med_cycA_cyto,0.29048531426482066,0.9999035367244804,0.29045729309991636
Int_Med_cycA_cell,0.2837375946547399,0.9998623337102368,0.28369853355281743
Int_Med_PCNA_ring,0.27434766358992746,0.9998793035338625,0.27431455079643907
Int_Med_PCNA_cyto,0.27434766358992746,0.9998793035338625,0.27431455079643907
Int_Med_BP1_nuc,0.27522754115031245,0.9954689345700757,0.2739804671532432
Int_MeanEdge_cycB1_cell,0.26773756176208524,0.9993412551506934,0.2675611910223086
Int_Med_CDK6_nuc,0.26247778605411565,0.9984149225481437,0.26206173843382813
Int_Med_pRB_nuc,0.2598255686729537,0.9909557820488857,0.25747564960060326
Int_Med_PCNA_cell,0.25562662421628934,0.9998446400824413,0.2555869100850253
Int_MeanEdge_PCNA_cell,0.25379046360573504,0.999784124380656,0.25373567643222056
Int_MeanEdge_pAKT_cell,0.2506408661490275,0.9989215812219349,0.2503705703324218
Int_Med_pAKT_cyto,0.2403353026428266,0.9983386516070258,0.239936021974006
Int_Med_pAKT_ring,0.2403353026428266,0.9983386516070258,0.239936021974006
Int_MeanEdge_pERK_cell,0.23460523889669985,0.9993961059410329,0.23446356218672756
Int_MeanEdge_Fra1_cell,0.23393682169796784,0.9997658977865848,0.23388205657020902
Int_Med_pAKT_cell,0.2316605750290675,0.9982649119083336,0.23125862352402596
Int_Med_p21_nuc,0.22761649774460946,0.9964051513990821,0.2267982508961464
Int_MeanEdge_cJun_cell,0.22184975930122414,0.9997938147423024,0.22180401715143247
Int_Med_pSTAT3_nuc,0.2159336861963178,0.9983954131744119,0.21558720184824653
Int_Med_pp38_nuc,0.2106730225662778,0.9984931329889856,0.21035556633846197
Int_MeanEdge_pRB_cell,0.2099349766162502,0.9994179498781247,0.20981278393752484
Int_Med_p38_nuc,0.20828076239985951,0.9979113488615363,0.20784573654835298
Int_MeanEdge_DNA_cell,0.19868459297289143,0.9997722495010326,0.1986393424577047
Int_MeanEdge_pGSK3b_cell,0.19797674039905597,0.9983866576073446,0.19765733613101044
Int_MeanEdge_CDK2_cell,0.19090998620262195,0.9994226497492236,0.19079976427421214
Int_MeanEdge_AKT_cell,0.18319610888487958,0.9990929879890662,0.18302994781376467
Int_Med_pGSK3b_nuc,0.1746269606255036,0.9945558098998476,0.17367625825524652
Int_MeanEdge_p27_cell,0.17256772115185587,0.999759266903289,0.17252617838995063
Int_MeanEdge_pCHK1_cell,0.16963065030254057,0.9996424425319408,0.16956999759671315
Int_MeanEdge_p38_cell,0.16881282604463121,0.9990954165867082,0.16866012076224032
Int_Med_cJun_nuc,0.1680392826818576,0.9957309383400043,0.1673219126227873
Int_Med_CDK4_nuc,0.1630195578489088,0.9963900900012838,0.16243107191704373
Int_Med_bCat_nuc,0.16209409016418175,0.9993367032067946,0.16198657367397828
Int_Med_pS6_nuc,0.16129927369701028,0.9984343636667342,0.16104673769358085
Int_MeanEdge_Cdt1_cell,0.15974970594139865,0.9996865602560597,0.15969963403447385
Int_Med_cycD1_nuc,0.15913049056333925,0.9950027496779822,0.15833527566812874
Int_Med_pp27_nuc,0.15650266997320514,0.9999122822342403,0.15648894190865967
Int_MeanEdge_RB_cell,0.15295320520408545,0.9995706296175954,0.15288753162787697
Int_MeanEdge_S6_cell,0.14731418401836585,0.9994135061891756,0.14722778516119242
Int_Med_Fra1_cyto,0.14652506380122943,0.9999184943387832,0.1465131211790195
Int_Med_Fra1_ring,0.14652506380122943,0.9999184943387832,0.1465131211790195
Int_MeanEdge_pH2AX_cell,0.1446309075487392,0.9996616954962835,0.14458197826133884
Int_Med_CDK2_cyto,0.14422728833884585,0.9994080814307971,0.1441419175286923
Int_Med_CDK2_ring,0.14422728833884585,0.9994080814307971,0.1441419175286923
Int_MeanEdge_GSK3b_cell,0.14210947602999274,0.9991245319878342,0.14198506372950284
Int_Med_pS6_cell,0.14192804096502,0.999183247646012,0.14181212090346493
Int_MeanEdge_p53_cell,0.14083954562528708,0.9996920278427114,0.1407961709665893
Int_Med_AKT_nuc,0.13832689926811872,0.9955929942840063,0.13771729183236844
Int_Med_YAP_nuc,0.1376631625310482,0.995659779990548,0.1370656741184665
Int_Med_CDK2_cell,0.134536041727342,0.9993083702748435,0.13444299260177847
Int_Med_pAKT_nuc,0.13343916192333544,0.9970899809353218,0.13305085141816383
Int_MeanEdge_pp38_cell,0.13288090304522387,0.9995577560933263,0.13282213727553882
Int_MeanEdge_bCat_cell,0.12528328387000404,0.9997552213924403,0.12525261720222783
Int_MeanEdge_YAP_cell,0.1252122716344168,0.9988662641570601,0.12507031399408894
Int_Med_pERK_ring,0.12411750131141071,0.9991925439541279,0.12401728188457828
Int_Med_pERK_cyto,0.12411750131141071,0.9991925439541279,0.12401728188457828
Int_Med_pRSK_nuc,0.12450350184184379,0.9952431240089393,0.12391125412312935
Int_Med_Fra1_cell,0.12191554913856022,0.9998610892180305,0.12189861375429514
Int_MeanEdge_ERK_cell,0.12187069597012881,0.9988747203511966,0.12173355735616812
Int_MeanEdge_p14ARF_cell,0.1209328828395357,0.9979040180135289,0.12067940969553201
Int_Med_pGSK3b_cyto,0.12068335603056983,0.9983854313366619,0.1204885044657364
Int_Med_pGSK3b_ring,0.12068335603056983,0.9983854313366619,0.1204885044657364
Int_MeanEdge_pp53_cell,0.1205227695982697,0.999537155313163,0.12046698627471826
Int_Med_pS6_ring,0.11414014273211734,0.9991758792475263,0.11404607747180148
Int_Med_pS6_cyto,0.11414014273211734,0.9991758792475263,0.11404607747180148
Int_Med_cFos_cell,0.11384718856143801,0.9988565917470364,0.11371701474646016
Int_MeanEdge_p21_cell,0.11356652839970072,0.9994202899110042,0.11350069273741518
Int_Med_STAT3_nuc,0.11320253864786566,0.9968261208888906,0.11284324747512664
Int_MeanEdge_pp27_cell,0.11051176889232021,0.999952945484355,0.11050656881456192
Int_Med_p14ARF_nuc,0.10916426050569007,0.9963172502534952,0.10876223585298535
Int_MeanEdge_CDK6_cell,0.10821555507205298,0.9994086030700552,0.10815155672501109
Int_MeanEdge_cMyc_cell,0.1076057967956636,0.9996806489034891,0.10757143276646597
Int_Med_pERK_cell,0.10691641202018061,0.9991043491553925,0.10682065224545233
Int_Med_cFos_cyto,0.10601776082559235,0.998983040458945,0.10590994505219947
Int_Med_cFos_ring,0.10601776082559235,0.998983040458945,0.10590994505219947
Int_MeanEdge_BP1_cell,0.10542852072961267,0.9995451969906556,0.10538057152111412
Int_MeanEdge_pp21_cell,0.10419771938328848,0.9999176773954082,0.10418914155563631
Int_Med_cJun_ring,0.10326510071874452,0.9999474040275406,0.1032596693903511
Int_Med_cJun_cyto,0.10326510071874452,0.9999474040275406,0.1032596693903511
Int_Med_AKT_ring,0.10280631992933639,0.9989778834879662,0.10270123989219519
Int_Med_AKT_cyto,0.10280631992933639,0.9989778834879662,0.10270123989219519
Int_MeanEdge_RSK1_cell,0.10084668308973425,0.9995157866291103,0.10079785177737233
Int_MeanEdge_STAT3_cell,0.10006374213957916,0.9989290729623448,0.09995658117263292
Int_MeanEdge_Bcl2_cell,0.09751437008235214,0.9997978907940245,0.09749466153044359
Int_Med_p14ARF_cyto,0.096523439459083,0.998022629471634,0.09633257685460009
Int_Med_p14ARF_ring,0.096523439459083,0.998022629471634,0.09633257685460009
Int_MeanEdge_pp65_cell,0.09509329106262439,0.9995049748029288,0.09504621748747596
Int_Med_pGSK3b_cell,0.09299193774402692,0.998166914276226,0.09282147555052225
Int_Med_RSK1_nuc,0.09248005794246536,0.9982457833667948,0.09231782788658291
Int_Med_S6_cell,0.0908566203665493,0.9993481102874414,0.09079739187041451
Int_Med_pp65_nuc,0.08981989115039678,0.9976804556357115,0.08961154992807786
Int_MeanEdge_pS6_cell,0.08910264446405355,0.9993275912781764,0.08904273106877837
Int_MeanEdge_pSTAT3_cell,0.08659396506378438,0.9993433296059583,0.0865371013706243
