feature,variance,spearman_corr,spearman_pval,mutual_info,dynamic_range,smooth_corr,batch_effect,batch_score,var_norm,spearman_norm,mi_norm,dynrange_norm,smooth_norm,batch_norm,composite_score,rank
Int_Intg_DNA_nuc,0.9999522543147631,0.7364167321939527,0.0,0.5445253140809845,2.4872202423683167,0.9498811613341588,2.857818479206873e-17,1.0,0.9886084486033216,1.0,1.0,1.0,0.9720280465183634,1.0,0.9946650518380867,1
Int_Med_cycA_nuc,0.9999995217014694,0.732319489222971,0.0,0.5240389688618388,2.4200195165840905,0.9663596614569364,4.3442516575148854e-17,1.0,0.9998859039321057,0.9944314071433146,0.9623776072674944,0.9727193541281314,0.9889356350620953,1.0,0.9820750600808534,2
AreaShape_Area_nuc,0.999958514345047,0.714899626248582,0.0,0.41938310048056415,1.7432464403977632,0.9731967866211879,1.2661482757465865e-16,0.9999999999999998,0.990102019896407,0.9707559441037432,0.770181091008363,0.6979781751959829,0.9959507941019262,0.95,0.8707327149221528,3
Int_Med_Skp2_nuc,0.9999989573427179,0.5138344259677736,8.719425586158338e-186,0.5410408833256675,1.6912429942722507,0.7822989692320637,9.175178234027323e-17,1.0,0.9997512544189204,0.6974867614017313,0.9936009756292087,0.67686698061719,0.8000821333461852,1.0,0.8281327758249928,4
Int_Med_cycB1_ring,0.999991446468693,0.5608896488985773,1.92243569721439e-228,0.27791914236636917,2.29698604120737,0.9771432299425389,4.742813765943991e-17,1.0,0.9979592461824012,0.7614398586766605,0.5103879198626855,0.922772978803039,1.0,1.0,0.8023074650136846,5
Int_Med_cycB1_cyto,0.999991446468693,0.5608896488985773,1.92243569721439e-228,0.2768956748896034,2.29698604120737,0.9771432299425389,4.742813765943991e-17,1.0,0.9979592461824012,0.7614398586766605,0.5085083608223623,0.922772978803039,1.0,1.0,0.8018375752536038,6
Int_Med_cycB1_cell,0.9999904813302187,0.5494166322047874,2.0766016594876877e-217,0.24233989111101195,2.277983045321232,0.9753207869086716,3.539552135773197e-16,0.9999999999999996,0.9977289752326429,0.745846797865243,0.44504798003747165,0.9150585680548742,0.9981301018459546,0.9,0.775227820886811,7
Int_Med_CDK2_nuc,0.9999999605056676,0.600720386253363,2.5831417812990937e-270,0.2617088948817532,1.7548200154253306,0.9674918411703632,5.363919722940666e-17,1.0,0.9999905975715917,0.815574104822485,0.4806184177561129,0.7026765560261595,0.9900972959298657,1.0,0.7630970959965205,8
Int_Med_pH2AX_nuc,0.9999999865003977,0.5826105539253906,1.477555968624331e-250,0.33757556605789496,1.2940503021596759,0.8850097899247654,9.887614958801943e-17,1.0,0.9999967996154783,0.7909608993934805,0.6199446698408021,0.5156235855501576,0.9054674707447503,1.0,0.7416709099918625,9
Int_Std_PCNA_nuc,0.9999980712405125,0.5538043173079233,1.407723166925119e-221,0.2887168550181656,1.5234973628056023,0.6378979029221854,1.0980101497880732e-16,1.0,0.9995398406147241,0.7518101327457355,0.5302175078957416,0.6087693653728503,0.6519209659915909,1.0,0.6900029121951504,10
