feature,dynamic_r2,age_abs_spearman,age_spearman,graph_smoothness,batch_penalty,phase_penalty,state_penalty,mean,std,fitted_age_std,dynamic_r2_rank,age_abs_spearman_rank,graph_smoothness_rank,batch_penalty_rank,phase_penalty_rank,state_penalty_rank,trajectory_score
Int_Intg_DNA_nuc,0.677710512472718,0.7359945236404305,0.7359945236404305,0.8613909284877017,0.0032286151359822283,0.08792838054271328,0.026498096766688975,-5.665799270287134e-17,1.0,0.8236628254773972,1.0,1.0,0.7427385892116183,1.0,0.950207468879668,0.946058091286307,1.0636524816226045
Int_Med_cycA_nuc,0.6302968568846932,0.73238994282907,0.73238994282907,0.9117332758254006,0.003127577987389839,0.09067735030770022,0.04046285511881759,8.498698905430702e-17,1.0000000000000004,0.7963896957708667,0.995850622406639,0.995850622406639,0.9377593360995851,0.995850622406639,0.9543568464730291,0.975103734439834,1.036815168116333
AreaShape_Area_nuc,0.48170960380347677,0.7146348635615428,0.7146348635615428,0.7698592994562073,0.0015074742109062766,0.005958315567115181,0.0012767067164302687,-7.72608991402791e-17,1.0000000000000013,0.6964958228681289,0.9875518672199171,0.991701244813278,0.22406639004149378,0.991701244813278,0.6058091286307054,0.2697095435684647,0.9363771725424274
Int_Med_Skp2_nuc,0.581694457052438,0.5137867003929677,0.5137867003929677,0.8257467944389789,0.0006815027440134415,0.1046346190954885,0.07788031116277465,6.05210376598853e-17,0.9999999999999994,0.7660284993013635,0.991701244813278,0.9626556016597511,0.5352697095435685,0.9585062240663901,0.970954356846473,0.983402489626556,0.821625639896236
Int_Med_CDK2_nuc,0.3873759682578314,0.6007035083485317,0.6007035083485317,0.8126729901602723,0.0010816980751597747,0.015655986630637265,0.007709306494458102,1.6739861480393806e-16,0.9999999999999991,0.6258964289065405,0.975103734439834,0.9875518672199171,0.42323651452282157,0.970954356846473,0.8713692946058091,0.8215767634854771,0.7910163195159081
Int_Med_pH2AX_nuc,0.3946137783938969,0.5826144580301129,0.5826144580301129,0.8412726765777866,0.0004632860474996388,0.03736786047476269,0.0092278275270447,-4.635653948416746e-17,1.0000000000000018,0.6341778836638169,0.983402489626556,0.983402489626556,0.6514522821576764,0.9336099585062241,0.9087136929460581,0.8589211618257261,0.7794672004185046
Int_Std_PCNA_nuc,0.38923590604700625,0.5537299982861966,0.5537299982861966,0.7504054081872112,4.7701744302629434e-05,0.09763577735454612,0.0058181279228911075,-1.802754313273179e-16,0.9999999999999998,0.6300613383025723,0.979253112033195,0.970954356846473,0.15767634854771784,0.7012448132780082,0.9585062240663901,0.7385892116182573,0.7320341574305427
Int_Med_cycB1_ring,0.32903061137505857,0.560699121186191,0.560699121186191,0.9261283907133336,0.0013281693239659137,0.13582740033575985,0.03724735037269742,-2.832899635143567e-17,1.000000000000002,0.5794696860153553,0.9605809128630706,0.9771784232365145,0.9937759336099585,0.9854771784232366,0.9813278008298755,0.9605809128630706,0.7112922058457727
Int_Med_cycB1_cyto,0.32903061137505857,0.560699121186191,0.560699121186191,0.9261283907133336,0.0013281693239659137,0.13582740033575985,0.03724735037269742,-2.832899635143567e-17,1.000000000000002,0.5794696860153553,0.9605809128630706,0.9771784232365145,0.9937759336099585,0.9854771784232366,0.9813278008298755,0.9605809128630706,0.7112922058457727
Int_Med_cycB1_cell,0.3208203713196296,0.5493045847193913,0.5493045847193913,0.9279923981080148,0.0012896647299024747,0.1322079453837147,0.035818598519134166,-6.180871931222328e-17,1.0000000000000002,0.572088343683207,0.9543568464730291,0.966804979253112,1.0,0.979253112033195,0.975103734439834,0.9543568464730291,0.698164574828359
Int_Med_E2F1_nuc,0.3668954301769027,0.42886615522800786,0.42886615522800786,0.8033631781035132,0.00011204139584944629,0.10337570869515096,0.006463434465197014,-2.5753633046759702e-17,1.0,0.6052869735281046,0.970954356846473,0.941908713692946,0.3360995850622407,0.8091286307053942,0.966804979253112,0.7634854771784232,0.6228801542202841
Int_Med_p27_nuc,0.24127997339784085,0.49477946900436137,-0.49477946900436137,0.7462590200420134,2.93283229389183e-05,0.038827402701567315,0.020013048455762707,-7.72608991402791e-17,1.0000000000000007,0.5072301175651641,0.950207468879668,0.9543568464730291,0.15352697095435686,0.6224066390041494,0.9294605809128631,0.9377593360995851,0.6074490478737876
Int_Med_Cdh1_nuc,0.35600254700645656,0.3670278266151216,-0.3670278266151216,0.7829802750458539,6.304399912441694e-07,0.027021986635512953,0.013894753289652244,-1.8542615793666985e-16,1.0000000000000004,0.5986401347589979,0.966804979253112,0.9336099585062241,0.26141078838174275,0.0954356846473029,0.8838174273858921,0.9087136929460581,0.5801173566294549
