phase,annotated_age,state,batch,pseudotime
S,6.933333332999999,cycling,1,0.1902964119841573
G2,16.26666667,cycling,1,0.7678826093131128
G0,2.666666667,arrested,1,0.18425596400815858
G1,0.26666666699999997,cycling,1,0.13236014736395263
G2,12.8,cycling,1,0.2930943428296201
S,10.13333333,cycling,1,0.2635171654538797
G1,4.533333333,cycling,1,0.1889630085870486
G2,18.66666667,cycling,1,0.43692280702142045
G1,1.6,cycling,1,0.14011253433866203
G1,15.46666667,cycling,1,0.17742528309356992
G1,5.066666667,cycling,1,0.17905798935286182
G1,6.4,cycling,1,0.19358716844400478
G1,0.26666666699999997,cycling,1,0.11424103878480452
S,7.733333332999999,cycling,1,0.20128167447324444
S,5.333333333,cycling,1,0.2408193812687378
S,8.533333333,cycling,1,0.17484249130171567
S,9.333333332999999,cycling,1,0.24785921756301457
G2,16.26666667,cycling,1,0.5414618643296794
G2,18.13333333,cycling,1,0.5383438876558019
G1,4.8,cycling,1,0.16776053139916078
G1,3.4666666669999997,cycling,1,0.16594834054216945
G1,6.933333332999999,cycling,1,0.07700745723836236
S,7.2,cycling,1,0.22373502955974703
S,16.8,cycling,1,0.24450682834361878
G2,20.0,cycling,1,0.3119371858364361
S,10.93333333,cycling,1,0.24449746107117892
G1,4.8,cycling,1,0.19616010168987486
S,8.0,cycling,1,0.2631724941828602
S,9.6,cycling,1,0.28328298054739876
S,5.6,cycling,1,0.28406851339008315
G1,5.066666667,cycling,1,0.16102854139635878
G1,4.266666667,cycling,1,0.14328536486965476
G0,18.93333333,arrested,1,0.21966083422477312
G1,5.8666666670000005,cycling,1,0.1673680108431456
S,8.0,cycling,1,0.2470648568888454
S,7.2,cycling,1,0.1862714659385369
S,10.93333333,cycling,1,0.29818858115989794
G1,4.266666667,cycling,1,0.216822126503445
G2,13.86666667,cycling,1,0.3416952550231174
G0,8.266666667,arrested,1,0.1892871978735397
S,7.2,cycling,1,0.2397390150121317
G2,18.4,cycling,1,0.32889424052333044
S,9.6,cycling,1,0.29688961402395664
G1,5.066666667,cycling,1,0.24360547198362165
G1,3.2,cycling,1,0.10567524247266415
G1,1.333333333,cycling,1,0.16059585991118686
G1,4.266666667,cycling,1,0.16132377276963647
S,5.8666666670000005,cycling,1,0.23913579301132454
G1,2.133333333,cycling,1,0.14511384765425725
S,14.13333333,cycling,1,0.2959004223731342
G2,17.33333333,cycling,1,0.3201427593706722
G1,9.866666667,cycling,1,0.17494183004598607
S,5.8666666670000005,cycling,1,0.31426897780860336
S,9.066666667,cycling,1,0.3334481395960609
G2,16.26666667,cycling,1,0.36633140980637074
G1,4.266666667,cycling,1,0.17455019940035238
S,7.2,cycling,1,0.2527261472463303
G2,20.0,cycling,1,0.5732667345482237
G1,4.266666667,cycling,1,0.17880665846959365
G1,4.266666667,cycling,1,0.1807998324362397
S,18.93333333,cycling,1,0.329691943130352
G1,2.666666667,cycling,1,0.1933142119910221
G1,1.333333333,cycling,1,0.165733661133417
G1,4.266666667,cycling,1,0.18804533341288202
G1,1.8666666669999998,cycling,1,0.1893406764875155
S,8.266666667,cycling,1,0.31266424794762343
G1,5.8666666670000005,cycling,1,0.16313685172895628
G0,8.266666667,arrested,1,0.15728467759230685
S,5.333333333,cycling,1,0.22022821209944501
G1,3.4666666669999997,unannotated,1,0.15606670487412017
G1,5.333333333,cycling,1,0.17144885766612217
G1,5.066666667,cycling,1,0.18308937481507717
G1,3.2,unannotated,1,0.1042748419611607
G1,2.133333333,cycling,1,0.13403301677604232
G1,2.933333333,cycling,1,0.21500480490330032
G1,2.4,cycling,1,0.18041597349065386
S,5.8666666670000005,cycling,1,0.27496076204396963
G2,12.53333333,cycling,1,0.408755310404291
G2,15.2,cycling,1,0.37467874109426996
S,5.066666667,cycling,1,0.21501971689918986
S,5.6,cycling,1,0.23245422956100564
S,10.93333333,cycling,1,0.29183284761967115
S,6.4,cycling,1,0.19748256378864185
S,7.733333332999999,cycling,1,0.21978988818071948
G1,4.8,cycling,1,0.1925592687831868
G1,1.6,cycling,1,0.1794072429173858
S,4.8,cycling,1,0.2267051220107884
G0,4.533333333,arrested,1,0.2002544035277316
G2,17.86666667,cycling,1,0.3416972309025305
G2,14.13333333,cycling,1,0.2574545909758727
S,9.333333332999999,cycling,1,0.21956396835434824
G1,4.266666667,cycling,1,0.19122413859621784
S,6.1333333329999995,cycling,1,0.21930488555289113
G1,4.533333333,cycling,1,0.12585742990572724
G2,16.26666667,cycling,1,0.36918601705469184
S,4.533333333,cycling,1,0.24436084363906155
S,5.8666666670000005,cycling,1,0.24344466720704222
S,5.333333333,cycling,1,0.19260364527456253
S,13.6,cycling,1,0.25181147026540907
S,9.866666667,cycling,1,0.27561659382410364
S,9.6,cycling,1,0.26152553446711
G1,5.333333333,cycling,1,0.1591438420353534
S,6.4,cycling,1,1.0
G0,1.6,arrested,1,0.13991010337389712
G1,1.8666666669999998,cycling,1,0.17313201542870998
G1,0.0,cycling,1,0.17778479335605435
G2,15.46666667,cycling,1,0.30006133814482794
S,20.0,cycling,1,0.299452859105672
G1,2.4,cycling,1,0.18125235467213144
G1,4.266666667,cycling,1,0.169070629378362
G0,5.8666666670000005,arrested,1,0.18644386200975369
G1,5.066666667,cycling,1,0.1514746205041981
G1,3.4666666669999997,cycling,1,0.1965612468331842
G1,0.0,cycling,1,0.13797615947269695
G0,3.2,arrested,1,0.1514151135980706
G2,16.53333333,cycling,1,0.36955667735387016
S,7.2,cycling,1,0.20959177095058665
S,6.666666667,cycling,1,0.24068328507739967
S,5.333333333,cycling,1,0.22585992916243172
G1,5.066666667,cycling,1,0.1506023833686865
S,9.866666667,cycling,1,0.250023237431311
G2,13.86666667,cycling,1,0.68633000552675
G1,3.4666666669999997,cycling,1,0.14042624571638235
G2,15.46666667,cycling,1,0.3298282678573043
S,5.333333333,cycling,1,0.21158109863326627
G1,1.6,cycling,1,0.1669292591515745
G0,3.2,arrested,1,1.0
G1,1.333333333,unannotated,1,0.16392833439402305
G1,2.666666667,cycling,1,0.13094728786166976
G1,3.2,cycling,1,0.1655476972258203
G0,2.4,arrested,1,0.1621367475733406
G1,0.533333333,cycling,1,0.133771042943321
G1,2.933333333,cycling,1,0.17838510884326647
G1,2.133333333,cycling,1,0.17803510892960978
G1,5.8666666670000005,cycling,1,0.17313621656337824
S,7.466666667,cycling,1,0.23074030513284433
G1,2.4,cycling,1,0.14699790863840392
G1,0.533333333,cycling,1,0.10505949655340836
S,10.66666667,cycling,1,0.29433482278830086
S,10.93333333,cycling,1,0.3056981704703728
S,5.8666666670000005,cycling,1,0.21676593271812086
S,8.0,cycling,1,0.29576952822148733
G2,17.33333333,cycling,1,0.6499033412463031
G1,5.066666667,cycling,1,0.16140830623414884
G2,17.86666667,cycling,1,0.46280037433333926
G0,0.8,arrested,1,0.13095664857009423
S,11.2,cycling,1,0.2071640882558632
G0,5.8666666670000005,arrested,1,0.27655917841274613
G1,1.8666666669999998,unannotated,1,0.17095716576871844
G1,4.8,cycling,1,0.12346653995061804
S,6.4,cycling,1,0.2784001734707877
G0,2.4,arrested,1,0.14640392281009276
S,6.666666667,cycling,1,0.23450667199165393
G1,0.0,cycling,1,0.12371002498352905
G2,16.8,unannotated,1,0.3218054368332451
G0,0.8,arrested,1,0.13537209660148267
G1,4.266666667,unannotated,1,0.16546116085056123
G1,1.066666667,cycling,1,0.15639617334613606
S,9.066666667,cycling,1,0.26019926796999354
G2,15.2,cycling,1,0.41155740911576627
G0,1.8666666669999998,arrested,1,0.1697084309191115
S,8.533333333,cycling,1,0.2473769090907687
G0,1.333333333,arrested,1,0.12498063502541747
G1,1.333333333,cycling,1,0.16028231606887142
S,6.1333333329999995,cycling,1,0.2313469003635087
G1,0.0,cycling,1,0.12297912256794949
G0,0.533333333,arrested,1,0.16209187694843114
S,18.93333333,cycling,1,0.21252089765294724
G1,1.066666667,unannotated,1,0.14337562215917135
G1,3.733333333,unannotated,1,0.15930297983075814
S,8.266666667,cycling,1,0.2636939585596907
S,9.866666667,cycling,1,0.28692276624202406
G1,0.0,cycling,1,0.07560938923892127
G1,0.26666666699999997,cycling,1,0.140393085887222
G1,4.266666667,cycling,1,0.1632051409552921
S,6.666666667,cycling,1,0.23316613377684403
S,5.6,cycling,1,0.21863452690243976
G0,1.333333333,arrested,1,0.1650250296992939
S,8.0,cycling,1,0.24978879065609932
S,18.13333333,cycling,1,0.34661659500077924
G0,1.066666667,arrested,1,0.09856679701094895
G1,0.0,cycling,1,0.08234346904168934
G1,2.4,unannotated,1,0.16621106199447513
G1,0.26666666699999997,cycling,1,0.11073465654647062
G2,15.73333333,cycling,1,0.29280317907165104
G1,14.93333333,cycling,1,1.0
G0,0.533333333,arrested,1,0.2294704389646411
G1,4.0,unannotated,1,0.15936507762920904
G1,6.1333333329999995,cycling,1,0.19333556270794944
G1,3.2,unannotated,1,0.1561869999594879
G0,1.066666667,arrested,1,0.12330358903658421
S,10.93333333,cycling,1,0.2459045085719943
G1,3.2,cycling,1,0.17767811297581257
S,7.466666667,cycling,1,0.19457610506388665
S,13.33333333,cycling,1,0.29710072536828025
G1,4.266666667,cycling,1,0.14504619530332488
S,6.666666667,cycling,1,0.2288955911863539
G2,15.73333333,cycling,1,0.4374157242028061
S,14.13333333,unannotated,1,0.28238365404925364
G1,5.6,cycling,1,0.1917858348412855
S,6.666666667,cycling,1,0.22998942087573412
S,8.266666667,unannotated,1,0.2333958520264652
G1,5.8666666670000005,cycling,1,0.1516139362838975
G0,3.2,arrested,1,0.1402496856428649
S,12.0,cycling,1,0.25735695211246457
G2,14.93333333,cycling,1,0.403931064029496
S,9.866666667,cycling,1,0.30392373913840803
S,5.6,cycling,1,0.20122659359473485
S,6.666666667,cycling,1,0.21090054452994708
G1,6.666666667,cycling,1,0.1686457010216473
G1,5.8666666670000005,cycling,1,0.15088193451269466
S,9.066666667,cycling,1,0.239083841185431
G1,0.26666666699999997,cycling,1,0.1523822745042201
G1,3.733333333,cycling,1,0.16893238966004748
G1,2.4,cycling,1,0.14377954861652292
S,4.533333333,unannotated,1,0.21592269374667403
G2,17.33333333,cycling,1,0.720482612688217
G2,13.6,cycling,1,0.33578918469281216
G1,2.933333333,cycling,1,0.18445054106095526
G1,0.8,unannotated,1,0.15644212906021474
G2,16.26666667,cycling,1,0.35943849582153586
G2,18.66666667,cycling,1,0.40889383229621484
G0,2.666666667,arrested,1,0.2337046243026818
S,8.266666667,cycling,1,0.26073580306881805
S,7.466666667,cycling,1,0.20885938760093983
S,9.066666667,cycling,1,0.2487339176769141
S,7.733333332999999,cycling,1,0.22617726153866857
S,10.93333333,cycling,1,0.23224539538213834
