step,path_index,coord,shell_type,avg_mismatch
0,0,"(0, 0)",MC,0.0
1,1,"(0, 1)",BG,0.045
2,2,"(1, 0)",BG,0.054
3,3,"(1, 1)",BG,0.072
4,4,"(0, 2)",Ch1,0.10600000000000001
5,5,"(2, 0)",Ch1,0.11280000000000001
6,5,"(2, 0)",Ch1,0.11535680806334572
7,6,"(1, 2)",Ch1,0.12767840403167285
8,7,"(2, 1)",Ch1,0.1301427232253383
9,8,"(2, 2)",Ch1,0.13211417858027064
10,9,"(0, 3)",Ch2,0.1466913428642165
11,9,"(0, 3)",Ch2,0.14801195681544083
12,10,"(3, 0)",Ch2,0.17650597840772042
13,11,"(1, 3)",Ch2,0.18220478272617632
14,12,"(3, 1)",Ch2,0.18676382618094106
15,13,"(2, 3)",Ch2,0.19041106094475285
16,14,"(3, 2)",Ch2,0.19332884875580228
17,15,"(3, 3)",Ch2,0.19916442437790113
18,16,"(0, 4)",Ch3,0.2003315395023209
19,17,"(4, 0)",Ch3,0.12016576975116046
20,18,"(1, 4)",Ch3,0.10413261580092836
21,18,"(1, 4)",Ch3,0.10104202615955232
22,19,"(4, 1)",Ch3,0.07052101307977617
23,20,"(2, 4)",Ch3,0.06441681046382093
24,21,"(4, 2)",Ch3,0.059533448371056744
25,22,"(3, 4)",Ch3,0.05562675869684539
26,23,"(4, 3)",Ch3,0.052501406957476314
27,24,"(4, 4)",Ch3,0.04625070347873816
28,25,"(0, 5)",Ch4,0.04312535173936908
29,25,"(0, 5)",Ch4,0.03288049715793833
30,26,"(5, 0)",Ch4,0.03430439772635067
31,27,"(1, 5)",Ch4,0.03544351818108053
32,28,"(5, 1)",Ch4,0.036354814544864424
33,29,"(2, 5)",Ch4,0.03708385163589154
34,30,"(5, 2)",Ch4,0.037667081308713234
35,31,"(3, 5)",Ch4,0.038133665046970584
36,32,"(5, 3)",Ch4,0.03906683252348529
37,33,"(4, 5)",Ch4,0.039253466018788236
38,34,"(5, 4)",Ch4,0.03962673300939412
39,35,"(5, 5)",Ch4,0.039813366504697065
40,35,"(5, 5)",Ch4,0.039813366504697065
41,35,"(5, 5)",Ch4,0.039813366504697065
42,35,"(5, 5)",Ch4,0.039813366504697065
43,35,"(5, 5)",Ch4,0.039813366504697065
44,35,"(5, 5)",Ch4,0.039813366504697065
45,35,"(5, 5)",Ch4,0.039813366504697065
46,35,"(5, 5)",Ch4,0.039813366504697065
47,35,"(5, 5)",Ch4,0.039813366504697065
48,35,"(5, 5)",Ch4,0.039813366504697065
49,35,"(5, 5)",Ch4,0.039813366504697065
50,35,"(5, 5)",Ch4,0.039813366504697065
51,35,"(5, 5)",Ch4,0.039813366504697065
52,35,"(5, 5)",Ch4,0.039813366504697065
53,35,"(5, 5)",Ch4,0.039813366504697065
54,35,"(5, 5)",Ch4,0.039813366504697065
55,35,"(5, 5)",Ch4,0.039813366504697065
56,35,"(5, 5)",Ch4,0.039813366504697065
57,35,"(5, 5)",Ch4,0.039813366504697065
58,35,"(5, 5)",Ch4,0.039813366504697065
59,35,"(5, 5)",Ch4,0.039813366504697065
60,35,"(5, 5)",Ch4,0.039813366504697065
61,35,"(5, 5)",Ch4,0.039813366504697065
62,35,"(5, 5)",Ch4,0.039813366504697065
63,35,"(5, 5)",Ch4,0.039813366504697065
64,35,"(5, 5)",Ch4,0.039813366504697065
65,35,"(5, 5)",Ch4,0.039813366504697065
66,35,"(5, 5)",Ch4,0.039813366504697065
67,35,"(5, 5)",Ch4,0.039813366504697065
68,35,"(5, 5)",Ch4,0.039813366504697065
69,35,"(5, 5)",Ch4,0.039813366504697065
70,35,"(5, 5)",Ch4,0.039813366504697065
71,35,"(5, 5)",Ch4,0.039813366504697065
72,35,"(5, 5)",Ch4,0.039813366504697065
73,35,"(5, 5)",Ch4,0.039813366504697065
74,35,"(5, 5)",Ch4,0.039813366504697065
75,35,"(5, 5)",Ch4,0.039813366504697065
76,35,"(5, 5)",Ch4,0.039813366504697065
77,35,"(5, 5)",Ch4,0.039813366504697065
78,35,"(5, 5)",Ch4,0.039813366504697065
79,35,"(5, 5)",Ch4,0.039813366504697065
80,35,"(5, 5)",Ch4,0.039813366504697065
81,35,"(5, 5)",Ch4,0.039813366504697065
82,35,"(5, 5)",Ch4,0.039813366504697065
83,35,"(5, 5)",Ch4,0.039813366504697065
84,35,"(5, 5)",Ch4,0.039813366504697065
85,35,"(5, 5)",Ch4,0.039813366504697065
86,35,"(5, 5)",Ch4,0.039813366504697065
87,35,"(5, 5)",Ch4,0.039813366504697065
88,35,"(5, 5)",Ch4,0.039813366504697065
89,35,"(5, 5)",Ch4,0.039813366504697065
90,35,"(5, 5)",Ch4,0.039813366504697065
91,35,"(5, 5)",Ch4,0.039813366504697065
92,35,"(5, 5)",Ch4,0.039813366504697065
93,35,"(5, 5)",Ch4,0.039813366504697065
94,35,"(5, 5)",Ch4,0.039813366504697065
95,35,"(5, 5)",Ch4,0.039813366504697065
96,35,"(5, 5)",Ch4,0.047808851039165795
