coord,shell_type,core_element,shell_element,core_size,shell_size,formula,mismatch,target_mismatch,mismatch_error,in_optimal_window,estimated_energy,path_index
"(0, 1)",BG,K,Rb,13,30,K13@Rb30,0.09251101321585908,0.09,0.002511013215859087,True,,1
"(1, 0)",BG,K,Rb,13,30,K13@Rb30,0.09251101321585908,0.09,0.002511013215859087,True,,2
"(1, 1)",BG,K,Rb,13,30,K13@Rb30,0.09251101321585908,0.09,0.002511013215859087,True,,3
"(0, 2)",Ch1,Cu,Ag,13,32,Cu13@Ag32,0.125,0.14,0.015000000000000013,True,-2.3,4
"(2, 0)",Ch1,Cu,Ag,13,32,Cu13@Ag32,0.125,0.14,0.015000000000000013,True,-2.3,5
"(1, 2)",Ch1,Cu,Ag,13,32,Cu13@Ag32,0.125,0.14,0.015000000000000013,True,-2.3,6
"(2, 1)",Ch1,Cu,Ag,13,32,Cu13@Ag32,0.125,0.14,0.015000000000000013,True,-2.3,7
"(2, 2)",Ch1,Cu,Ag,13,32,Cu13@Ag32,0.125,0.14,0.015000000000000013,True,-2.3,8
"(0, 3)",Ch2,Na,K,13,42,Na13@K42,0.22043010752688175,0.20500000000000002,0.015430107526881731,False,,9
"(3, 0)",Ch2,Na,K,13,42,Na13@K42,0.22043010752688175,0.20500000000000002,0.015430107526881731,False,,10
"(1, 3)",Ch2,Na,K,13,42,Na13@K42,0.22043010752688175,0.20500000000000002,0.015430107526881731,False,,11
"(3, 1)",Ch2,Na,K,13,42,Na13@K42,0.22043010752688175,0.20500000000000002,0.015430107526881731,False,,12
"(2, 3)",Ch2,Na,K,13,42,Na13@K42,0.22043010752688175,0.20500000000000002,0.015430107526881731,False,,13
"(3, 2)",Ch2,Na,K,13,42,Na13@K42,0.22043010752688175,0.20500000000000002,0.015430107526881731,False,,14
"(3, 3)",Ch2,Na,K,13,42,Na13@K42,0.22043010752688175,0.20500000000000002,0.015430107526881731,False,,15
"(0, 2)",Ch1,Ni,Ag,13,32,Ni13@Ag32,0.16129032258064502,0.14,0.021290322580645005,False,-2.36290322580645,4
"(2, 0)",Ch1,Ni,Ag,13,32,Ni13@Ag32,0.16129032258064502,0.14,0.021290322580645005,False,-2.36290322580645,5
"(1, 2)",Ch1,Ni,Ag,13,32,Ni13@Ag32,0.16129032258064502,0.14,0.021290322580645005,False,-2.36290322580645,6
"(2, 1)",Ch1,Ni,Ag,13,32,Ni13@Ag32,0.16129032258064502,0.14,0.021290322580645005,False,-2.36290322580645,7
"(2, 2)",Ch1,Ni,Ag,13,32,Ni13@Ag32,0.16129032258064502,0.14,0.021290322580645005,False,-2.36290322580645,8
"(0, 1)",BG,Rb,Cs,13,30,Rb13@Cs30,0.06854838709677424,0.09,0.021451612903225753,False,,1
"(1, 0)",BG,Rb,Cs,13,30,Rb13@Cs30,0.06854838709677424,0.09,0.021451612903225753,False,,2
"(1, 1)",BG,Rb,Cs,13,30,Rb13@Cs30,0.06854838709677424,0.09,0.021451612903225753,False,,3
"(0, 2)",Ch1,K,Cs,13,32,K13@Cs32,0.1674008810572687,0.14,0.027400881057268678,False,-2.424008810572687,4
"(2, 0)",Ch1,K,Cs,13,32,K13@Cs32,0.1674008810572687,0.14,0.027400881057268678,False,-2.424008810572687,5
"(1, 2)",Ch1,K,Cs,13,32,K13@Cs32,0.1674008810572687,0.14,0.027400881057268678,False,-2.424008810572687,6
"(2, 1)",Ch1,K,Cs,13,32,K13@Cs32,0.1674008810572687,0.14,0.027400881057268678,False,-2.424008810572687,7
"(2, 2)",Ch1,K,Cs,13,32,K13@Cs32,0.1674008810572687,0.14,0.027400881057268678,False,-2.424008810572687,8
"(0, 1)",BG,Cu,Ag,13,30,Cu13@Ag30,0.125,0.09,0.035,False,,1
"(1, 0)",BG,Cu,Ag,13,30,Cu13@Ag30,0.125,0.09,0.035,False,,2
"(1, 1)",BG,Cu,Ag,13,30,Cu13@Ag30,0.125,0.09,0.035,False,,3
"(0, 3)",Ch2,K,Cs,13,42,K13@Cs42,0.1674008810572687,0.20500000000000002,0.037599118942731324,False,,9
"(3, 0)",Ch2,K,Cs,13,42,K13@Cs42,0.1674008810572687,0.20500000000000002,0.037599118942731324,False,,10
"(1, 3)",Ch2,K,Cs,13,42,K13@Cs42,0.1674008810572687,0.20500000000000002,0.037599118942731324,False,,11
"(3, 1)",Ch2,K,Cs,13,42,K13@Cs42,0.1674008810572687,0.20500000000000002,0.037599118942731324,False,,12
"(2, 3)",Ch2,K,Cs,13,42,K13@Cs42,0.1674008810572687,0.20500000000000002,0.037599118942731324,False,,13
"(3, 2)",Ch2,K,Cs,13,42,K13@Cs42,0.1674008810572687,0.20500000000000002,0.037599118942731324,False,,14
"(3, 3)",Ch2,K,Cs,13,42,K13@Cs42,0.1674008810572687,0.20500000000000002,0.037599118942731324,False,,15
"(0, 3)",Ch2,Ni,Ag,13,42,Ni13@Ag42,0.16129032258064502,0.20500000000000002,0.043709677419355,False,,9
"(3, 0)",Ch2,Ni,Ag,13,42,Ni13@Ag42,0.16129032258064502,0.20500000000000002,0.043709677419355,False,,10
"(1, 3)",Ch2,Ni,Ag,13,42,Ni13@Ag42,0.16129032258064502,0.20500000000000002,0.043709677419355,False,,11
"(3, 1)",Ch2,Ni,Ag,13,42,Ni13@Ag42,0.16129032258064502,0.20500000000000002,0.043709677419355,False,,12
"(2, 3)",Ch2,Ni,Ag,13,42,Ni13@Ag42,0.16129032258064502,0.20500000000000002,0.043709677419355,False,,13
"(3, 2)",Ch2,Ni,Ag,13,42,Ni13@Ag42,0.16129032258064502,0.20500000000000002,0.043709677419355,False,,14
"(3, 3)",Ch2,Ni,Ag,13,42,Ni13@Ag42,0.16129032258064502,0.20500000000000002,0.043709677419355,False,,15
"(0, 2)",Ch1,K,Rb,13,32,K13@Rb32,0.09251101321585908,0.14,0.04748898678414093,False,-2.624889867841409,4
"(2, 0)",Ch1,K,Rb,13,32,K13@Rb32,0.09251101321585908,0.14,0.04748898678414093,False,-2.624889867841409,5
"(1, 2)",Ch1,K,Rb,13,32,K13@Rb32,0.09251101321585908,0.14,0.04748898678414093,False,-2.624889867841409,6
"(2, 1)",Ch1,K,Rb,13,32,K13@Rb32,0.09251101321585908,0.14,0.04748898678414093,False,-2.624889867841409,7
"(2, 2)",Ch1,K,Rb,13,32,K13@Rb32,0.09251101321585908,0.14,0.04748898678414093,False,-2.624889867841409,8
"(0, 1)",BG,Ni,Cu,13,30,Ni13@Cu30,0.032258064516129004,0.09,0.05774193548387099,False,,1
"(1, 0)",BG,Ni,Cu,13,30,Ni13@Cu30,0.032258064516129004,0.09,0.05774193548387099,False,,2
"(1, 1)",BG,Ni,Cu,13,30,Ni13@Cu30,0.032258064516129004,0.09,0.05774193548387099,False,,3
"(0, 1)",BG,Ni,Ag,13,30,Ni13@Ag30,0.16129032258064502,0.09,0.07129032258064502,False,,1
"(1, 0)",BG,Ni,Ag,13,30,Ni13@Ag30,0.16129032258064502,0.09,0.07129032258064502,False,,2
"(1, 1)",BG,Ni,Ag,13,30,Ni13@Ag30,0.16129032258064502,0.09,0.07129032258064502,False,,3
"(0, 2)",Ch1,Rb,Cs,13,32,Rb13@Cs32,0.06854838709677424,0.14,0.07145161290322577,False,-2.864516129032258,4
