path_index,coord,shell_type
0,"(0, 0)",MC
1,"(0, 1)",BG
2,"(1, 0)",BG
3,"(1, 1)",BG
4,"(0, 2)",Ch1
5,"(2, 0)",Ch1
6,"(1, 2)",Ch1
7,"(2, 1)",Ch1
8,"(2, 2)",Ch1
9,"(0, 3)",Ch2
10,"(3, 0)",Ch2
11,"(1, 3)",Ch2
12,"(3, 1)",Ch2
13,"(2, 3)",Ch2
14,"(3, 2)",Ch2
15,"(3, 3)",Ch2
16,"(0, 4)",Ch3
17,"(4, 0)",Ch3
18,"(1, 4)",Ch3
19,"(4, 1)",Ch3
20,"(2, 4)",Ch3
21,"(4, 2)",Ch3
22,"(3, 4)",Ch3
23,"(4, 3)",Ch3
24,"(4, 4)",Ch3
25,"(0, 5)",Ch4
26,"(5, 0)",Ch4
27,"(1, 5)",Ch4
28,"(5, 1)",Ch4
29,"(2, 5)",Ch4
30,"(5, 2)",Ch4
31,"(3, 5)",Ch4
32,"(5, 3)",Ch4
33,"(4, 5)",Ch4
34,"(5, 4)",Ch4
35,"(5, 5)",Ch4
