inner_element,outer_element,inner_category,outer_category,computed_mismatch,target_midpoint,range_lower,range_upper,within_range,distance_to_target,energy_bonus,composite_score
Ag,Ni,MC,Ch1,0.13888888888888887,0.14,0.12,0.16,True,0.001111111111111146,4.61,0.09731111111111115
Ni,Ag,MC,Ch1,0.13888888888888887,0.14,0.12,0.16,True,0.001111111111111146,4.61,0.09731111111111115
K,Rb,MC,BG,0.08467741935483869,0.09,0.08,0.1,True,0.005322580645161307,4.55,0.0983225806451613
Rb,K,MC,BG,0.08467741935483869,0.09,0.08,0.1,True,0.005322580645161307,4.55,0.0983225806451613
K,Cs,MC,Ch1,0.1433962264150943,0.14,0.12,0.16,True,0.0033962264150942945,4.61,0.0995962264150943
Cs,K,MC,Ch1,0.1433962264150943,0.14,0.12,0.16,True,0.0033962264150942945,4.61,0.0995962264150943
Cu,Ni,MC,MC,0.03125000000000003,0.04,0.03,0.05,True,0.008749999999999973,4.82,0.10515
Ni,Cu,MC,MC,0.03125000000000003,0.04,0.03,0.05,True,0.008749999999999973,4.82,0.10515
Na,Ag,MC,Ch2,0.2258064516129033,0.20500000000000002,0.19,0.22,False,0.020806451612903287,-0.0,0.026806451612903286
Ag,Na,MC,Ch2,0.2258064516129033,0.20500000000000002,0.19,0.22,False,0.020806451612903287,-0.0,0.026806451612903286
Na,K,MC,Ch2,0.1806167400881057,0.20500000000000002,0.19,0.22,False,0.02438325991189433,-0.0,0.030383259911894327
K,Na,MC,Ch2,0.1806167400881057,0.20500000000000002,0.19,0.22,False,0.02438325991189433,-0.0,0.030383259911894327
Na,Rb,MC,Ch2,0.24999999999999994,0.20500000000000002,0.19,0.22,False,0.04499999999999993,-0.0,0.05099999999999993
Rb,Na,MC,Ch2,0.24999999999999994,0.20500000000000002,0.19,0.22,False,0.04499999999999993,-0.0,0.05099999999999993
K,Cs,MC,Ch2,0.1433962264150943,0.20500000000000002,0.19,0.22,False,0.06160377358490571,-0.0,0.06760377358490571
Cs,K,MC,Ch2,0.1433962264150943,0.20500000000000002,0.19,0.22,False,0.06160377358490571,-0.0,0.06760377358490571
Ag,Ni,MC,Ch2,0.13888888888888887,0.20500000000000002,0.19,0.22,False,0.06611111111111115,-0.0,0.07211111111111115
Ni,Ag,MC,Ch2,0.13888888888888887,0.20500000000000002,0.19,0.22,False,0.06611111111111115,-0.0,0.07211111111111115
Na,Cs,MC,Ch2,0.29811320754716975,0.20500000000000002,0.19,0.22,False,0.09311320754716973,-0.0,0.09911320754716973
Cs,Na,MC,Ch2,0.29811320754716975,0.20500000000000002,0.19,0.22,False,0.09311320754716973,-0.0,0.09911320754716973
Ag,Cu,MC,Ch2,0.11111111111111106,0.20500000000000002,0.19,0.22,False,0.09388888888888895,-0.0,0.09988888888888896
Cu,Ag,MC,Ch2,0.11111111111111106,0.20500000000000002,0.19,0.22,False,0.09388888888888895,-0.0,0.09988888888888896
Na,Cu,MC,Ch2,0.3118279569892473,0.20500000000000002,0.19,0.22,False,0.1068279569892473,-0.0,0.1128279569892473
