I_dc_nA,D_s_dc_experimental,D_s_gl,D_s_linear,resistance_proxy_ohm,resonance_freq_proxy_GHz
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.500000000000000000e+03,5.799999999999999822e+00
1.224489799999999962e+00,9.995173680999999988e+01,9.994001280000000520e+01,9.755102041000000668e+01,1.500724297419039431e+03,5.798600198572410491e+00
2.448979589999999984e+00,9.977122061999999403e+01,9.976010238000000641e+01,9.510204081999999914e+01,1.503439559703364239e+03,5.793361598982752270e+00
3.673469390000000168e+00,9.946074713000000145e+01,9.946047672999999634e+01,9.265306121999999789e+01,1.508132648590933513e+03,5.784340527193398529e+00
4.897959179999999968e+00,9.902187532000000658e+01,9.904142285000000356e+01,9.020408163000000457e+01,1.514816796947731063e+03,5.771564680192712515e+00
6.122448979999999708e+00,9.845641967999999622e+01,9.850330381999999929e+01,8.775510203999999703e+01,1.523516704015089545e+03,5.755062083101449844e+00
7.346938780000000335e+00,9.776644627000000298e+01,9.784655779999999936e+01,8.530612245000000371e+01,1.534268716137512456e+03,5.734861160065515939e+00
8.571428570000000136e+00,9.695426874999999711e+01,9.707169700999999407e+01,8.285714285999999618e+01,1.547121152414447124e+03,5.710990807863377761e+00
9.795918370000000763e+00,9.602244632999999396e+01,9.617930773999999872e+01,8.040816327000000285e+01,1.562134747999395358e+03,5.683480530925745455e+00
1.102040816000000056e+01,9.497378175000000056e+01,9.517005029000000604e+01,7.795918367000000160e+01,1.579383249103903381e+03,5.652360584808793220e+00
1.224489795999999942e+01,9.381131727999999725e+01,9.404465894000000503e+01,7.551020407999999406e+01,1.598954202426268466e+03,5.617662070024503684e+00
1.346938776000000004e+01,9.253833265000000097e+01,9.280394191000000603e+01,7.306122449000000074e+01,1.620949888597328254e+03,5.579417093519715820e+00
1.469387754999999984e+01,9.115834110000000123e+01,9.144878131999999482e+01,7.061224489999999321e+01,1.645488478508523258e+03,5.537658886753498599e+00
1.591836735000000047e+01,8.967508639000000414e+01,8.998013312000000496e+01,6.816326530999999989e+01,1.672705386060570845e+03,5.492421966819009960e+00
1.714285714000000027e+01,8.809253877000000443e+01,8.839902698000000214e+01,6.571428570999999863e+01,1.702754876796474264e+03,5.443742282862773507e+00
1.836734694000000090e+01,8.641489101000000517e+01,8.670656626000000244e+01,6.326530611999999820e+01,1.735811944525184572e+03,5.391657383009792248e+00
1.959183673000000070e+01,8.464655340999999567e+01,8.490392789999999934e+01,6.081632652999999777e+01,1.772074514049608979e+03,5.336206570881977918e+00
2.081632653000000133e+01,8.279215086000000667e+01,8.299236236000000133e+01,5.836734693999999735e+01,1.811765951746406927e+03,5.277431150598177467e+00
2.204081632999999840e+01,8.085651697000000127e+01,8.107319350000000213e+01,5.591836734999999692e+01,1.855138034892773476e+03,5.215374608665038103e+00
2.326530612000000175e+01,7.884468821000000105e+01,7.924781846000000485e+01,5.346938775999999649e+01,1.902474388642141321e+03,5.150082825920764051e+00
2.448979591999999883e+01,7.676189804999999922e+01,7.731770758999999771e+01,5.102040816000000234e+01,1.954094463666014008e+03,5.081604323835140491e+00
2.571428570999999863e+01,7.461357116000000644e+01,7.548440436999999292e+01,4.857142857000000191e+01,2.010358138177607088e+03,5.009990552708059042e+00
2.693877550999999926e+01,7.240531769999999767e+01,7.374852547000000413e+01,4.612244898000000148e+01,2.071671042470959492e+03,4.935296229638095333e+00
2.816326530999999989e+01,7.014292663999999888e+01,7.191076076999999600e+01,4.367346939000000106e+01,2.138490752885984875e+03,4.857579697925294759e+00
2.938775509999999969e+01,6.783235928000000570e+01,7.007187331999999458e+01,4.122448980000000063e+01,2.211333964971297519e+03,4.776903354872485075e+00
3.061224490000000031e+01,6.547974279999999681e+01,6.833269927000000621e+01,3.877551019999999937e+01,2.290784807419860499e+03,4.693334153660913444e+00
3.183673469000000011e+01,6.309136199000000289e+01,6.649314782999999807e+01,3.632653060999999894e+01,2.377504546878779365e+03,4.606944125278274349e+00
3.306122449000000074e+01,6.067365090999999921e+01,6.455410134000000255e+01,3.387755101999999852e+01,2.472242855840368975e+03,4.517810992740178833e+00
3.428571429000000137e+01,5.823318559999999877e+01,6.271651520000000346e+01,3.142857143000000164e+01,2.575850839250669196e+03,4.426018937582621326e+00
3.551020408000000117e+01,5.577667380999999835e+01,6.088041782999999896e+01,2.897959184000000121e+01,2.689296255114930318e+03,4.331659389850960551e+00
3.673469388000000180e+01,5.331094596999999879e+01,5.904581877999999762e+01,2.653061223999999996e+01,2.813681079386781676e+03,4.234832018428594580e+00
3.795918367000000160e+01,5.084294514999999848e+01,5.711441065000000350e+01,2.408163264999999953e+01,2.950261822116337498e+03,4.135645868357202382e+00
3.918367347000000223e+01,4.837971824000000254e+01,5.508487616000000031e+01,2.163265305999999910e+01,3.100472790186303428e+03,4.034220769360050696e+00
4.040816327000000285e+01,4.592840824000000310e+01,5.305777909999999764e+01,1.918367346999999867e+01,3.265952506260861355e+03,3.930689065791900028e+00
4.163265306000000265e+01,4.349624356999999719e+01,5.103312355999999994e+01,1.673469387999999825e+01,3.448573662656634951e+03,3.825197555283648576e+00
4.285714286000000328e+01,4.109052863000000144e+01,4.901090770999999791e+01,1.428571428999999959e+01,3.650476277652113367e+03,3.717909873992644165e+00
4.408163265000000308e+01,3.871863645999999903e+01,4.689212476000000152e+01,1.183673469000000011e+01,3.874103370219768294e+03,3.609009463155229636e+00
4.530612244999999660e+01,3.638799852999999729e+01,4.467575996000000060e+01,9.387755099999999686e+00,4.122238267002589964e+03,3.498703003327375605e+00
4.653061224000000351e+01,3.410609457000000333e+01,4.246288158000000124e+01,6.938775510000000146e+00,4.398040933480001513e+03,3.387224559037679050e+00
4.775510203999999703e+01,3.188043854000000010e+01,4.015347288000000248e+01,4.489795919999999718e+00,4.705079568205965188e+03,3.274840381584421145e+00
4.897959183999999766e+01,2.971856767999999960e+01,3.774751014000000282e+01,2.040816330000000178e+00,5.047349576707459164e+03,3.161854861873327316e+00
5.020408162999999746e+01,2.762803166000000132e+01,3.524565167000000088e+01,0.000000000000000000e+00,5.429268427297002745e+03,3.048617695025730434e+00
5.142857142999999809e+01,2.561638178999999838e+01,3.274814983000000268e+01,0.000000000000000000e+00,5.855627903647044150e+03,2.935532461778612046e+00
5.265306121999999789e+01,2.369115946999999878e+01,3.015504706000000112e+01,0.000000000000000000e+00,6.331475679353907253e+03,2.823066780242365681e+00
5.387755101999999852e+01,2.185988680999999900e+01,2.756715703000000062e+01,0.000000000000000000e+00,6.861883654922731694e+03,2.711764356075947902e+00
5.510204081999999914e+01,2.013005842999999828e+01,2.488428641000000141e+01,0.000000000000000000e+00,7.451543199519665905e+03,2.602258952497233491e+00
5.632653060999999894e+01,1.850913232999999991e+01,2.210623591999999960e+01,0.000000000000000000e+00,8.104107600812641977e+03,2.495289986316620023e+00
5.755102040999999957e+01,1.700452091000000010e+01,1.933440021999999914e+01,0.000000000000000000e+00,8.821183542535924062e+03,2.391719221422949460e+00
5.877551019999999937e+01,1.562358509999999967e+01,1.656778521000000026e+01,0.000000000000000000e+00,9.600869393286691775e+03,2.292547497357470210e+00
6.000000000000000000e+01,1.437362461000000025e+01,1.370639180000000046e+01,0.000000000000000000e+00,1.043578109697133732e+04,2.198928675242560082e+00
