n_eff_m^-2,D_s_conv,D_s_geom,D_s_exp_hole,D_s_exp_electron,D_s_exp_avg,ratio_exp_to_conv,ratio_exp_to_geom,hole_electron_asymmetry,resistance_proxy_ohm,resonance_freq_proxy_GHz
5.000000000000000000e+14,1.146423680000000000e+09,4.913244330000000000e+09,3.856043430000000000e+10,3.663241260000000000e+10,3.759642345000000000e+10,3.279452797939414666e+01,7.652056548549459158e+00,5.128205087284705421e-02,6.066104314504947070e+03,2.436106739398140153e+00
5.918367350000000000e+14,1.246965640000000000e+09,5.346281590000000000e+09,4.242658210000000000e+10,4.030525290000000000e+10,4.136591750000000000e+10,3.317326169468470454e+01,7.737324868441881165e+00,5.128205363751450752e-02,5.513326919437964534e+03,2.555314608291603395e+00
6.836734690000000000e+14,1.340397780000000000e+09,5.746277900000000000e+09,4.524232380000000000e+10,4.298020760000000000e+10,4.411126570000000000e+10,3.290908591328761901e+01,7.676493630772712962e+00,5.128205151456354666e-02,5.170194572313077515e+03,2.638747328803112246e+00
7.755102040000000000e+14,1.427821720000000000e+09,6.119235970000000000e+09,4.938085320000000000e+10,4.691180050000000000e+10,4.814632685000000000e+10,3.372012498170990114e+01,7.868029127499065467e+00,5.128226515996411883e-02,4.736889424826392315e+03,2.756795980689916714e+00
8.673469390000000000e+14,1.510026340000000000e+09,6.469685590000000000e+09,5.197040200000000000e+10,4.937188190000000000e+10,5.067114195000000000e+10,3.355646229985630669e+01,7.832087239033821646e+00,5.128205128205128027e-02,4.500862181575523209e+03,2.828156206147443008e+00
9.591836730000000000e+14,1.587609490000000000e+09,6.801040470000000000e+09,5.579564480000000000e+10,5.300586250000000000e+10,5.440075365000000000e+10,3.426582795873814291e+01,7.998886918842287308e+00,5.128205241325733271e-02,4.192291672415093672e+03,2.930390550280509210e+00
1.051020410000000000e+15,1.661033850000000000e+09,7.115996370000000000e+09,5.903413770000000000e+10,5.608243080000000000e+10,5.755828425000000000e+10,3.465208385127129986e+01,8.088576954965478905e+00,5.128205154933887511e-02,3.962311063850031132e+03,3.014234017593990345e+00
1.142857140000000000e+15,1.730665290000000000e+09,7.416699260000000000e+09,6.328913650000000000e+10,6.012467970000000000e+10,6.170690810000000000e+10,3.565502148598589116e+01,8.319995989698522720e+00,5.128205086652202344e-02,3.695920497757041176e+03,3.120972486443074345e+00
1.234693880000000000e+15,1.796799610000000000e+09,7.704855340000000000e+09,6.665347590000000000e+10,6.332080210000000000e+10,6.498713900000000000e+10,3.616827309974760851e+01,8.434569648909203465e+00,5.128205136096235933e-02,3.509368622920913822e+03,3.202851152704607962e+00
1.326530610000000000e+15,1.859679410000000000e+09,7.981823180000000000e+09,7.052800910000000000e+10,6.700160860000000000e+10,6.876480885000000000e+10,3.697670065078582269e+01,8.615175668424166489e+00,5.128205195323538162e-02,3.316577626173391309e+03,3.294626346416129614e+00
