temperature_K,D_s_experimental,D_s_bcs,D_s_nodal,D_s_power_n2,D_s_power_n2_5,D_s_power_n3,resistance_proxy_ohm,resonance_freq_proxy_GHz
0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+03,6.500000000000000000e+00
1.212121210000000060e-02,9.894032162000000596e+01,9.998530718000000661e+01,9.878787878999999350e+01,9.998530718000000661e+01,9.998283379000000082e+01,9.998036041000000296e+01,2.021420556607242588e+03,6.465468728905120699e+00
2.424242420000000120e-02,9.857597785000000101e+01,9.994122991000000411e+01,9.757575758000000121e+01,9.994122991000000411e+01,9.993134105999999406e+01,9.992144337000000576e+01,2.028891869622980494e+03,6.453553334530132801e+00
3.636363640000000313e-02,9.772468544999999551e+01,9.986776969999999665e+01,9.636363636000000099e+01,9.986776969999999665e+01,9.984554287999999644e+01,9.982326299999999719e+01,2.046565809642112526e+03,6.425626786752013153e+00
4.848484849999999680e-02,9.736952286999999728e+01,9.976492951000000176e+01,9.515151514999999449e+01,9.976492951000000176e+01,9.972546524000000545e+01,9.968583737999999528e+01,2.054030810719119927e+03,6.413939773070448602e+00
6.060606059999999740e-02,9.666291526999999917e+01,9.963271376999999518e+01,9.393939394000000220e+01,9.963271376999999518e+01,9.957113905999999304e+01,9.950918857000000628e+01,2.069045811843742285e+03,6.390624515771130554e+00
7.272727269999999800e-02,9.636639458999999874e+01,9.947112834000000703e+01,9.272727272999999570e+01,9.947112834000000703e+01,9.938259922000000302e+01,9.929334260000000256e+01,2.075412293371761280e+03,6.380815129297745081e+00
8.484848479999999860e-02,9.540392185999999697e+01,9.928018052000000182e+01,9.151515152000000342e+01,9.928018052000000182e+01,9.915988455999999474e+01,9.893832946000000561e+01,2.096349878503831405e+03,6.348870528357780429e+00
9.696969699999999359e-02,9.515399770000000501e+01,9.905987899999999513e+01,9.030303030000000319e+01,9.905987899999999513e+01,9.890303787000000568e+01,9.854418212999999582e+01,2.101855989598637734e+03,6.340549189798151630e+00
1.090909089999999998e-01,9.457751098999999328e+01,9.881023394999999709e+01,8.909090908999999670e+01,9.881023394999999709e+01,9.861210592000000474e+01,9.811093760999999347e+01,2.114667619251966698e+03,6.321313027629227754e+00
1.212121210000000060e-01,9.422146800999999527e+01,9.853125690000000247e+01,8.787878788000000441e+01,9.853125690000000247e+01,9.828713946000000590e+01,9.763863689999999451e+01,2.122658500489224025e+03,6.309403318399054328e+00
1.333333329999999983e-01,9.345740784000000190e+01,9.822296079000000191e+01,8.666666666999999791e+01,9.822296079000000191e+01,9.792819321000000343e+01,9.712732499999999902e+01,2.140012275350092750e+03,6.283769156517448273e+00
1.454545449999999907e-01,9.314750558000000069e+01,9.788535996999999611e+01,8.545454544999999769e+01,9.788535996999999611e+01,9.753532588000000203e+01,9.657705092999999863e+01,2.147132107882689525e+03,6.273342100312241598e+00
1.575757580000000102e-01,9.261417989000000262e+01,9.751847012999999720e+01,8.424242424000000540e+01,9.751847012999999720e+01,9.710860017000000255e+01,9.598786771999999701e+01,2.159496528906746335e+03,6.255356984499365502e+00
1.696969700000000025e-01,9.234313953999999569e+01,9.712230838000000688e+01,8.303030302999999890e+01,9.712230838000000688e+01,9.664808279000000368e+01,9.535983240999999566e+01,2.165834960737571691e+03,6.246196959402577242e+00
1.818181819999999949e-01,9.185865717999999447e+01,9.669689318000000355e+01,8.181818182000000661e+01,9.669689318000000355e+01,9.615384444999999403e+01,9.469300606000000187e+01,2.177258041211005093e+03,6.229789936952127682e+00
1.939393939999999872e-01,9.149565868000000535e+01,9.624224440999999786e+01,8.060606061000000011e+01,9.624224440999999786e+01,9.562595987999999636e+01,9.398745377000000190e+01,2.185896062014119707e+03,6.217468600025254588e+00
2.060606060000000073e-01,9.108263488999999424e+01,9.575838331999999298e+01,7.939393938999999989e+01,9.575838331999999298e+01,9.506450786000000619e+01,9.324324466000000200e+01,2.195808237668342827e+03,6.203419479692228400e+00
2.181818179999999996e-01,9.078469486000000188e+01,9.524533250999999723e+01,7.818181817999999339e+01,9.524533250999999723e+01,9.446957120000000430e+01,9.246045186999999999e+01,2.203014509311531128e+03,6.193265179075573279e+00
2.303030299999999919e-01,9.039393719000000260e+01,9.470311596000000520e+01,7.696969697000000110e+01,9.470311596000000520e+01,9.384123676000000103e+01,9.163915258999999480e+01,2.212537767656007873e+03,6.179922205236486832e+00
2.424242420000000120e-01,9.001484881999999743e+01,9.413175900000000240e+01,7.575757575999999460e+01,9.413175900000000240e+01,9.317959548999999697e+01,9.077942801999999745e+01,2.221855645171765445e+03,6.166950107342364262e+00
