n_eff_m^-2,D_s_conv,D_s_geom,D_s_exp_hole,D_s_exp_electron,enhancement_hole_vs_conv,enhancement_electron_vs_conv,enhancement_hole_vs_geom,enhancement_electron_vs_geom,hole_electron_ratio
500000000000000.0,1146423680.0,4913244330.0,38560434300.0,36632412600.0,33.635413305489294,31.953642653298996,7.848263125151767,7.455849971947151,1.0526315785163438
591836735000000.0,1246965640.0,5346281590.0,42426582100.0,40305252900.0,34.02385818746377,32.32266520190564,7.935717822899036,7.538931913984725,1.0526315814284346
683673469000000.0,1340397780.0,5746277900.0,45242323800.0,42980207600.0,33.752908632838825,32.06526319373641,7.873326801684965,7.47966045986046,1.0526315791922791
775510204000000.0,1427821720.0,6119235970.0,49380853200.0,46911800500.0,34.58474717697949,32.85550278644031,8.06977430550043,7.666283949497702,1.0526318042301532
867346939000000.0,1510026340.0,6469685590.0,51970402000.0,49371881900.0,34.416884410109034,32.69604018960358,8.032909988752637,7.631264489315005,1.0526315789473684
959183673000000.0,1587609490.0,6801040470.0,55795644800.0,53005862500.0,35.14443895141997,33.38721696605631,8.203986587952182,7.793787249732393,1.052631580138895
1051020410000000.0,1661033850.0,7115996370.0,59034137700.0,56082430800.0,35.540598826447756,33.76356887609485,8.295976365148146,7.881177544782812,1.052631579228909
1142857140000000.0,1730665290.0,7416699260.0,63289136500.0,60124679700.0,36.56925279873152,34.740790173240256,8.533329218475012,8.106662760922033,1.0526315785096814
1234693880000000.0,1796799610.0,7704855340.0,66653475900.0,63320802100.0,37.0956647191169,35.24088148037833,8.650840665880692,8.218298631937715,1.0526315790304874
1326530610000000.0,1859679410.0,7981823180.0,70528009100.0,67001608600.0,37.92482119270224,36.02858010886941,8.836077611531355,8.394273725316976,1.0526315796543428
1418367350000000.0,1919504260.0,8248661410.0,73896121100.0,70201315000.0,38.49750304800053,36.57262787215695,8.95855914396176,8.510631181308241,1.0526315796221195
1510204080000000.0,1976439910.0,8506185460.0,78618366300.0,74687448000.0,39.77776703567982,37.78887869148524,9.242493791100577,8.78036910330897,1.052631578735961
1602040820000000.0,2030624130.0,8755031980.0,81473180000.0,77399521000.0,40.12223571872949,38.116123932793016,9.305868920423977,8.84057547440278,1.0526315789473684
1693877550000000.0,2082171480.0,8995692580.0,85970919700.0,81672373700.0,41.28906793978371,39.224614535590504,9.556898363905628,9.079053444042883,1.0526315791406955
1785714290000000.0,2131177270.0,9228547930.0,89416655200.0,84945822400.0,41.956460618595095,39.85863756889637,9.689135915881838,9.20467911575337,1.0526315794430403
1877551020000000.0,2177720570.0,9453887900.0,94249295000.0,89536820300.0,43.27887438745183,41.114926099081664,9.96936879270591,9.470899300593569,1.052631695923649
1969387760000000.0,2221866330.0,9671926980.0,97690438600.0,92805916700.0,43.967738869331534,41.76935193936712,10.100411097189653,9.59539054543193,1.0526315786070997
2061224490000000.0,2263667300.0,9882814860.0,102049782000.0,96947294300.0,45.08161689661727,42.82753667025185,10.325983380811811,9.809684353431265,1.0526315637464883
2153061220000000.0,2303165900.0,10086648200.0,106107094000.0,100801739000.0,46.07010463293157,43.7665992710295,10.51955931208149,9.993581316735128,1.0526315820801464
2244897960000000.0,2340395890.0,10283112200.0,110086450000.0,104582127000.0,47.03753346618635,44.68565657923797,10.705557603465612,10.17027967466892,1.052631583979928
2336734690000000.0,2375383760.0,10472364600.0,114387728000.0,108668342000.0,48.15547278137491,45.747699310700014,10.922817565003418,10.376676724949014,1.0526315750727107
2428571430000000.0,2408150000.0,10654643500.0,118191820000.0,112282229000.0,49.0799244233125,46.62592820214687,11.092986827762,10.5383374863739,1.0526315789473684
2520408160000000.0,2438710160.0,10830185000.0,122351351000.0,116233784000.0,50.1705175985325,47.661991944134925,11.297254017359814,10.732391367275813,1.052631573966481
2612244900000000.0,2467075820.0,10999222500.0,126525799000.0,120199509000.0,51.28573592034962,48.721449104065236,11.503158427788874,10.928000501853655,1.052631579385237
2704081630000000.0,2493255360.0,11161985700.0,130167348000.0,123658981000.0,52.20778829489812,49.59739904058604,11.661665898747748,11.078582639646278,1.0526315755424185
2795918370000000.0,2517254660.0,11318700400.0,134355941000.0,127638144000.0,53.373996336151386,50.70529653920673,11.870262154831838,11.276749051507716,1.0526315785350184
2887755100000000.0,2539077650.0,11469587500.0,137852551000.0,130959923000.0,54.29237305916973,51.57775422898153,12.018963280065652,11.418015076828176,1.052631582564385
2979591840000000.0,2558726780.0,11614863000.0,142465133000.0,135341876000.0,55.678134185159074,52.89422733911434,12.265760947847598,11.652472870321414,1.0526315816695195
3071428570000000.0,2576203480.0,11754737500.0,145881941000.0,138587844000.0,56.62671529346743,53.795379548202455,12.410480540292797,11.789956517531762,1.052631578567598
3163265310000000.0,2592508470.0,11889415900.0,150437589000.0,142915709000.0,58.027810030645725,55.1264193169637,12.653068095632856,12.020414644591582,1.0526315829983393
3255102040000000.0,2607642110.0,12019097500.0,154495487000.0,146750713000.0,59.24719746146452,56.27716795845117,12.8541670454042,12.209794703803675,1.0527750348988083
3346938780000000.0,2621604640.0,12143976300.0,158821246000.0,150880184000.0,60.58169244009272,57.552607932521816,13.078191366364903,12.424281822750263,1.0526315768543866
3438775510000000.0,2634396400.0,12264240600.0,163023454000.0,154872282000.0,61.88265896506691,58.788526282529084,13.29258445891872,12.62795529304929,1.0526315741896282
3530612240000000.0,2646018000.0,12380073500.0,167471364000.0,159097796000.0,63.29184608721483,60.12725385843936,13.527493516092614,12.851118856442977,1.0526315776241175
3622448980000000.0,2656470440.0,12491652500.0,171755524000.0,163167748000.0,64.6555374431345,61.42276064626565,13.74962391885301,13.062142738921052,1.0526315776571238
3714285710000000.0,2665755220.0,12599150400.0,175901845000.0,167106753000.0,65.98574530785314,62.68645813624253,13.961405286502494,13.263335042019976,1.0526315773725794
3806122450000000.0,2673874350.0,12702734600.0,180239352000.0,171247384000.0,67.40756236357927,64.04466387883933,14.189019740678514,13.481143186286833,1.05250864445322
3897959180000000.0,2680830380.0,12802567900.0,184604118000.0,175373912000.0,68.86079752647387,65.4177576128483,14.419303958544129,13.69833875280599,1.0526315795475898
3989795920000000.0,2686626400.0,12898808000.0,188613997000.0,179183298000.0,70.2047731683125,66.69453482627878,14.622591250292276,13.891461753675223,1.0526315739539518
4081632650000000.0,2691266010.0,12991607900.0,192878937000.0,183234991000.0,71.66847732008476,68.08505376991701,14.846425360482131,14.104104157884876,1.0526315740643664
4173469390000000.0,2694753310.0,13081116000.0,196996621000.0,187146790000.0,73.10376807738294,69.44857969206836,15.059618842918296,14.306637904594684,1.0526315786661369
4265306120000000.0,2697092890.0,13167476100.0,201188574000.0,191129146000.0,74.59460322851542,70.86487332662836,15.279205557092297,14.51524533239897,1.052631575092163
4357142860000000.0,2698289810.0,13250827600.0,205285732000.0,195021445000.0,76.07994190957568,72.27594466585485,15.492295137852372,14.717680350772959,1.0526315811063753
4448979590000000.0,2698349570.0,13331305400.0,209374636000.0,198905904000.0,77.5935921452905,73.7139124639066,15.705486425957956,14.920212089657776,1.0526315800057902
4540816330000000.0,2697278100.0,13409040400.0,213632989000.0,202951340000.0,79.20317485987077,75.24301628371208,15.932011734411658,15.135411181250523,1.0526315766133891
4632653060000000.0,2695081740.0,13484159300.0,217696229000.0,206811417000.0,80.77537158483364,76.73660280151651,16.144590415807382,15.337360854228413,1.052631581746766
4724489800000000.0,2691767220.0,13556784700.0,221767737000.0,210679350000.0,82.38741275703624,78.26804206345896,16.358431730497276,15.540510132907842,1.0526315796968235
4816326530000000.0,2687341650.0,13627035600.0,225876875000.0,214583031000.0,84.052161733883,79.84955355416011,16.57564283460153,15.746860674525573,1.0526315801737371
4908163270000000.0,2681812480.0,13695026800.0,229888452000.0,218394030000.0,85.72129994711636,81.43523517348983,16.7862725175536,15.946958935487443,1.0526315760554443
5000000000000000.0,2675187470.0,13760869700.0,233911617000.0,222216036000.0,87.43746732635526,83.06559390396666,16.99831639274951,16.14840056221156,1.0526315796579144
