I_dc_nA,D_s_gl,D_s_linear,D_s_dc_exp
0.0,100.0,100.0,100.0
1.2244898,99.9400128,97.55102041,99.95173681
2.44897959,99.76010238,95.10204082,99.77122062
3.67346939,99.46047673,92.65306122,99.46074713
4.89795918,99.04142285,90.20408163,99.02187532
6.12244898,98.50330382,87.75510204,98.45641968
7.34693878,97.8465578,85.30612245,97.76644627
8.57142857,97.07169701,82.85714286,96.95426875
9.79591837,96.17930774,80.40816327,96.02244633
11.02040816,95.17005029,77.95918367,94.97378175
12.24489796,94.04465894,75.51020408,93.81131728
13.46938776,92.80394191,73.06122449,92.53833265
14.69387755,91.44878132,70.6122449,91.1583411
15.91836735,89.98013312,68.16326531,89.67508639
17.14285714,88.39902698,65.71428571,88.09253877
18.36734694,86.70656626,63.26530612,86.41489101
19.59183673,84.9039279,60.81632653,84.64655341
20.81632653,82.99236236,58.36734694,82.79215086
22.04081633,81.0731935,55.91836735,80.85651697
23.26530612,79.24781846,53.46938776,78.84468821
24.48979592,77.31770759,51.02040816,76.76189805
25.71428571,75.48440437,48.57142857,74.61357116
26.93877551,73.74852547,46.12244898,72.4053177
28.16326531,71.91076077,43.67346939,70.14292664
29.3877551,70.07187332,41.2244898,67.83235928
30.6122449,68.33269927,38.7755102,65.4797428
31.83673469,66.49314783,36.32653061,63.09136199
33.06122449,64.55410134,33.87755102,60.67365091
34.28571429,62.7165152,31.42857143,58.2331856
35.51020408,60.88041783,28.97959184,55.77667381
36.73469388,59.04581878,26.53061224,53.31094597
37.95918367,57.11441065,24.08163265,50.84294515
39.18367347,55.08487616,21.63265306,48.37971824
40.40816327,53.0577791,19.18367347,45.92840824
41.63265306,51.03312356,16.73469388,43.49624357
42.85714286,49.01090771,14.28571429,41.09052863
44.08163265,46.89212476,11.83673469,38.71863646
45.30612245,44.67575996,9.3877551,36.38799853
46.53061224,42.46288158,6.93877551,34.10609457
47.75510204,40.15347288,4.48979592,31.88043854
48.97959184,37.74751014,2.04081633,29.71856768
50.20408163,35.24565167,0.0,27.62803166
51.42857143,32.74814983,0.0,25.61638179
52.65306122,30.15504706,0.0,23.69115947
53.87755102,27.56715703,0.0,21.85988681
55.10204082,24.88428641,0.0,20.13005843
56.32653061,22.10623592,0.0,18.50913233
57.55102041,19.33440022,0.0,17.00452091
58.7755102,16.56778521,0.0,15.6235851
60.0,13.7063918,0.0,14.37362461
