P_mw_norm,I_mw_amplitude_nA,D_s_mw_exp
0.0,0.0,100.0
0.02040816,2.85773803,99.96555237
0.04081633,4.04081633,99.88725513
0.06122449,4.94974747,99.78282278
0.08163265,5.71447606,99.64829843
0.10204082,6.38806117,99.49441822
0.12244898,7.0,99.3222791
0.14285714,7.56497728,99.13731067
0.16326531,8.09284713,98.94242671
0.18367347,8.59016994,98.73958297
0.20408163,9.06166058,98.52974471
0.2244898,9.51103601,98.31369853
0.24489796,9.94123006,98.09203829
0.26530612,10.35460675,97.86518943
0.28571429,10.75309989,97.63344443
0.30612245,11.13831958,97.39699898
0.32653061,11.51164078,97.15597213
0.34693878,11.8742578,96.91043373
0.36734694,12.22721636,96.66041868
0.3877551,12.57142857,96.40594036
0.40816327,12.90769231,96.14700201
0.42857143,13.23671495,95.88360233
0.44897959,13.55912678,95.61573949
0.46938776,13.87549008,95.34341343
0.48979592,14.18630837,95.06662679
0.51020408,14.4920399,94.78538512
0.53061224,14.79310345,94.4996971
0.55102041,15.08988542,94.20957473
0.57142857,15.3827453,93.91503335
0.59183673,15.67201931,93.61609178
0.6122449,15.95802331,93.3127724
0.63265306,16.24105541,93.00510117
0.65306122,16.52139866,92.69310771
0.67346939,16.79932309,92.37682529
0.69387755,17.07508725,92.05629079
0.71428571,17.34893957,91.73154466
0.73469388,17.62112057,91.40263086
0.75510204,17.89186305,91.06959681
0.7755102,18.16139318,90.73249335
0.79591837,18.42993055,90.39137467
0.81632653,18.69768922,90.04629821
0.83673469,18.96487772,89.69732458
0.85714286,19.23170001,89.34451744
0.87755102,19.49835537,88.98794346
0.89795918,19.76503831,88.62767222
0.91836735,20.03193944,88.26377613
0.93877551,20.29924533,87.89633036
0.95918367,20.56713933,87.52541277
0.97959184,20.83580146,87.15110388
1.0,21.1054086,86.77348682
