T_K,D_s_bcs,D_s_nodal,D_s_power_n2,D_s_power_n2_5,D_s_power_n3,D_s_experimental
0.0,100.0,100.0,100.0,100.0,100.0,100.0
0.0121212121,99.98530718,98.78787879,99.98530718,99.98283379,99.98036041,98.94032162
0.0242424242,99.94122991,97.57575758,99.94122991,99.93134106,99.92144337,98.57597785
0.0363636364,99.8677697,96.36363636,99.8677697,99.84554288,99.823263,97.72468545
0.0484848485,99.76492951,95.15151515,99.76492951,99.72546524,99.68583738,97.36952287
0.0606060606,99.63271377,93.93939394,99.63271377,99.57113906,99.50918857,96.66291527
0.0727272727,99.47112834,92.72727273,99.47112834,99.38259922,99.2933426,96.36639459
0.0848484848,99.28018052,91.51515152,99.28018052,99.15988456,98.93832946,95.40392186
0.096969697,99.059879,90.3030303,99.059879,98.90303787,98.54418213,95.1539977
0.109090909,98.81023395,89.09090909,98.81023395,98.61210592,98.11093761,94.57751099
0.121212121,98.5312569,87.87878788,98.5312569,98.28713946,97.6386369,94.22146801
0.133333333,98.22296079,86.66666667,98.22296079,97.92819321,97.127325,93.45740784
0.145454545,97.88535997,85.45454545,97.88535997,97.53532588,96.57705093,93.14750558
0.157575758,97.51847013,84.24242424,97.51847013,97.10860017,95.98786772,92.61417989
0.16969697,97.12230838,83.03030303,97.12230838,96.64808279,95.35983241,92.34313954
0.181818182,96.69689318,81.81818182,96.69689318,96.15384445,94.69300606,91.85865718
0.193939394,96.24224441,80.60606061,96.24224441,95.62595988,93.98745377,91.49565868
0.206060606,95.75838332,79.39393939,95.75838332,95.06450786,93.24324466,91.08263489
0.218181818,95.24533251,78.18181818,95.24533251,94.4695712,92.46045187,90.78469486
0.23030303,94.70311596,76.96969697,94.70311596,93.84123676,91.63915259,90.39393719
0.242424242,94.131759,75.75757576,94.131759,93.17959549,90.77942802,90.01484882
0.254545455,93.53128831,74.54545455,93.53128831,92.48474239,89.88136342,89.56667679
0.266666667,92.90173192,73.33333333,92.90173192,91.75677653,88.94504806,89.23636571
0.278787879,92.24311919,72.12121212,92.24311919,90.99580108,87.97057526,88.85388943
0.290909091,91.55548082,70.90909091,91.55548082,90.20192332,86.95804237,88.48261692
0.303030303,90.83884886,69.6969697,90.83884886,89.37525462,85.9075508,88.06065508
0.315151515,90.09325669,68.48484848,90.09325669,88.51591047,84.81920601,87.7216227
0.327272727,89.31873903,67.27272727,89.31873903,87.62401048,83.69311754,87.32940267
