N,d,r,f_xeb,f_xeb_std,nsamples
40,10,10,-1.1102230246251565e-16,0.19017226872656917,20
40,10,11,-3.3306690738754696e-16,0.21297704619768562,20
40,10,12,2.220446049250313e-16,0.16402607871508065,20
40,10,13,0.0,0.262502589933652,20
40,10,14,0.0,0.2200619168697302,20
40,10,15,-2.220446049250313e-16,0.1693554247124805,20
40,10,16,2.220446049250313e-16,0.17467715678471263,20
40,10,17,2.220446049250313e-16,0.1397639558087883,20
40,10,18,0.0,0.17244734127272096,20
40,10,19,-1.1102230246251565e-16,0.2925521307024713,20
40,10,1,0.0,0.2815881672052262,20
40,10,20,0.0,0.17127154091246546,20
40,10,21,0.0,0.2549911425463376,20
40,10,22,0.0,0.23177158641797868,20
40,10,23,-1.1102230246251565e-16,0.15136969707741302,20
40,10,24,2.220446049250313e-16,0.2065267426625871,20
40,10,25,0.0,0.15124455239890724,20
40,10,26,0.0,0.26878847000053724,20
40,10,27,0.0,0.3202619934499344,20
40,10,28,0.0,0.1441671617837865,20
40,10,29,0.0,0.28225094122331,20
40,10,2,-1.1102230246251565e-16,0.21317544068184457,20
40,10,30,0.0,0.23462284057727983,20
40,10,31,2.220446049250313e-16,0.16312393452052945,20
40,10,32,-1.1102230246251565e-16,0.2216621385881374,20
40,10,33,-1.1102230246251565e-16,0.11131690583965462,20
40,10,34,-1.1102230246251565e-16,0.22578810603502766,20
40,10,35,-1.1102230246251565e-16,0.2449371265028451,20
40,10,36,-1.1102230246251565e-16,0.20057669305520814,20
40,10,37,-1.1102230246251565e-16,0.2864896140430117,20
40,10,38,0.0,0.23536281029601516,20
40,10,39,0.0,0.12616327722087392,20
40,10,3,-1.1102230246251565e-16,0.17673627459841162,20
40,10,40,2.220446049250313e-16,0.20696602121966476,20
40,10,41,0.0,0.23088363349142846,20
40,10,42,-1.1102230246251565e-16,0.17973158624947388,20
40,10,43,0.0,0.2230579070836207,20
40,10,44,-2.220446049250313e-16,0.24650950121532236,20
40,10,45,0.0,0.16078314373559618,20
40,10,46,0.0,0.2089865304217712,20
40,10,47,2.220446049250313e-16,0.15414991649431373,20
40,10,48,-1.1102230246251565e-16,0.1476920874330852,20
40,10,49,-1.1102230246251565e-16,0.12682949915668493,20
40,10,4,0.0,0.1670686725612607,20
40,10,50,-3.3306690738754696e-16,0.13326189707905736,20
40,10,5,2.220446049250313e-16,0.20230250038231407,20
40,10,6,0.0,0.18869223867716722,20
40,10,7,0.0,0.12128768192596956,20
40,10,8,-1.1102230246251565e-16,0.28945471694327674,20
40,10,9,-1.1102230246251565e-16,0.20649933826406558,20
40,12,10,0.0,0.2200999626967888,20
40,12,11,0.0,0.12807337456578136,20
40,12,12,0.0,0.2352950563614672,20
40,12,13,0.0,0.19278845508312806,20
40,12,14,0.0,0.20929070716415796,20
