protocol,metric,N,d,num_instances,mean,std,sem,min_value,max_value
XEB,xeb_fidelity,16,12,50,0.7996194809368217,0.3197196599145104,0.04521518792084142,0.05198542430440993,1.4410118468811164
XEB,xeb_fidelity,24,12,50,0.66328428858555,0.2899451427995157,0.04100443532912788,0.06295044787099449,1.7596604369518178
XEB,xeb_fidelity,32,12,50,0.5644693601236068,0.31398988445373,0.0444048753042426,0.026455053689461067,1.3588350064777541
XEB,xeb_fidelity,40,8,50,0.6317206938771033,0.3448092935584837,0.04876339793826935,-0.20238658504805374,1.4198548036449155
XEB,xeb_fidelity,40,10,50,0.45022974436541163,0.3223226212967154,0.04558330224974619,-0.07578474682702281,1.6770076080299674
XEB,xeb_fidelity,40,12,50,0.4260097944481408,0.275994134401934,0.03903146480066378,-0.07895782179008193,1.183169538781143
XEB,xeb_fidelity,40,14,50,0.39718262457389225,0.25997644873185166,0.036766221969417825,-0.1278154325552334,0.9922154394616518
XEB,xeb_fidelity,40,16,50,0.3680538667471604,0.277164325647347,0.039196954833647116,-0.20298389684150733,1.251598887728943
XEB,xeb_fidelity,40,18,50,0.2661268834768434,0.29159297053283834,0.04123747336201982,-0.3759339525970561,0.8103805469133223
XEB,xeb_fidelity,40,20,50,0.30199973467493413,0.3363201847692581,0.04756285666005101,-0.2917449248889164,1.4843596299321697
MB,ideal_success_prob,16,12,50,0.7839999999999999,0.07853245786791288,0.011106166700329607,0.6,1.0
MB,ideal_success_prob,24,12,50,0.6500000000000001,0.10546302185881001,0.01491472358415793,0.35,0.85
MB,ideal_success_prob,32,12,50,0.5760000000000001,0.1258603048086672,0.01779933500248288,0.25,0.85
MB,ideal_success_prob,40,8,50,0.6,0.13702375780893483,0.019378085666072194,0.25,0.85
MB,ideal_success_prob,40,10,50,0.518,0.09781281582070679,0.013832821070754517,0.35,0.8
MB,ideal_success_prob,40,12,50,0.5010000000000001,0.09285164818907939,0.013131206015769128,0.3,0.7
MB,ideal_success_prob,40,14,50,0.374,0.1242282297274838,0.01756852473102081,0.15,0.65
MB,ideal_success_prob,40,16,50,0.305,0.12132348393902163,0.017157731642091875,0.05,0.6
MB,ideal_success_prob,40,18,50,0.28900000000000003,0.11836039740330964,0.016738687925562976,0.05,0.6
MB,ideal_success_prob,40,20,50,0.261,0.11261728580117926,0.01592648929376747,0.05,0.55
MB,ideal_success_prob,48,12,50,0.41300000000000003,0.1395364044372124,0.01973342755998831,0.15,0.7
MB,ideal_success_prob,56,8,50,0.4890000000000001,0.10166471504762253,0.014377561883514385,0.25,0.7
MB,ideal_success_prob,56,10,50,0.409,0.12963449402383737,0.018333085959988473,0.1,0.6
MB,ideal_success_prob,56,12,50,0.387,0.10585415457513385,0.01497003810336923,0.1,0.6
MB,ideal_success_prob,56,14,50,0.28700000000000003,0.10242468611878006,0.014485038023098603,0.1,0.65
MB,ideal_success_prob,56,16,50,0.248,0.10640699685449186,0.015048221808301364,0.05,0.5
MB,ideal_success_prob,56,18,50,0.206,0.08727156771029293,0.012342063466545813,0.0,0.4
MB,ideal_success_prob,56,20,50,0.172,0.08461195939977627,0.011965938052212528,0.0,0.4
MB,ideal_success_prob,56,24,50,0.12080000000000002,0.037079066100121,0.0052437718158919585,0.06,0.21
