N,d,r,total_shots,unique_bitstrings,ideal_success_count,ideal_success_prob,ideal_success_std_error,wilson_low,wilson_high,counts_path,ideal_path,ideal_bitstring
16,12,1,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r1_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r1_MB_ideal_bitstring.json,0010011110111010
16,12,2,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r2_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r2_MB_ideal_bitstring.json,1001110011010001
16,12,3,20,1,20,1.0,0.0,0.9523809523809522,0.9999999999999999,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r3_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r3_MB_ideal_bitstring.json,1100011101010001
16,12,4,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r4_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r4_MB_ideal_bitstring.json,1111111010101110
16,12,5,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r5_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r5_MB_ideal_bitstring.json,1000010100101010
16,12,6,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r6_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r6_MB_ideal_bitstring.json,1011010010101000
16,12,7,20,4,17,0.85,0.07984359711335656,0.7536514260443736,0.9130152406222929,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r7_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r7_MB_ideal_bitstring.json,1111100110010000
16,12,8,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r8_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r8_MB_ideal_bitstring.json,0001100000011011
16,12,9,20,9,12,0.6,0.10954451150103323,0.4882275949797894,0.7022485954964011,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r9_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r9_MB_ideal_bitstring.json,1000100011110000
16,12,10,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r10_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r10_MB_ideal_bitstring.json,1001001111110111
16,12,11,20,6,15,0.75,0.09682458365518543,0.6428571428571429,0.8333333333333334,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r11_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r11_MB_ideal_bitstring.json,1000111101000111
16,12,12,20,5,16,0.8,0.08944271909999157,0.6972658303761585,0.8741627410524129,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r12_MB_counts.json,data/results/N_scan_depth12/N16_d12_MB/N16_d12_r12_MB_ideal_bitstring.json,0011001101111000
