protocol,N,d,r,missing,counts_path,aux_path
XEB,48,12,1,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r1_XEB_counts.json,
XEB,48,12,2,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r2_XEB_counts.json,
XEB,48,12,3,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r3_XEB_counts.json,
XEB,48,12,4,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r4_XEB_counts.json,
XEB,48,12,5,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r5_XEB_counts.json,
XEB,48,12,6,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r6_XEB_counts.json,
XEB,48,12,7,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r7_XEB_counts.json,
XEB,48,12,8,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r8_XEB_counts.json,
XEB,48,12,9,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r9_XEB_counts.json,
XEB,48,12,10,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r10_XEB_counts.json,
XEB,48,12,11,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r11_XEB_counts.json,
XEB,48,12,12,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r12_XEB_counts.json,
XEB,48,12,13,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r13_XEB_counts.json,
XEB,48,12,14,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r14_XEB_counts.json,
XEB,48,12,15,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r15_XEB_counts.json,
XEB,48,12,16,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r16_XEB_counts.json,
XEB,48,12,17,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r17_XEB_counts.json,
XEB,48,12,18,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r18_XEB_counts.json,
XEB,48,12,19,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r19_XEB_counts.json,
XEB,48,12,20,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r20_XEB_counts.json,
XEB,48,12,21,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r21_XEB_counts.json,
XEB,48,12,22,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r22_XEB_counts.json,
XEB,48,12,23,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r23_XEB_counts.json,
XEB,48,12,24,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r24_XEB_counts.json,
XEB,48,12,25,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r25_XEB_counts.json,
XEB,48,12,26,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r26_XEB_counts.json,
XEB,48,12,27,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r27_XEB_counts.json,
XEB,48,12,28,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r28_XEB_counts.json,
XEB,48,12,29,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r29_XEB_counts.json,
XEB,48,12,30,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r30_XEB_counts.json,
XEB,48,12,31,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r31_XEB_counts.json,
XEB,48,12,32,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r32_XEB_counts.json,
XEB,48,12,33,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r33_XEB_counts.json,
XEB,48,12,34,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r34_XEB_counts.json,
XEB,48,12,35,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r35_XEB_counts.json,
XEB,48,12,36,amplitudes,data/results/N_scan_depth12/N48_d12_XEB/N48_d12_r36_XEB_counts.json,
