N,d,r,total_shots,matched_shots,unique_bitstrings,matched_unique_bitstrings,mean_ideal_prob,xeb_fidelity,xeb_std_error,xeb_sample_std,min_ideal_prob,max_ideal_prob,counts_path,amplitudes_path
16,12,1,20,20,20,20,2.320337071852643e-05,0.5206561034093485,0.21826361540718975,0.9761045621306935,3.7819797435122575e-07,6.450439942953404e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r1_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r1_XEB_amplitudes.json
16,12,2,20,20,20,20,2.8170759718767503e-05,0.8461989089291473,0.28064110112751317,1.2550651588030248,7.694314066822795e-06,8.956618541901731e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r2_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r2_XEB_amplitudes.json
16,12,3,20,20,20,20,3.2234379750240067e-05,1.112512311311733,0.3097115882481178,1.385072329484433,2.021561250142037e-06,8.254427185784433e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r3_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r3_XEB_amplitudes.json
16,12,4,20,20,20,20,2.561389827532477e-05,0.6786324373716843,0.3356814167018291,1.5012129330574464,3.867479326435991e-07,9.837686793383772e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r4_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r4_XEB_amplitudes.json
16,12,5,20,20,20,20,2.094194519304935e-05,0.3724513201716819,0.26123758296007993,1.1682899875529589,1.8571410802739435e-07,6.406401971924855e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r5_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r5_XEB_amplitudes.json
16,12,6,20,20,20,20,2.2878833255507237e-05,0.49938721623292237,0.23276571951355854,1.0409599433279324,1.2217483182450863e-06,5.462613969569073e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r6_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r6_XEB_amplitudes.json
16,12,7,20,20,20,20,3.4685923183433444e-05,1.2731766617494942,0.28910442179493934,1.2929142794585122,5.961075014583755e-06,8.061259902655982e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r7_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r7_XEB_amplitudes.json
16,12,8,20,20,20,20,3.724688487062251e-05,1.4410118468811164,0.49580304407037623,2.2172986199853706,3.890342277513616e-06,0.00013913248314276883,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r8_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r8_XEB_amplitudes.json
16,12,9,20,20,20,20,2.5145072326340105e-05,0.6479074599790254,0.21313424949672713,0.9531653404161644,1.69387745266214e-06,5.138566894298549e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r9_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r9_XEB_amplitudes.json
16,12,10,20,20,20,20,2.963452514399962e-05,0.942128239837159,0.2829021076892495,1.2651766875422557,8.07489384026521e-07,6.135319573751382e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r10_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r10_XEB_amplitudes.json
16,12,11,20,20,20,20,3.1179767868658334e-05,1.0433972670403924,0.2845533764822335,1.2725613860827283,7.412351860012425e-06,6.68942144087071e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r11_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r11_XEB_amplitudes.json
16,12,12,20,20,20,20,3.152514654714425e-05,1.0660320041136464,0.4175246554712172,1.8672270238316424,4.635058693191295e-06,0.00012550040539883347,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r12_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r12_XEB_amplitudes.json
16,12,13,20,20,20,20,3.120653133053538e-05,1.0451512372779663,0.3302951629986844,1.4771248742088632,6.5478921236178715e-06,8.406516978502216e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r13_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r13_XEB_amplitudes.json
16,12,14,20,20,20,20,2.4701023674458698e-05,0.6188062875293255,0.3121350142833552,1.3959102201909002,4.15264978921829e-07,8.026659420946135e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r14_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r14_XEB_amplitudes.json
16,12,15,20,20,20,20,2.9579073701882307e-05,0.9384941741265592,0.47010398430336864,2.102368930791653,8.120520002360649e-07,0.00014571178020906814,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r15_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r15_XEB_amplitudes.json
16,12,16,20,20,20,20,2.939747464926869e-05,0.9265928986144727,0.4332229493132523,1.9374319281547558,1.8120120225130432e-06,0.00014173821035998104,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r16_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r16_XEB_amplitudes.json
16,12,17,20,20,20,20,3.115529064803343e-05,1.0417931279095185,0.23694580079394825,1.059653835116784,5.634352171582698e-06,6.056608525485701e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r17_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r17_XEB_amplitudes.json
16,12,18,20,20,20,20,2.2945881736994512e-05,0.5037813055156721,0.327537950291002,1.464794244123255,1.1588086172389804e-06,8.951505280321595e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r18_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r18_XEB_amplitudes.json
16,12,19,20,20,20,20,2.2256916985785283e-05,0.4586293115804243,0.2202564093440267,0.9850166075465272,5.0351155938041794e-06,5.899049823980845e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r19_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r19_XEB_amplitudes.json
16,12,20,20,20,20,20,2.2656141318046842e-05,0.4847928774195177,0.2264287058142793,1.0126199565160607,1.8156174837485504e-06,6.40820984827406e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r20_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r20_XEB_amplitudes.json
16,12,21,20,20,20,20,2.8207853839796012e-05,0.8486299092448712,0.34294796004599715,1.533709902815463,1.663623891800779e-06,7.908226408127903e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r21_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r21_XEB_amplitudes.json
16,12,22,20,20,20,20,2.6953851206774226e-05,0.766447592687156,0.32255353705424356,1.4425032704725718,3.2107137042510095e-06,7.803441328680497e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r22_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r22_XEB_amplitudes.json
16,12,23,20,20,20,20,1.8551056001768695e-05,0.21576200613191315,0.17810558608664218,0.7965123953243454,1.7181097865783389e-06,4.122809556555594e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r23_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r23_XEB_amplitudes.json
16,12,24,20,20,20,20,3.1295168071708024e-05,1.050960134747457,0.39655537712444244,1.773449560186637,4.350359051117689e-06,9.210081655636119e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r24_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r24_XEB_amplitudes.json
16,12,25,20,20,20,20,2.7894469766529734e-05,0.8280919706192925,0.3761214215248508,1.682066132646838,1.6423068333046981e-06,0.00010758342835029529,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r25_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r25_XEB_amplitudes.json
16,12,26,20,20,20,20,2.4768639013583812e-05,0.6232375263942289,0.3035210424955338,1.357387367243232,1.0850884360528373e-06,7.417885022452248e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r26_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r26_XEB_amplitudes.json
16,12,27,20,20,20,20,3.677476719882857e-05,1.4100711431424302,0.3162785067483678,1.414440481822953,5.221803941612899e-06,8.353535700418315e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r27_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r27_XEB_amplitudes.json
16,12,28,20,20,20,20,2.57940359317204e-05,0.690437938821228,0.2541396292818537,1.1365469737016418,4.7599925685469783e-07,5.860380013806704e-05,data/results/N_scan_depth12/N16_d12_XEB/N16_d12_r28_XEB_counts.json,data/amplitudes/N_scan_depth12/N16_d12_XEB/N16_d12_r28_XEB_amplitudes.json
