N,d,r,counts_path,ideal_path,ideal_bitstring,subset_shots,success_count,mb_success_rate,mb_success_se
40,10,10,data/results/N40_verification/N40_d10_MB/N40_d10_r10_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r10_MB_ideal_bitstring.json,1111111001101101010010100011010111011001,20,10,0.5,0.11180339887498948
40,10,11,data/results/N40_verification/N40_d10_MB/N40_d10_r11_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r11_MB_ideal_bitstring.json,1110100001000000011000011101000011010110,20,9,0.45,0.11124297730643495
40,10,12,data/results/N40_verification/N40_d10_MB/N40_d10_r12_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r12_MB_ideal_bitstring.json,0110110110000011111110110010100011101101,20,8,0.4,0.10954451150103323
40,10,13,data/results/N40_verification/N40_d10_MB/N40_d10_r13_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r13_MB_ideal_bitstring.json,1111000000101011011101100110011100010100,20,13,0.65,0.1066536450385077
40,10,14,data/results/N40_verification/N40_d10_MB/N40_d10_r14_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r14_MB_ideal_bitstring.json,0110111001110011110000011010111101011111,20,8,0.4,0.10954451150103323
40,10,15,data/results/N40_verification/N40_d10_MB/N40_d10_r15_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r15_MB_ideal_bitstring.json,0010001111100101100010101000110011011010,20,12,0.6,0.10954451150103323
40,10,16,data/results/N40_verification/N40_d10_MB/N40_d10_r16_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r16_MB_ideal_bitstring.json,0001010110011000110000100110000111011011,20,12,0.6,0.10954451150103323
40,10,17,data/results/N40_verification/N40_d10_MB/N40_d10_r17_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r17_MB_ideal_bitstring.json,1000001000011011010010000000000000101101,20,8,0.4,0.10954451150103323
40,10,18,data/results/N40_verification/N40_d10_MB/N40_d10_r18_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r18_MB_ideal_bitstring.json,0100100001101001100001100111110001101010,20,11,0.55,0.11124297730643495
40,10,19,data/results/N40_verification/N40_d10_MB/N40_d10_r19_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r19_MB_ideal_bitstring.json,1001111101011011110110011011100111000110,20,9,0.45,0.11124297730643495
40,10,1,data/results/N40_verification/N40_d10_MB/N40_d10_r1_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r1_MB_ideal_bitstring.json,1010110000001000111111111111101100111101,20,12,0.6,0.10954451150103323
40,10,20,data/results/N40_verification/N40_d10_MB/N40_d10_r20_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r20_MB_ideal_bitstring.json,1101100100010100101000011011100111010001,20,9,0.45,0.11124297730643495
40,10,21,data/results/N40_verification/N40_d10_MB/N40_d10_r21_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r21_MB_ideal_bitstring.json,0100101110101001111011001110010110000110,20,8,0.4,0.10954451150103323
40,10,22,data/results/N40_verification/N40_d10_MB/N40_d10_r22_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r22_MB_ideal_bitstring.json,1000010100110100001010100011110001110100,20,10,0.5,0.11180339887498948
40,10,23,data/results/N40_verification/N40_d10_MB/N40_d10_r23_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r23_MB_ideal_bitstring.json,1110011011001110110100111000101001110001,20,12,0.6,0.10954451150103323
40,10,24,data/results/N40_verification/N40_d10_MB/N40_d10_r24_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r24_MB_ideal_bitstring.json,1101011011010010100000101001110101100101,20,13,0.65,0.1066536450385077
40,10,25,data/results/N40_verification/N40_d10_MB/N40_d10_r25_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r25_MB_ideal_bitstring.json,1011100011011100011000101000011111011001,20,10,0.5,0.11180339887498948
40,10,26,data/results/N40_verification/N40_d10_MB/N40_d10_r26_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r26_MB_ideal_bitstring.json,1111001111100000110110000110111000000110,20,13,0.65,0.1066536450385077
40,10,27,data/results/N40_verification/N40_d10_MB/N40_d10_r27_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r27_MB_ideal_bitstring.json,0110000100111100101100000011010101011011,20,10,0.5,0.11180339887498948
40,10,28,data/results/N40_verification/N40_d10_MB/N40_d10_r28_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r28_MB_ideal_bitstring.json,0010011011110110111110110100011010110111,20,12,0.6,0.10954451150103323
40,10,29,data/results/N40_verification/N40_d10_MB/N40_d10_r29_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r29_MB_ideal_bitstring.json,1011111110110001011001111011010011010110,20,8,0.4,0.10954451150103323
40,10,2,data/results/N40_verification/N40_d10_MB/N40_d10_r2_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r2_MB_ideal_bitstring.json,0000100010110101001000111000111111000000,20,12,0.6,0.10954451150103323
40,10,30,data/results/N40_verification/N40_d10_MB/N40_d10_r30_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r30_MB_ideal_bitstring.json,1111110101000010111000110111101101001000,20,10,0.5,0.11180339887498948
40,10,31,data/results/N40_verification/N40_d10_MB/N40_d10_r31_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r31_MB_ideal_bitstring.json,0010011111110000111010010110111011101011,20,16,0.8,0.08944271909999157
40,10,32,data/results/N40_verification/N40_d10_MB/N40_d10_r32_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r32_MB_ideal_bitstring.json,0101001100001111110101000011101111010011,20,8,0.4,0.10954451150103323
40,10,33,data/results/N40_verification/N40_d10_MB/N40_d10_r33_MB_counts.json,data/results/N40_verification/N40_d10_MB/N40_d10_r33_MB_ideal_bitstring.json,1001011000111001111100000000011101001011,20,10,0.5,0.11180339887498948
