N,d,r,scan_type,counts_path,amplitudes_path,matched_keys,total_shots_subset,weighted_mean_prob,mean_log_prob,fxeb,analytic_se,bootstrap_mean,bootstrap_se,ci95_low,ci95_high,uniform_baseline,ideal_subset_mean_fxeb,max_prob,min_prob
40,8,1,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r1_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r1_XEB_amplitudes.json,20,20,1.3684698537720444e-12,-27.858865430193767,0.5046485164832852,0.3134258240842232,0.4943491575081183,0.3047630660042677,-0.05219117390775632,1.1226712691361882,0.0,0.5046485164832852,4.48026142587304e-12,2.955365829933778e-14
40,8,2,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r2_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r2_XEB_amplitudes.json,20,20,1.5197779583708762e-12,-27.771598452671363,0.671013536866448,0.33968410402147814,0.6816496296894868,0.3284530117298327,0.07941644061734184,1.3603520455279903,0.0,0.671013536866448,4.8053358639842765e-12,2.8861012348584555e-14
40,8,3,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r3_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r3_XEB_amplitudes.json,20,20,1.17905169780349e-12,-27.807966455287243,0.29638105148397176,0.24699424138982043,0.28961641677531486,0.24085961183555815,-0.14800719844846066,0.791051881975249,0.0,0.29638105148397176,4.045156033335233e-12,1.7081679223393017e-13
40,8,4,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r4_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r4_XEB_amplitudes.json,20,20,1.3023750983846852e-12,-27.673300108289425,0.4319765643998734,0.23593434456599052,0.43319248621475653,0.2278512740743876,0.0017864509123461899,0.8761801624793588,0.0,0.4319765643998734,3.1722191730068283e-12,1.242990181679276e-13
40,8,5,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r5_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r5_XEB_amplitudes.json,20,20,1.7066058589123214e-12,-27.77295524268039,0.876432985904745,0.47146490743630337,0.8757100059391969,0.45808276062858677,0.09422724612695804,1.8768967539823098,0.0,0.876432985904745,8.297968081159669e-12,4.200014324231227e-14
40,8,6,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r6_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r6_XEB_amplitudes.json,20,20,1.6307918489664857e-12,-27.88781742992296,0.7930746004209734,0.42379209673527474,0.7964615389217788,0.41449580357243626,0.051185796495187556,1.6391408149207647,0.0,0.7930746004209734,6.666495514463935e-12,6.244009171053896e-15
40,8,7,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r7_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r7_XEB_amplitudes.json,20,20,1.243486599380232e-12,-27.995658150944212,0.3672279750022016,0.3453075616157609,0.37727053375496705,0.3298056198934061,-0.2120831831658483,1.0398307875455484,0.0,0.3672279750022016,4.621759139675089e-12,7.599880882601443e-14
40,8,8,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r8_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r8_XEB_amplitudes.json,20,20,1.128111828930432e-12,-27.835462664482037,0.2403720733406598,0.19661376276065598,0.2358798309086517,0.18653785993231795,-0.1172242949149526,0.5996016493285246,0.0,0.2403720733406598,2.8007673126886833e-12,1.0673037801202307e-13
40,8,9,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r9_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r9_XEB_amplitudes.json,20,20,1.3713232161296305e-12,-27.907995879878236,0.5077858215737094,0.29762467686680066,0.50959590025014,0.2853413550714743,-0.014668985454516652,1.0910396671154226,0.0,0.5077858215737094,4.3468343689400034e-12,2.5373496904176594e-14
40,8,10,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r10_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r10_XEB_amplitudes.json,20,20,1.532027734598387e-12,-27.742523521937944,0.6844823082662501,0.36810067600944624,0.6881792073647602,0.35769510885462713,0.10020081152336267,1.4624577666107648,0.0,0.6844823082662501,6.793615223542342e-12,2.8999187880397495e-14
40,8,11,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r11_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r11_XEB_amplitudes.json,20,20,1.5116980277093346e-12,-27.61631286472051,0.6621295591524592,0.3445756179383151,0.6507295655358464,0.3400083564877561,0.02173054250726293,1.3556373254446457,0.0,0.6621295591524592,4.889016928305328e-12,1.8852941085442133e-13
40,8,12,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r12_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r12_XEB_amplitudes.json,20,20,1.85728393540457e-12,-27.675945344907365,1.042105283058894,0.46420720455761655,1.0415960612551036,0.4636525789686881,0.23015057556097615,2.0379707202480684,0.0,1.042105283058894,7.802102936551377e-12,2.2966646703413524e-14
40,8,13,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r13_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r13_XEB_amplitudes.json,20,20,1.7733550843331409e-12,-27.481961840059533,0.9498245353999775,0.30415116840019035,0.9574085851737361,0.29595326613259204,0.3870609786216481,1.5626709330415,0.0,0.9498245353999775,4.3499662078909764e-12,5.398372799429105e-14
40,8,14,depth_scan,data/results/N40_verification/N40_d8_XEB/N40_d8_r14_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r14_XEB_amplitudes.json,20,20,1.4002030244645802e-12,-27.63647916315651,0.539539506645929,0.24371949507854324,0.535674035099735,0.2385247994698097,0.09074922055947122,1.0139977123658432,0.0,0.539539506645929,3.960046556240023e-12,7.380566248065844e-14
